IdLandkreis,Altersgruppe,Geschlecht,Refdatum,AnzahlFall,AnzahlTodesfall
1059,A60-A79,M,2025-07-04,1,0
2000,A35-A59,W,2025-07-04,1,0
2000,A60-A79,M,2025-07-04,1,0
3151,A35-A59,M,2025-07-03,1,0
3356,A60-A79,M,2025-07-02,1,0
3357,A80+,M,2025-07-03,1,0
3360,A60-A79,M,2023-01-01,1,1
3454,A80+,W,2025-07-03,2,0
3456,A00-A04,M,2025-07-04,1,0
3459,A80+,W,2025-07-03,1,0
5111,A80+,M,2025-07-04,1,0
5112,A35-A59,W,2025-07-04,1,0
5166,A00-A04,W,2025-07-01,1,0
5314,A80+,M,2025-07-04,1,0
5315,A60-A79,W,2025-07-04,1,0
5334,A60-A79,M,2025-07-03,1,0
5366,A15-A34,M,2025-07-03,1,0
5374,A60-A79,W,2025-07-01,1,0
5382,A60-A79,M,2025-07-03,1,0
5558,A80+,M,2025-07-03,1,0
5562,A60-A79,W,2025-06-28,1,0
5911,A15-A34,M,2025-07-02,1,0
5913,A15-A34,W,2025-06-30,1,0
5915,A15-A34,W,2025-06-30,1,0
5915,A35-A59,M,2025-07-04,1,0
5915,A35-A59,W,2025-07-03,1,0
5915,A60-A79,M,2025-07-03,1,0
5978,A80+,W,2025-07-04,1,0
6412,A00-A04,M,2025-07-04,2,0
6412,A15-A34,W,2025-07-04,1,0
6412,A60-A79,M,2025-07-04,1,0
6413,A35-A59,M,2025-07-04,1,0
6435,A35-A59,M,2025-07-04,1,0
6436,A60-A79,M,2025-07-04,1,0
6436,A80+,M,2025-07-04,1,0
6437,A80+,M,2025-07-04,1,0
6438,A60-A79,W,2025-07-02,1,0
7140,A00-A04,M,2025-07-04,1,0
7211,A60-A79,M,2025-07-03,1,0
7231,A00-A04,M,2025-07-02,1,0
7314,A15-A34,W,2025-07-01,1,0
7319,A00-A04,M,2025-07-04,1,0
7333,A80+,M,2025-07-03,1,0
7335,A60-A79,M,2025-07-04,1,0
8117,A80+,W,2025-07-03,1,0
8118,A60-A79,M,2025-07-04,1,0
8212,A35-A59,W,2025-07-04,1,0
8236,A00-A04,W,2025-06-29,1,0
8435,A15-A34,W,2025-07-03,1,0
8435,A35-A59,W,2025-07-03,1,0
8436,A60-A79,W,2025-07-03,1,0
8437,A35-A59,W,2025-07-03,1,0
9162,A15-A34,M,2025-07-04,1,0
9174,A35-A59,W,2025-07-01,1,0
9177,A35-A59,M,2025-07-04,1,0
9275,A80+,M,2025-07-04,1,0
9564,A60-A79,W,2025-07-04,1,0
9662,A80+,W,2025-07-01,1,0
9671,A15-A34,W,2025-07-04,1,0
9671,A60-A79,W,2025-07-03,1,0
9678,A80+,W,2025-07-03,1,0
10041,A35-A59,M,2025-07-04,1,0
10045,A60-A79,W,2025-07-04,1,0
11001,A00-A04,M,2025-07-03,1,0
11001,A15-A34,W,2025-07-03,1,0
11001,A60-A79,W,2025-07-04,1,0
11002,A80+,W,2025-07-03,1,0
11003,A15-A34,M,2025-07-03,1,0
11003,A35-A59,M,2025-07-03,1,0
11003,A35-A59,W,2025-07-03,1,0
11003,A80+,W,2025-07-03,1,0
11005,A35-A59,M,2025-06-27,1,0
11005,A60-A79,W,2025-07-03,1,0
11006,A35-A59,W,2025-06-30,1,0
11006,A35-A59,W,2025-07-02,1,0
11006,A60-A79,M,2025-07-02,1,0
11008,A15-A34,M,2025-07-03,1,0
11010,A15-A34,M,2025-07-03,1,0
11012,A15-A34,M,2025-07-04,1,0
12054,A05-A14,W,2025-07-03,1,0
12061,A80+,W,2025-07-02,1,0
12065,A05-A14,M,2022-02-15,1,0
12065,A35-A59,M,2022-02-14,2,0
12065,A35-A59,W,2022-02-16,1,0
12065,A60-A79,W,2022-02-16,2,0
12066,A35-A59,W,2025-07-04,1,0
12069,A35-A59,W,2025-06-30,1,0
12069,A35-A59,W,2025-07-03,1,0
12069,A60-A79,W,2025-07-03,1,0
12069,A80+,M,2025-07-02,1,0
12069,A80+,M,2025-07-03,1,0
12069,A80+,W,2025-06-27,1,0
12072,A35-A59,W,2025-06-27,1,0
13071,A80+,M,2025-07-02,1,0
13072,A15-A34,M,2025-07-03,1,0
13075,A15-A34,M,2025-06-30,1,0
14521,A00-A04,W,2025-06-28,1,0
14612,A15-A34,W,2025-07-03,1,0
14612,A35-A59,W,2025-07-04,1,0
14612,A60-A79,W,2025-07-03,1,0
14612,A80+,M,2025-07-02,1,0
14612,A80+,M,2025-07-03,1,0
14625,A80+,M,2025-07-01,1,0
15002,A80+,W,2025-07-01,1,0
15083,A60-A79,W,2025-07-01,1,0
15085,A00-A04,W,2025-07-04,1,0
15085,A15-A34,M,2025-07-04,1,0
16061,A80+,W,2025-07-02,1,0
16066,A35-A59,M,2025-07-02,1,0
16074,A80+,M,2025-06-30,1,0
