date,ags,age_group,stage,new
2023-09-25,01003,60+,5,6
2023-09-25,01053,18-59,3,9
2023-09-25,01055,18-59,3,5
2023-09-25,01060,18-59,6,5
2023-09-25,01060,60+,5,7
2023-09-25,01062,60+,4,5
2023-09-25,01062,60+,5,6
2023-09-25,02000,12-17,3,6
2023-09-25,02000,12-17,5,15
2023-09-25,02000,18-59,2,5
2023-09-25,02000,18-59,3,7
2023-09-25,02000,18-59,4,51
2023-09-25,02000,18-59,5,83
2023-09-25,02000,18-59,6,31
2023-09-25,02000,60+,1,11
2023-09-25,02000,60+,3,8
2023-09-25,02000,60+,4,148
2023-09-25,02000,60+,5,393
2023-09-25,02000,60+,6,113
2023-09-25,03101,18-59,5,9
2023-09-25,03101,60+,4,9
2023-09-25,03101,60+,5,65
2023-09-25,03101,60+,6,39
2023-09-25,03103,18-59,4,5
2023-09-25,03103,60+,4,9
2023-09-25,03103,60+,5,17
2023-09-25,03103,60+,6,11
2023-09-25,03151,12-17,4,5
2023-09-25,03151,12-17,5,8
2023-09-25,03151,18-59,5,5
2023-09-25,03151,18-59,6,6
2023-09-25,03151,60+,4,10
2023-09-25,03151,60+,5,33
2023-09-25,03153,18-59,4,5
2023-09-25,03153,18-59,5,5
2023-09-25,03153,60+,1,6
2023-09-25,03153,60+,3,5
2023-09-25,03153,60+,4,14
2023-09-25,03153,60+,5,17
2023-09-25,03153,60+,6,6
2023-09-25,03155,18-59,4,7
2023-09-25,03155,18-59,5,8
2023-09-25,03155,60+,4,12
2023-09-25,03155,60+,5,18
2023-09-25,03155,60+,6,16
2023-09-25,03157,60+,5,6
2023-09-25,03157,60+,6,5
2023-09-25,03158,60+,4,6
2023-09-25,03158,60+,5,29
2023-09-25,03158,60+,6,39
2023-09-25,03159,12-17,4,6
2023-09-25,03159,18-59,1,5
2023-09-25,03159,18-59,4,49
2023-09-25,03159,18-59,5,39
2023-09-25,03159,18-59,6,6
2023-09-25,03159,60+,4,30
2023-09-25,03159,60+,5,126
2023-09-25,03159,60+,6,24
2023-09-25,03241,18-59,4,9
2023-09-25,03241,18-59,5,29
2023-09-25,03241,18-59,6,5
2023-09-25,03241,60+,1,5
2023-09-25,03241,60+,4,79
2023-09-25,03241,60+,5,195
2023-09-25,03241,60+,6,52
2023-09-25,03251,18-59,4,7
2023-09-25,03251,18-59,5,7
2023-09-25,03251,60+,4,8
2023-09-25,03251,60+,5,30
2023-09-25,03252,60+,5,16
2023-09-25,03252,60+,6,8
2023-09-25,03254,18-59,5,7
2023-09-25,03254,60+,3,13
2023-09-25,03254,60+,4,8
2023-09-25,03254,60+,5,35
2023-09-25,03254,60+,6,22
2023-09-25,03255,60+,4,10
2023-09-25,03255,60+,5,24
2023-09-25,03255,60+,6,11
2023-09-25,03256,18-59,6,13
2023-09-25,03256,60+,4,6
2023-09-25,03256,60+,5,11
2023-09-25,03257,60+,5,6
2023-09-25,03257,60+,6,5
2023-09-25,03351,18-59,2,5
2023-09-25,03351,60+,1,7
2023-09-25,03351,60+,4,5
2023-09-25,03351,60+,5,34
2023-09-25,03352,18-59,2,5
2023-09-25,03352,18-59,4,5
2023-09-25,03352,60+,5,23
2023-09-25,03352,60+,6,8
2023-09-25,03353,18-59,5,5
2023-09-25,03353,60+,5,26
2023-09-25,03353,60+,6,6
2023-09-25,03355,18-59,5,5
2023-09-25,03355,18-59,6,5
2023-09-25,03355,60+,5,19
2023-09-25,03355,60+,6,13
2023-09-25,03356,60+,5,23
2023-09-25,03356,60+,6,6
2023-09-25,03357,60+,5,32
2023-09-25,03358,60+,5,13
2023-09-25,03359,18-59,4,5
2023-09-25,03359,60+,1,6
2023-09-25,03359,60+,5,21
2023-09-25,03359,60+,6,6
2023-09-25,03360,18-59,5,7
