date,ags,age_group,stage,new
2023-09-07,3159,60+,5,6
2023-09-07,3241,60+,5,9
2023-09-07,3252,60+,5,8
2023-09-07,3356,60+,5,5
2023-09-07,3405,18-59,5,5
2023-09-07,3459,18-59,5,7
2023-09-07,5113,60+,6,7
2023-09-07,5170,60+,5,6
2023-09-07,5314,18-59,5,5
2023-09-07,5315,18-59,4,5
2023-09-07,5334,18-59,2,5
2023-09-07,5334,60+,6,7
2023-09-07,5362,60+,5,10
2023-09-07,5362,60+,6,7
2023-09-07,5774,60+,5,5
2023-09-07,5916,60+,6,9
2023-09-07,5954,60+,4,5
2023-09-07,5978,60+,5,10
2023-09-07,5978,60+,6,6
2023-09-07,8127,18-59,1,6
2023-09-07,8216,60+,5,8
2023-09-07,9777,60+,5,10
2023-09-07,9777,60+,6,8
2023-09-07,11000,60+,5,10
2023-09-07,13076,60+,5,9
2023-09-07,15001,60+,5,9
2023-09-07,16052,60+,5,5
