datum,ags,intensivbetten_frei,intensivbetten_belegt
2021-07-02,01001,7.0,34.0
2021-07-02,01002,45.0,119.0
2021-07-02,01003,31.0,103.0
2021-07-02,01004,5.0,20.0
2021-07-02,01051,2.0,36.0
2021-07-02,01053,6.0,12.0
2021-07-02,01054,9.0,15.0
2021-07-02,01055,7.0,41.0
2021-07-02,01056,2.0,35.0
2021-07-02,01057,3.0,9.0
2021-07-02,01058,11.0,29.0
2021-07-02,01059,2.0,22.0
2021-07-02,01060,27.0,53.0
2021-07-02,01061,7.0,36.0
2021-07-02,01062,8.0,24.0
2021-07-02,02000,116.0,527.0
2021-07-02,03101,15.0,117.0
2021-07-02,03102,8.0,21.0
2021-07-02,03103,5.0,28.0
2021-07-02,03151,0.0,11.0
2021-07-02,03153,3.0,25.0
2021-07-02,03154,3.0,15.0
2021-07-02,03155,7.0,13.0
2021-07-02,03157,0.0,15.0
2021-07-02,03158,3.0,13.0
2021-07-02,03159,30.0,124.0
2021-07-02,03241,21.0,204.0
2021-07-02,03251,5.0,12.0
2021-07-02,03252,16.0,61.0
2021-07-02,03254,29.0,45.0
2021-07-02,03255,0.0,9.0
2021-07-02,03256,1.0,19.0
2021-07-02,03257,12.0,15.0
2021-07-02,03351,11.0,22.0
2021-07-02,03352,6.0,6.0
2021-07-02,03353,7.0,27.0
2021-07-02,03354,0.0,6.0
2021-07-02,03355,7.0,39.0
2021-07-02,03356,3.0,13.0
2021-07-02,03357,9.0,23.0
2021-07-02,03358,2.0,17.0
2021-07-02,03359,4.0,29.0
2021-07-02,03360,7.0,69.0
2021-07-02,03361,2.0,13.0
2021-07-02,03401,1.0,15.0
2021-07-02,03402,8.0,11.0
2021-07-02,03403,16.0,98.0
2021-07-02,03404,17.0,97.0
2021-07-02,03405,6.0,25.0
2021-07-02,03451,4.0,29.0
2021-07-02,03452,8.0,27.0
2021-07-02,03453,7.0,16.0
2021-07-02,03454,28.0,65.0
2021-07-02,03455,7.0,26.0
2021-07-02,03456,5.0,20.0
2021-07-02,03457,8.0,21.0
2021-07-02,03458,0.0,9.0
2021-07-02,03459,18.0,76.0
2021-07-02,03460,9.0,25.0
2021-07-02,03461,6.0,9.0
2021-07-02,03462,1.0,7.0
2021-07-02,04011,24.0,142.0
2021-07-02,04012,20.0,39.0
2021-07-02,05111,36.0,264.0
2021-07-02,05112,33.0,154.0
2021-07-02,05113,41.0,324.0
2021-07-02,05114,11.0,74.0
2021-07-02,05116,11.0,80.0
2021-07-02,05117,3.0,31.0
2021-07-02,05119,17.0,58.0
2021-07-02,05120,3.0,23.0
2021-07-02,05122,13.0,63.0
2021-07-02,05124,26.0,122.0
2021-07-02,05154,16.0,54.0
2021-07-02,05158,21.0,48.0
2021-07-02,05162,27.0,76.0
2021-07-02,05166,4.0,31.0
2021-07-02,05170,26.0,103.0
2021-07-02,05314,22.0,269.0
2021-07-02,05315,34.0,403.0
2021-07-02,05316,30.0,48.0
2021-07-02,05334,34.0,267.0
2021-07-02,05358,15.0,53.0
2021-07-02,05362,16.0,58.0
2021-07-02,05366,6.0,22.0
2021-07-02,05370,4.0,33.0
2021-07-02,05374,18.0,64.0
