IdLandkreis,Altersgruppe,Geschlecht,Refdatum,AnzahlFall,AnzahlTodesfall
1001,A60-A79,M,2024-08-28,1,0
1001,A60-A79,M,2024-08-29,1,0
1002,A15-A34,W,2024-08-29,1,0
1002,A35-A59,M,2024-08-29,2,0
1002,A60-A79,W,2024-08-29,1,0
1002,A80+,M,2024-08-29,1,0
1002,A80+,W,2024-08-29,1,0
1003,A15-A34,M,2024-08-29,1,0
1003,A35-A59,M,2024-08-29,1,0
1004,A15-A34,M,2024-08-26,1,0
1004,A60-A79,M,2024-08-18,1,0
1004,A80+,M,2024-08-29,1,0
1004,A80+,W,2024-08-29,1,0
1051,A60-A79,W,2024-08-28,1,0
1053,A15-A34,M,2024-08-29,1,0
1053,A60-A79,M,2024-08-29,1,0
1054,A60-A79,M,2024-08-29,1,0
1055,A35-A59,M,2024-08-29,1,0
1055,A60-A79,M,2024-08-29,1,0
1055,A60-A79,W,2024-08-28,2,0
1055,A80+,M,2024-08-28,1,0
1055,A80+,W,2024-08-29,1,0
1056,A15-A34,W,2024-08-29,1,0
1056,A35-A59,M,2024-08-29,1,0
1056,A60-A79,M,2024-08-29,1,0
1056,A60-A79,W,2024-07-21,1,0
1056,A60-A79,W,2024-08-27,1,1
1056,A60-A79,W,2024-08-29,1,0
1056,A80+,W,2024-08-28,1,0
1057,A15-A34,M,2024-08-29,1,0
1057,A35-A59,M,2024-08-29,2,0
1058,A15-A34,M,2024-08-29,1,0
1059,A15-A34,M,2024-08-28,1,0
1059,A15-A34,M,2024-08-29,2,0
1059,A15-A34,W,2024-08-28,1,0
1060,A35-A59,W,2024-08-27,1,0
1060,A35-A59,W,2024-08-29,1,0
1060,A60-A79,M,2024-08-29,1,0
1060,A80+,W,2024-08-28,1,0
2000,A00-A04,W,2024-08-29,1,0
2000,A15-A34,M,2024-08-29,1,0
2000,A35-A59,M,2024-08-29,1,0
2000,A35-A59,W,2024-08-29,3,0
2000,A60-A79,M,2024-08-16,1,0
2000,A60-A79,M,2024-08-26,2,0
2000,A60-A79,M,2024-08-29,1,0
2000,A60-A79,W,2024-08-28,1,0
2000,A60-A79,W,2024-08-29,1,0
2000,A80+,M,2024-08-28,1,0
2000,A80+,M,2024-08-29,2,0
2000,A80+,W,2024-08-28,2,0
2000,A80+,W,2024-08-29,3,0
3101,A15-A34,M,2024-08-28,1,0
3101,A35-A59,W,2024-08-28,1,0
3101,A60-A79,M,2024-08-28,1,0
3102,A35-A59,W,2024-08-28,3,0
3102,A80+,W,2024-08-28,1,0
3103,A80+,M,2024-08-29,1,0
3151,A00-A04,M,2024-08-26,1,0
3151,A00-A04,M,2024-08-28,1,0
3151,A15-A34,W,2024-08-28,1,0
3151,A35-A59,M,2024-08-28,1,0
3151,A60-A79,W,2024-08-28,2,0
3151,A80+,W,2024-08-26,2,0
3153,A80+,M,2024-08-28,1,0
3154,A60-A79,M,2024-08-26,1,0
3155,A05-A14,W,2024-08-29,1,0
3155,A15-A34,W,2024-08-29,1,0
3155,A35-A59,M,2024-08-29,1,0
3155,A35-A59,W,2024-08-29,1,0
3157,A15-A34,W,2024-08-28,1,0
3157,A60-A79,W,2024-08-28,1,0
3158,A35-A59,M,2024-08-29,1,0
3158,A35-A59,W,2024-08-29,1,0
3158,A60-A79,M,2024-08-29,1,0
3159,A15-A34,W,2024-08-28,1,0
3159,A35-A59,M,2024-08-28,1,0
3159,A35-A59,W,2024-08-28,1,0
3159,A35-A59,W,2024-08-29,1,0
3159,A60-A79,M,2024-08-28,1,0
3159,A60-A79,M,2024-08-29,1,0
3159,A80+,W,2024-08-27,1,0
3251,A15-A34,M,2024-08-27,1,0
3251,A15-A34,W,2024-08-28,1,0
3251,A35-A59,M,2024-08-28,1,0
3251,A35-A59,W,2024-08-28,1,0
3251,A60-A79,M,2024-08-28,2,0
3251,A60-A79,W,2024-08-27,1,0
3251,A80+,W,2024-08-28,1,0
3252,A60-A79,M,2024-08-29,1,0
3254,A15-A34,W,2024-08-28,1,0
3254,A35-A59,M,2024-08-28,1,0
3254,A35-A59,W,2024-08-28,2,0
3256,A15-A34,M,2024-08-28,1,0
3256,A15-A34,W,2024-08-28,1,0
3256,A35-A59,W,2024-08-28,1,0
3353,A05-A14,W,2024-08-26,1,0
3353,A35-A59,W,2024-08-26,1,0
3353,A80+,M,2024-08-26,1,0
3355,A60-A79,M,2024-08-28,1,0
3357,A05-A14,M,2024-08-14,1,0
3357,A60-A79,M,2024-08-26,1,0
3358,A15-A34,M,2024-08-28,1,0
3358,A35-A59,W,2024-08-28,3,0
3358,A60-A79,M,2024-08-28,1,0
3358,A60-A79,W,2024-08-28,1,0
3358,A80+,M,2024-08-25,1,0
3359,A15-A34,M,2024-08-27,1,0
3360,A00-A04,M,2024-08-28,1,0
3360,A80+,M,2024-08-28,1,0
3403,A35-A59,M,2024-08-28,1,0
3403,A80+,M,2024-07-29,1,1
3403,A80+,M,2024-08-28,1,0
3404,A60-A79,M,2024-08-28,1,0
3405,A80+,W,2024-08-28,1,0
3451,A60-A79,M,2024-08-27,1,0
3451,A60-A79,W,2024-08-28,1,0
3451,A80+,W,2024-08-28,1,0
3452,A35-A59,M,2024-08-27,1,0
3452,A60-A79,M,2024-08-28,1,0
3452,A80+,M,2024-08-27,1,0
3454,A00-A04,W,2024-08-27,1,0
3454,A05-A14,M,2024-08-27,1,0
3454,A15-A34,M,2024-08-27,1,0
3454,A15-A34,W,2024-08-28,1,0
3454,A35-A59,M,2024-08-27,1,0
3454,A35-A59,W,2024-08-28,1,0
3454,A80+,M,2024-08-28,1,0
3454,A80+,W,2024-08-28,1,0
3456,A60-A79,W,2024-08-29,1,0
3457,A35-A59,M,2024-08-27,1,0
3457,A60-A79,M,2024-08-27,1,0
3459,A35-A59,W,2024-08-09,1,1
3459,A60-A79,M,2024-08-28,1,0
3459,A80+,M,2024-08-28,1,0
3461,A60-A79,M,2024-08-28,1,0
3462,A15-A34,W,2024-08-28,1,0
4011,A15-A34,M,2024-08-28,1,0
4011,A60-A79,M,2024-08-29,1,0
4012,A35-A59,W,2024-08-29,1,0
5111,A05-A14,M,2024-08-29,1,0
5111,A15-A34,M,2024-08-28,2,0
5111,A15-A34,M,2024-08-29,1,0
5111,A35-A59,M,2024-08-29,2,0
5111,A35-A59,W,2024-08-29,2,0
5111,A60-A79,M,2024-08-29,1,0
5111,A60-A79,W,2024-08-29,2,0
5111,A80+,M,2024-08-28,1,0
5111,A80+,W,2024-08-29,1,0
5112,A00-A04,M,2024-08-28,1,0
5112,A00-A04,W,2024-08-29,2,0
5112,A15-A34,M,2024-08-27,1,0
5112,A35-A59,W,2024-08-26,1,0
5112,A35-A59,W,2024-08-29,1,0
5112,A60-A79,M,2024-08-28,2,0
5112,A60-A79,W,2024-08-28,2,0
5112,A60-A79,W,2024-08-29,1,0
5112,A80+,M,2024-08-29,1,0
5113,A15-A34,W,2024-08-27,1,0
5113,A35-A59,W,2024-08-29,1,0
5113,A80+,M,2024-08-29,1,0
5113,A80+,W,2024-08-29,1,0
5116,A35-A59,W,2024-08-28,1,0
5116,A60-A79,M,2024-08-28,1,0
5116,A60-A79,W,2024-08-28,1,0
5116,A80+,W,2024-08-28,1,0
5117,A60-A79,M,2024-08-27,1,0
5119,A00-A04,W,2024-08-27,1,0
5119,A35-A59,M,2024-08-28,1,0
5119,A60-A79,W,2024-08-28,1,0
5122,A00-A04,M,2024-08-26,1,0
5122,A05-A14,W,2024-08-28,1,0
5124,A15-A34,W,2024-08-29,1,0
5124,A80+,M,2024-08-28,1,0
5124,A80+,M,2024-08-29,2,0
5154,A35-A59,M,2024-08-27,1,0
5158,A15-A34,M,2024-08-28,2,0
5158,A15-A34,W,2024-08-28,2,0
5158,A35-A59,M,2024-08-28,1,0
5158,A35-A59,W,2024-08-28,2,0
5158,A60-A79,M,2024-08-29,1,0
5158,A60-A79,W,2024-07-02,1,1
5158,A60-A79,W,2024-08-27,1,0
5158,A60-A79,W,2024-08-29,1,0
5158,A80+,M,2024-07-25,1,1
5158,A80+,M,2024-08-29,1,0
5158,A80+,W,2024-08-28,1,0
5162,A35-A59,W,2024-08-29,2,0
5162,A60-A79,W,2024-08-29,1,0
5162,A80+,W,2024-08-29,1,0
5166,A60-A79,M,2024-08-29,1,0
5314,A15-A34,M,2024-08-29,1,0
5314,A35-A59,W,2024-08-29,1,0
5314,A60-A79,M,2024-08-29,1,0
5315,A00-A04,M,2024-08-28,1,0
5315,A00-A04,W,2024-08-27,2,0
5315,A15-A34,M,2024-08-28,4,0
5315,A15-A34,W,2024-08-27,2,0
5315,A15-A34,W,2024-08-28,1,0
5315,A15-A34,W,2024-08-29,1,0
5315,A35-A59,M,2024-08-28,1,0
5315,A35-A59,M,2024-08-29,2,0
5315,A35-A59,W,2024-08-29,1,0
5315,A60-A79,M,2024-08-26,1,0
5315,A60-A79,M,2024-08-27,2,0
5315,A60-A79,M,2024-08-28,4,0
5315,A60-A79,W,2024-07-25,1,1
5315,A60-A79,W,2024-08-28,2,0
5315,A80+,M,2024-08-22,1,0
5315,A80+,W,2024-08-27,1,0
5316,A35-A59,M,2024-08-29,1,0
5334,A15-A34,M,2024-08-26,1,0
5334,A15-A34,W,2024-08-24,1,0
5334,A15-A34,W,2024-08-26,3,0
5334,A35-A59,M,2024-08-23,1,0
5334,A35-A59,M,2024-08-27,2,0
5334,A35-A59,W,2024-08-23,1,0
5334,A35-A59,W,2024-08-24,2,0
5334,A60-A79,M,2024-08-23,1,0
5334,A60-A79,M,2024-08-27,2,0
5334,A60-A79,W,2024-08-22,1,0
5334,A60-A79,W,2024-08-26,3,0
5334,A80+,W,2024-08-22,1,0
5334,A80+,W,2024-08-27,1,0
5358,A15-A34,W,2024-08-28,1,0
5358,A60-A79,M,2024-08-28,1,0
5358,A60-A79,W,2024-08-28,1,0
5362,A15-A34,W,2024-08-27,2,0
5362,A35-A59,W,2024-08-27,2,0
5370,A60-A79,W,2024-08-29,1,0
5370,A80+,W,2024-08-29,1,0
5374,A15-A34,W,2024-08-28,1,0
5374,A60-A79,M,2024-08-27,1,0
5374,A60-A79,W,2024-08-29,1,0
5374,A80+,M,2024-08-22,1,1
5382,A35-A59,M,2024-08-28,1,0
5382,A35-A59,W,2024-08-29,1,0
5382,A80+,M,2024-08-29,1,0
5512,A00-A04,M,2024-08-29,1,0
5512,A60-A79,M,2024-08-29,1,0
5512,A60-A79,W,2024-08-29,1,0
5513,A05-A14,M,2024-08-28,2,0
5513,A05-A14,W,2022-02-10,-1,0
5513,A15-A34,M,2024-08-28,1,0
5513,A15-A34,W,2024-08-28,1,0
5513,A35-A59,M,2024-08-28,2,0
5513,A35-A59,M,2024-08-29,1,0
5513,A60-A79,M,2024-08-28,1,0
5513,A60-A79,W,2024-08-28,2,0
5513,A80+,M,2024-08-28,1,0
5513,A80+,W,2024-08-27,1,0
5515,A15-A34,M,2024-08-28,1,0
5515,A15-A34,W,2024-08-29,1,0
5515,A60-A79,W,2024-08-29,1,0
5515,A80+,W,2024-08-29,1,0
5554,A00-A04,W,2024-08-28,1,0
5554,A15-A34,W,2024-08-28,1,0
5554,A80+,M,2024-08-28,1,0
5558,A00-A04,M,2024-08-27,1,0
5558,A05-A14,W,2024-08-27,1,0
5558,A15-A34,W,2024-08-28,1,0
5558,A60-A79,M,2024-08-27,1,0
5558,A60-A79,W,2024-08-27,1,0
5558,A60-A79,W,2024-08-28,1,0
5558,A80+,M,2024-08-07,1,0
5558,A80+,M,2024-08-27,2,0
5558,A80+,W,2024-08-27,3,0
5562,A00-A04,M,2024-08-28,1,0
5562,A15-A34,M,2024-08-29,1,0
5562,A35-A59,W,2024-08-29,2,0
5562,A60-A79,M,2024-08-29,2,0
5562,A80+,M,2024-08-28,1,0
5562,A80+,W,2024-08-28,1,0
5566,A00-A04,M,2024-08-27,1,0
5566,A60-A79,M,2024-08-27,1,0
5566,A80+,M,2024-08-28,1,0
5570,A05-A14,W,2024-08-29,1,0
5570,A35-A59,W,2024-08-29,1,0
5570,A80+,M,2024-08-29,1,0
5711,A35-A59,M,2024-08-29,2,0
5711,A60-A79,M,2024-08-29,1,0
5711,A80+,M,2024-08-29,1,0
5711,A80+,W,2024-08-29,1,0
5754,A60-A79,M,2024-08-29,1,0
5758,A05-A14,W,2024-08-23,1,0
5766,A00-A04,M,2024-08-27,1,0
5766,A15-A34,M,2024-08-27,1,0
5766,A15-A34,M,2024-08-28,1,0
5766,A15-A34,M,2024-08-29,1,0
5766,A15-A34,W,2024-08-28,2,0
5766,A35-A59,W,2024-08-29,2,0
5766,A60-A79,M,2024-08-27,2,0
5766,A60-A79,W,2024-08-27,2,0
5766,A80+,M,2024-08-27,6,0
5766,A80+,W,2024-08-27,4,0
5774,A80+,M,2024-08-28,1,0
5774,A80+,W,2024-08-27,1,0
