date,ags,age_group,stage,new
2023-11-10,01001,60+,5,11
2023-11-10,01003,18-59,5,5
2023-11-10,01003,60+,1,17
2023-11-10,01003,60+,5,5
2023-11-10,01053,18-59,4,5
2023-11-10,01053,60+,6,5
2023-11-10,01056,18-59,1,5
2023-11-10,01056,18-59,5,8
2023-11-10,01056,60+,1,8
2023-11-10,01056,60+,4,5
2023-11-10,01056,60+,5,26
2023-11-10,01056,60+,6,7
2023-11-10,01060,60+,5,9
2023-11-10,01060,60+,6,8
2023-11-10,02000,12-17,5,5
2023-11-10,02000,18-59,3,7
2023-11-10,02000,18-59,4,97
2023-11-10,02000,18-59,5,152
2023-11-10,02000,18-59,6,34
2023-11-10,02000,60+,3,22
2023-11-10,02000,60+,4,170
2023-11-10,02000,60+,5,960
2023-11-10,02000,60+,6,216
2023-11-10,03101,18-59,4,16
2023-11-10,03101,18-59,5,40
2023-11-10,03101,60+,1,18
2023-11-10,03101,60+,2,5
2023-11-10,03101,60+,4,37
2023-11-10,03101,60+,5,215
2023-11-10,03101,60+,6,21
2023-11-10,03102,18-59,4,26
2023-11-10,03102,18-59,5,9
2023-11-10,03102,60+,4,13
2023-11-10,03102,60+,5,57
2023-11-10,03102,60+,6,10
2023-11-10,03103,18-59,4,6
2023-11-10,03103,18-59,5,14
2023-11-10,03103,60+,4,10
2023-11-10,03103,60+,5,87
2023-11-10,03103,60+,6,19
2023-11-10,03151,18-59,4,6
2023-11-10,03151,18-59,5,33
2023-11-10,03151,60+,4,6
2023-11-10,03151,60+,5,112
2023-11-10,03153,18-59,4,17
2023-11-10,03153,18-59,5,24
2023-11-10,03153,60+,1,6
2023-11-10,03153,60+,3,5
2023-11-10,03153,60+,4,30
2023-11-10,03153,60+,5,105
2023-11-10,03153,60+,6,19
2023-11-10,03154,60+,5,59
2023-11-10,03155,60+,4,21
2023-11-10,03155,60+,5,84
2023-11-10,03155,60+,6,7
2023-11-10,03157,18-59,4,5
2023-11-10,03157,18-59,5,48
2023-11-10,03157,60+,1,95
2023-11-10,03157,60+,4,17
2023-11-10,03157,60+,5,104
2023-11-10,03157,60+,6,10
2023-11-10,03158,18-59,5,6
2023-11-10,03158,60+,4,17
2023-11-10,03158,60+,5,96
2023-11-10,03159,18-59,4,25
2023-11-10,03159,18-59,5,35
2023-11-10,03159,18-59,6,7
2023-11-10,03159,60+,3,5
2023-11-10,03159,60+,4,39
2023-11-10,03159,60+,5,261
2023-11-10,03159,60+,6,65
2023-11-10,03241,12-17,4,5
2023-11-10,03241,18-59,3,7
2023-11-10,03241,18-59,4,78
2023-11-10,03241,18-59,5,88
2023-11-10,03241,18-59,6,34
2023-11-10,03241,60+,2,5
2023-11-10,03241,60+,3,10
2023-11-10,03241,60+,4,132
2023-11-10,03241,60+,5,833
2023-11-10,03241,60+,6,231
2023-11-10,03251,18-59,4,9
2023-11-10,03251,18-59,5,15
2023-11-10,03251,60+,4,17
2023-11-10,03251,60+,5,85
2023-11-10,03251,60+,6,23
2023-11-10,03252,18-59,5,15
2023-11-10,03252,60+,1,5
2023-11-10,03252,60+,4,34
2023-11-10,03252,60+,5,145
2023-11-10,03252,60+,6,13
2023-11-10,03254,18-59,4,13
2023-11-10,03254,18-59,5,9
2023-11-10,03254,60+,4,44
2023-11-10,03254,60+,5,169
2023-11-10,03254,60+,6,24
2023-11-10,03255,60+,5,64
2023-11-10,03256,18-59,4,6
2023-11-10,03256,60+,4,39
2023-11-10,03256,60+,5,125
2023-11-10,03256,60+,6,21
2023-11-10,03257,60+,4,25
2023-11-10,03257,60+,5,64
2023-11-10,03257,60+,6,14
2023-11-10,03351,18-59,4,10
2023-11-10,03351,18-59,5,35
2023-11-10,03351,18-59,6,8
2023-11-10,03351,60+,4,46
2023-11-10,03351,60+,5,264
2023-11-10,03351,60+,6,25
2023-11-10,03352,18-59,4,7
2023-11-10,03352,18-59,5,9
2023-11-10,03352,60+,1,6
2023-11-10,03352,60+,3,5
2023-11-10,03352,60+,4,44
2023-11-10,03352,60+,5,216
2023-11-10,03352,60+,6,35
2023-11-10,03353,12-17,3,5
2023-11-10,03353,18-59,4,5
2023-11-10,03353,18-59,5,5
2023-11-10,03353,18-59,6,5
2023-11-10,03353,60+,4,24
2023-11-10,03353,60+,5,140
2023-11-10,03353,60+,6,12
2023-11-10,03354,60+,4,14
2023-11-10,03354,60+,5,74
2023-11-10,03354,60+,6,13
2023-11-10,03355,18-59,4,6
2023-11-10,03355,18-59,5,11
2023-11-10,03355,60+,4,6
2023-11-10,03355,60+,5,43
2023-11-10,03355,60+,6,25
2023-11-10,03356,18-59,5,6
2023-11-10,03356,60+,1,5
2023-11-10,03356,60+,4,6
2023-11-10,03356,60+,5,48
2023-11-10,03356,60+,6,9
2023-11-10,03357,18-59,4,16
2023-11-10,03357,18-59,5,20
2023-11-10,03357,18-59,6,6
2023-11-10,03357,60+,3,5
2023-11-10,03357,60+,4,13
2023-11-10,03357,60+,5,110
2023-11-10,03357,60+,6,16
2023-11-10,03358,18-59,4,5
2023-11-10,03358,18-59,5,8
2023-11-10,03358,60+,3,8
2023-11-10,03358,60+,4,25
2023-11-10,03358,60+,5,82
2023-11-10,03358,60+,6,22
2023-11-10,03359,18-59,4,6
2023-11-10,03359,18-59,5,6
2023-11-10,03359,60+,4,23
2023-11-10,03359,60+,5,115
2023-11-10,03359,60+,6,32
2023-11-10,03360,18-59,4,7
2023-11-10,03360,18-59,5,5
2023-11-10,03360,60+,4,13
2023-11-10,03360,60+,5,73
2023-11-10,03360,60+,6,5
2023-11-10,03361,18-59,4,7
2023-11-10,03361,18-59,5,16
2023-11-10,03361,18-59,6,5
2023-11-10,03361,60+,4,19
2023-11-10,03361,60+,5,144
2023-11-10,03361,60+,6,11
2023-11-10,03401,18-59,4,5
2023-11-10,03401,60+,5,12
2023-11-10,03402,60+,5,39
2023-11-10,03403,18-59,4,11
2023-11-10,03403,18-59,5,15
2023-11-10,03403,18-59,6,6
2023-11-10,03403,60+,3,5
2023-11-10,03403,60+,4,38
2023-11-10,03403,60+,5,141
2023-11-10,03403,60+,6,9
2023-11-10,03404,18-59,4,6
2023-11-10,03404,18-59,5,7
2023-11-10,03404,60+,4,6
2023-11-10,03404,60+,5,72
2023-11-10,03404,60+,6,5
2023-11-10,03405,60+,4,14
2023-11-10,03405,60+,5,62
2023-11-10,03405,60+,6,9
2023-11-10,03451,12-17,5,5
2023-11-10,03451,18-59,4,18
2023-11-10,03451,18-59,5,5
2023-11-10,03451,60+,4,35
2023-11-10,03451,60+,5,71
2023-11-10,03451,60+,6,13
2023-11-10,03452,18-59,5,12
2023-11-10,03452,60+,5,20
2023-11-10,03453,18-59,4,6
2023-11-10,03453,60+,1,5
2023-11-10,03453,60+,5,47
2023-11-10,03453,60+,6,10
2023-11-10,03454,18-59,2,5
2023-11-10,03454,18-59,4,13
2023-11-10,03454,18-59,5,32
2023-11-10,03454,18-59,6,15
2023-11-10,03454,60+,4,17
2023-11-10,03454,60+,5,86
2023-11-10,03454,60+,6,8
2023-11-10,03455,12-17,5,5
2023-11-10,03455,18-59,4,5
2023-11-10,03455,18-59,5,10
2023-11-10,03455,60+,4,6
2023-11-10,03455,60+,5,95
2023-11-10,03455,60+,6,6
2023-11-10,03456,60+,5,14
2023-11-10,03456,60+,6,9
2023-11-10,03457,18-59,5,5
2023-11-10,03457,60+,4,7
2023-11-10,03457,60+,5,84
2023-11-10,03457,60+,6,7
2023-11-10,03458,18-59,4,11
2023-11-10,03458,18-59,5,48
2023-11-10,03458,60+,4,33
2023-11-10,03458,60+,5,226
2023-11-10,03458,60+,6,60
2023-11-10,03459,18-59,4,10
2023-11-10,03459,18-59,5,18
2023-11-10,03459,60+,4,33
2023-11-10,03459,60+,5,224
2023-11-10,03459,60+,6,65
2023-11-10,03460,18-59,4,12
2023-11-10,03460,18-59,5,12
2023-11-10,03460,60+,4,19
