datum,ags,intensivbetten_frei,intensivbetten_belegt
2024-08-13,01001,5.0,21.0
2024-08-13,01002,21.0,115.0
2024-08-13,01003,14.0,98.0
2024-08-13,01004,3.0,20.0
2024-08-13,01051,2.0,38.0
2024-08-13,01053,1.0,7.0
2024-08-13,01054,1.0,23.0
2024-08-13,01055,2.0,22.0
2024-08-13,01056,2.0,25.0
2024-08-13,01057,1.0,7.0
2024-08-13,01058,10.0,22.0
2024-08-13,01060,22.0,55.0
2024-08-13,01061,9.0,36.0
2024-08-13,01062,6.0,20.0
2024-08-13,02000,84.0,320.0
2024-08-13,03101,30.0,84.0
2024-08-13,03102,3.0,3.0
2024-08-13,03103,5.0,27.0
2024-08-13,03151,3.0,3.0
2024-08-13,03155,3.0,5.0
2024-08-13,03157,2.0,4.0
2024-08-13,03158,6.0,10.0
2024-08-13,03159,21.0,97.0
2024-08-13,03241,10.0,63.0
2024-08-13,03251,0.0,12.0
2024-08-13,03252,14.0,27.0
2024-08-13,03254,11.0,40.0
2024-08-13,03256,3.0,9.0
2024-08-13,03257,4.0,7.0
2024-08-13,03351,6.0,23.0
2024-08-13,03353,7.0,21.0
2024-08-13,03355,5.0,23.0
2024-08-13,03356,0.0,4.0
2024-08-13,03357,10.0,20.0
2024-08-13,03358,3.0,8.0
2024-08-13,03359,4.0,7.0
2024-08-13,03360,2.0,52.0
2024-08-13,03361,3.0,12.0
2024-08-13,03402,4.0,6.0
2024-08-13,03403,10.0,94.0
2024-08-13,03404,16.0,72.0
2024-08-13,03405,2.0,8.0
2024-08-13,03451,0.0,15.0
2024-08-13,03452,4.0,14.0
2024-08-13,03453,6.0,19.0
2024-08-13,03454,26.0,38.0
2024-08-13,03455,2.0,16.0
2024-08-13,03456,4.0,16.0
2024-08-13,03457,0.0,18.0
2024-08-13,03459,18.0,51.0
2024-08-13,03460,6.0,14.0
2024-08-13,04011,2.0,104.0
2024-08-13,04012,6.0,21.0
2024-08-13,05111,28.0,138.0
2024-08-13,05112,18.0,81.0
2024-08-13,05113,20.0,116.0
2024-08-13,05114,11.0,59.0
2024-08-13,05116,6.0,64.0
2024-08-13,05117,6.0,27.0
2024-08-13,05119,13.0,48.0
2024-08-13,05122,16.0,57.0
2024-08-13,05124,26.0,74.0
2024-08-13,05154,17.0,27.0
2024-08-13,05158,17.0,27.0
2024-08-13,05162,4.0,15.0
2024-08-13,05166,5.0,11.0
2024-08-13,05170,23.0,45.0
2024-08-13,05314,18.0,200.0
