datum,ags,intensivbetten_frei,intensivbetten_belegt
2021-08-06,07340,7.0,2.0
2021-08-06,08111,37.0,218.0
2021-08-06,08115,9.0,33.0
2021-08-06,08116,10.0,69.0
2021-08-06,08117,14.0,30.0
2021-08-06,08118,5.0,90.0
2021-08-06,08119,24.0,46.0
2021-08-06,08121,9.0,46.0
2021-08-06,08125,6.0,46.0
2021-08-06,08126,1.0,6.0
2021-08-06,08127,6.0,46.0
2021-08-06,08128,12.0,52.0
2021-08-06,08135,5.0,17.0
2021-08-06,08136,14.0,60.0
2021-08-06,08211,8.0,14.0
2021-08-06,08212,23.0,113.0
2021-08-06,08215,10.0,41.0
2021-08-06,08216,0.0,10.0
2021-08-06,08221,29.0,227.0
2021-08-06,08222,15.0,100.0
2021-08-06,08225,8.0,13.0
2021-08-06,08226,3.0,34.0
2021-08-06,08231,15.0,49.0
2021-08-06,08235,6.0,17.0
2021-08-06,08236,5.0,7.0
2021-08-06,08237,2.0,12.0
2021-08-06,08311,36.0,186.0
2021-08-06,08315,5.0,24.0
2021-08-06,08316,0.0,91.0
2021-08-06,08317,19.0,71.0
2021-08-06,08325,0.0,9.0
2021-08-06,08326,17.0,40.0
2021-08-06,08327,2.0,6.0
2021-08-06,08335,18.0,74.0
2021-08-06,08336,0.0,27.0
2021-08-06,08337,5.0,5.0
2021-08-06,08415,7.0,35.0
2021-08-06,08416,8.0,92.0
2021-08-06,08417,9.0,17.0
2021-08-06,08421,26.0,107.0
2021-08-06,08425,3.0,13.0
2021-08-06,08426,0.0,12.0
2021-08-06,08435,12.0,51.0
2021-08-06,08436,10.0,57.0
2021-08-06,08437,4.0,10.0
2021-08-06,09161,0.0,48.0
2021-08-06,09162,49.0,493.0
2021-08-06,09163,10.0,31.0
2021-08-06,09171,9.0,17.0
2021-08-06,09172,4.0,17.0
2021-08-06,09173,2.0,22.0
2021-08-06,09174,3.0,23.0
2021-08-06,09175,1.0,17.0
2021-08-06,09176,3.0,45.0
2021-08-06,09177,0.0,19.0
2021-08-06,09178,0.0,10.0
2021-08-06,09179,1.0,11.0
2021-08-06,09180,10.0,54.0
2021-08-06,09181,7.0,6.0
2021-08-06,09182,3.0,23.0
2021-08-06,09183,3.0,11.0
2021-08-06,09184,1.0,9.0
2021-08-06,09185,13.0,21.0
2021-08-06,09186,2.0,6.0
2021-08-06,09187,12.0,56.0
2021-08-06,09188,10.0,40.0
2021-08-06,09189,8.0,52.0
2021-08-06,09190,7.0,17.0
2021-08-06,09261,8.0,50.0
2021-08-06,09262,11.0,35.0
2021-08-06,09263,6.0,21.0
2021-08-06,09271,2.0,29.0
2021-08-06,09272,3.0,15.0
2021-08-06,09273,1.0,10.0
2021-08-06,09274,3.0,3.0
2021-08-06,09275,12.0,11.0
2021-08-06,09276,3.0,10.0
2021-08-06,09277,1.0,13.0
2021-08-06,09278,8.0,5.0
2021-08-06,09279,1.0,23.0
2021-08-06,09361,14.0,26.0
2021-08-06,09362,36.0,179.0
2021-08-06,09363,7.0,55.0
2021-08-06,09371,2.0,8.0
2021-08-06,09372,7.0,7.0
2021-08-06,09373,2.0,18.0
2021-08-06,09375,1.0,13.0
2021-08-06,09376,10.0,14.0
2021-08-06,09377,7.0,11.0
2021-08-06,09461,14.0,36.0
2021-08-06,09462,4.0,56.0
2021-08-06,09463,11.0,29.0
2021-08-06,09464,10.0,28.0
2021-08-06,09471,8.0,8.0
2021-08-06,09472,1.0,4.0
2021-08-06,09474,3.0,11.0
2021-08-06,09475,7.0,9.0
2021-08-06,09476,0.0,12.0
2021-08-06,09477,5.0,22.0
2021-08-06,09478,13.0,30.0
2021-08-06,09479,6.0,14.0
2021-08-06,09561,4.0,19.0
2021-08-06,09562,11.0,105.0
2021-08-06,09563,6.0,37.0
2021-08-06,09564,27.0,158.0
2021-08-06,09565,0.0,3.0
2021-08-06,09571,5.0,19.0
2021-08-06,09572,0.0,4.0
2021-08-06,09574,2.0,24.0
2021-08-06,09575,9.0,39.0
2021-08-06,09576,2.0,4.0
2021-08-06,09577,3.0,12.0
2021-08-06,09661,9.0,46.0
2021-08-06,09662,7.0,60.0
2021-08-06,09663,21.0,120.0
2021-08-06,09671,1.0,7.0
2021-08-06,09672,4.0,37.0
2021-08-06,09673,17.0,122.0
2021-08-06,09674,4.0,5.0
2021-08-06,09675,0.0,7.0
2021-08-06,09676,0.0,8.0
2021-08-06,09677,1.0,5.0
2021-08-06,09678,0.0,6.0
2021-08-06,09679,0.0,9.0
2021-08-06,09761,24.0,129.0
2021-08-06,09762,2.0,12.0
2021-08-06,09763,7.0,37.0
2021-08-06,09764,1.0,29.0
2021-08-06,09771,0.0,17.0
2021-08-06,09772,2.0,10.0
2021-08-06,09773,2.0,12.0
2021-08-06,09774,14.0,32.0
2021-08-06,09775,3.0,16.0
2021-08-06,09776,1.0,8.0
2021-08-06,09777,5.0,9.0
2021-08-06,09778,5.0,9.0
2021-08-06,09779,3.0,21.0
2021-08-06,09780,6.0,12.0
2021-08-06,10041,23.0,159.0
2021-08-06,10042,1.0,11.0
2021-08-06,10043,9.0,27.0
2021-08-06,10044,17.0,42.0
2021-08-06,10045,7.0,186.0
2021-08-06,10046,1.0,13.0
2021-08-06,11000,177.0,994.0
2021-08-06,12051,9.0,62.0
2021-08-06,12052,11.0,80.0
2021-08-06,12053,3.0,9.0
2021-08-06,12054,23.0,48.0
2021-08-06,12060,3.0,60.0
2021-08-06,12061,5.0,32.0
2021-08-06,12062,1.0,11.0
2021-08-06,12063,7.0,14.0
2021-08-06,12064,4.0,19.0
2021-08-06,12065,11.0,24.0
2021-08-06,12066,1.0,15.0
2021-08-06,12067,8.0,29.0
2021-08-06,12068,3.0,47.0
2021-08-06,12069,4.0,42.0
2021-08-06,12070,6.0,8.0
2021-08-06,12071,7.0,13.0
2021-08-06,12072,3.0,9.0
2021-08-06,12073,4.0,24.0
2021-08-06,13003,23.0,88.0
2021-08-06,13004,20.0,52.0
2021-08-06,13071,4.0,74.0
2021-08-06,13072,14.0,29.0
2021-08-06,13073,16.0,43.0
2021-08-06,13074,9.0,8.0
2021-08-06,13075,20.0,158.0
2021-08-06,13076,21.0,104.0
2021-08-06,14511,33.0,151.0
2021-08-06,14521,22.0,57.0
2021-08-06,14522,16.0,34.0
2021-08-06,14523,15.0,50.0
2021-08-06,14524,22.0,79.0
2021-08-06,14612,42.0,245.0
2021-08-06,14625,16.0,47.0
2021-08-06,14626,19.0,42.0
2021-08-06,14627,12.0,51.0
2021-08-06,14628,13.0,178.0
2021-08-06,14713,52.0,279.0
2021-08-06,14729,1.0,57.0
2021-08-06,14730,10.0,51.0
2021-08-06,15001,18.0,18.0
2021-08-06,15002,32.0,232.0
2021-08-06,15003,11.0,187.0
2021-08-06,15081,5.0,13.0
2021-08-06,15082,17.0,18.0
2021-08-06,15083,3.0,10.0
2021-08-06,15084,2.0,23.0
2021-08-06,15085,21.0,38.0
2021-08-06,15086,10.0,18.0
2021-08-06,15087,7.0,21.0
2021-08-06,15088,11.0,11.0
2021-08-06,15089,2.0,31.0
2021-08-06,15090,5.0,19.0
2021-08-06,15091,10.0,22.0
2021-08-06,16051,10.0,64.0
2021-08-06,16052,1.0,37.0
2021-08-06,16053,9.0,109.0
2021-08-06,16054,15.0,17.0
2021-08-06,16055,0.0,14.0
2021-08-06,16061,7.0,10.0
2021-08-06,16062,19.0,39.0
2021-08-06,16063,20.0,73.0
2021-08-06,16064,4.0,13.0
2021-08-06,16065,3.0,3.0
2021-08-06,16066,4.0,38.0
2021-08-06,16067,5.0,12.0
2021-08-06,16068,1.0,5.0
2021-08-06,16069,1.0,7.0
2021-08-06,16070,6.0,11.0
2021-08-06,16071,3.0,76.0
2021-08-06,16072,2.0,6.0
2021-08-06,16073,10.0,13.0
2021-08-06,16074,1.0,7.0
2021-08-06,16075,3.0,2.0
2021-08-06,16076,0.0,10.0
2021-08-06,16077,7.0,24.0
