datum,ags,intensivbetten_frei,intensivbetten_belegt
2022-09-21,01001,5.0,37.0
2022-09-21,01002,15.0,123.0
2022-09-21,01003,7.0,112.0
2022-09-21,01004,5.0,18.0
2022-09-21,01051,2.0,38.0
2022-09-21,01053,1.0,16.0
2022-09-21,01054,4.0,20.0
2022-09-21,01055,7.0,37.0
2022-09-21,01056,5.0,32.0
2022-09-21,01057,5.0,7.0
2022-09-21,01058,14.0,29.0
2022-09-21,01059,0.0,24.0
2022-09-21,01060,18.0,66.0
2022-09-21,01061,14.0,29.0
2022-09-21,01062,10.0,22.0
2022-09-21,02000,105.0,449.0
2022-09-21,03101,34.0,98.0
2022-09-21,03102,2.0,25.0
2022-09-21,03103,6.0,24.0
2022-09-21,03151,0.0,12.0
2022-09-21,03153,4.0,20.0
2022-09-21,03154,0.0,9.0
2022-09-21,03155,7.0,13.0
2022-09-21,03157,1.0,13.0
2022-09-21,03158,8.0,8.0
2022-09-21,03159,25.0,112.0
2022-09-21,03241,58.0,337.0
2022-09-21,03251,7.0,11.0
2022-09-21,03252,13.0,56.0
2022-09-21,03254,24.0,52.0
2022-09-21,03255,0.0,10.0
2022-09-21,03256,4.0,10.0
2022-09-21,03257,4.0,20.0
2022-09-21,03351,9.0,29.0
2022-09-21,03352,4.0,11.0
2022-09-21,03353,3.0,31.0
2022-09-21,03354,0.0,8.0
2022-09-21,03355,8.0,29.0
2022-09-21,03356,6.0,4.0
2022-09-21,03357,13.0,17.0
2022-09-21,03358,3.0,19.0
2022-09-21,03359,4.0,24.0
2022-09-21,03360,3.0,73.0
2022-09-21,03361,5.0,10.0
2022-09-21,03401,1.0,15.0
2022-09-21,03402,1.0,12.0
2022-09-21,03403,7.0,107.0
2022-09-21,03404,10.0,104.0
2022-09-21,03405,13.0,22.0
2022-09-21,03451,1.0,30.0
2022-09-21,03452,9.0,28.0
2022-09-21,03453,5.0,19.0
2022-09-21,03454,25.0,50.0
2022-09-21,03455,4.0,27.0
2022-09-21,03456,1.0,26.0
2022-09-21,03457,10.0,18.0
2022-09-21,03458,5.0,5.0
2022-09-21,03459,17.0,71.0
2022-09-21,03460,12.0,26.0
2022-09-21,03461,1.0,8.0
2022-09-21,03462,1.0,7.0
2022-09-21,04011,4.0,144.0
2022-09-21,04012,9.0,40.0
2022-09-21,05111,18.0,281.0
2022-09-21,05112,28.0,138.0
2022-09-21,05113,32.0,329.0
2022-09-21,05114,21.0,63.0
2022-09-21,05116,15.0,71.0
2022-09-21,05117,4.0,30.0
2022-09-21,05119,16.0,55.0
2022-09-21,05120,8.0,20.0
