datum,ags,intensivbetten_frei,intensivbetten_belegt
2022-12-26,01001,9,33
2022-12-26,01002,19,108
2022-12-26,01003,5,118
2022-12-26,01004,1,22
2022-12-26,01051,1,34
2022-12-26,01053,0,16
2022-12-26,01054,3,23
2022-12-26,01055,5,32
2022-12-26,01056,1,32
2022-12-26,01057,4,8
2022-12-26,01058,8,34
2022-12-26,01059,0,24
2022-12-26,01060,17,60
2022-12-26,01061,10,33
2022-12-26,01062,2,23
2022-12-26,02000,58,445
2022-12-26,03101,30,99
2022-12-26,03102,0,28
2022-12-26,03103,3,22
2022-12-26,03151,0,14
2022-12-26,03153,2,20
2022-12-26,03154,0,10
2022-12-26,03155,5,16
2022-12-26,03157,0,14
2022-12-26,03158,4,12
2022-12-26,03159,7,119
2022-12-26,03241,29,325
2022-12-26,03251,6,11
2022-12-26,03252,24,45
2022-12-26,03254,15,63
2022-12-26,03255,0,9
2022-12-26,03256,0,14
2022-12-26,03257,0,24
2022-12-26,03351,3,27
2022-12-26,03352,4,8
2022-12-26,03353,1,28
2022-12-26,03354,1,1
2022-12-26,03355,9,28
2022-12-26,03356,3,6
2022-12-26,03357,2,27
2022-12-26,03358,0,18
2022-12-26,03359,1,24
2022-12-26,03360,2,74
2022-12-26,03361,1,11
2022-12-26,03401,0,19
2022-12-26,03402,0,13
2022-12-26,03403,4,104
2022-12-26,03404,7,103
2022-12-26,03405,4,20
2022-12-26,03451,1,26
2022-12-26,03452,3,31
2022-12-26,03453,1,23
2022-12-26,03454,23,56
2022-12-26,03455,6,23
2022-12-26,03456,2,22
2022-12-26,03457,7,20
2022-12-26,03458,0,5
2022-12-26,03459,11,73
2022-12-26,03460,7,29
2022-12-26,03461,2,7
2022-12-26,03462,0,8
2022-12-26,04011,2,118
2022-12-26,04012,9,41
2022-12-26,05111,11,266
2022-12-26,05112,27,131
2022-12-26,05113,30,319
2022-12-26,05114,3,80
2022-12-26,05116,2,75
2022-12-26,05117,0,33
2022-12-26,05119,6,63
2022-12-26,05120,2,24
2022-12-26,05122,7,64
2022-12-26,05124,17,118
2022-12-26,05154,13,51
2022-12-26,05158,3,58
2022-12-26,05162,8,70
2022-12-26,05166,1,30
2022-12-26,05170,18,102
2022-12-26,05314,10,238
2022-12-26,05315,24,301
2022-12-26,05316,5,64
2022-12-26,05334,7,227
2022-12-26,05358,4,54
2022-12-26,05362,8,51
2022-12-26,05366,3,27
2022-12-26,05370,2,32
2022-12-26,05374,3,50
2022-12-26,05378,4,25
2022-12-26,05382,6,71
2022-12-26,05512,17,26
2022-12-26,05513,18,67
2022-12-26,05515,15,196
2022-12-26,05554,6,55
2022-12-26,05558,2,34
2022-12-26,05562,37,179
2022-12-26,05566,13,57
2022-12-26,05570,2,40
2022-12-26,05711,9,108
2022-12-26,05754,0,12
2022-12-26,05758,17,31
2022-12-26,05762,4,29
2022-12-26,05766,2,48
2022-12-26,05770,8,174
2022-12-26,05774,4,64
2022-12-26,05911,16,163
2022-12-26,05913,10,243
2022-12-26,05914,7,76
2022-12-26,05915,8,70
2022-12-26,05916,4,58
2022-12-26,05954,8,104
2022-12-26,05958,13,64
2022-12-26,05962,7,91
2022-12-26,05966,2,21
2022-12-26,05970,7,101
2022-12-26,05974,11,77
2022-12-26,05978,5,96
2022-12-26,06411,6,100
2022-12-26,06412,25,247
2022-12-26,06413,18,86
2022-12-26,06414,2,76
2022-12-26,06431,6,25
2022-12-26,06432,0,23
2022-12-26,06433,0,15
2022-12-26,06434,1,20
2022-12-26,06435,6,70
2022-12-26,06436,0,17
2022-12-26,06437,2,124
2022-12-26,06438,3,20
2022-12-26,06439,0,15
2022-12-26,06440,0,63
2022-12-26,06531,17,172
2022-12-26,06532,1,44
2022-12-26,06533,4,38
2022-12-26,06534,24,107
2022-12-26,06535,9,12
2022-12-26,06611,11,124
2022-12-26,06631,6,76
2022-12-26,06632,21,38
2022-12-26,06633,1,22
2022-12-26,06634,8,20
2022-12-26,06635,2,73
2022-12-26,06636,4,26
2022-12-26,07111,17,95
2022-12-26,07131,2,12
2022-12-26,07132,3,11
2022-12-26,07133,9,36
2022-12-26,07134,0,18
2022-12-26,07135,2,8
2022-12-26,07137,4,25
2022-12-26,07138,6,60
2022-12-26,07140,0,2
2022-12-26,07141,4,24
2022-12-26,07143,5,21
2022-12-26,07211,12,58
2022-12-26,07231,0,19
2022-12-26,07232,6,8
2022-12-26,07233,0,13
2022-12-26,07235,9,6
2022-12-26,07311,0,15
2022-12-26,07312,11,98
2022-12-26,07313,5,19
2022-12-26,07314,14,88
2022-12-26,07315,0,103
2022-12-26,07316,0,15
2022-12-26,07317,6,8
2022-12-26,07318,0,25
2022-12-26,07319,9,39
2022-12-26,07320,5,5
2022-12-26,07331,1,5
2022-12-26,07332,2,11
2022-12-26,07333,0,12
