date,ags,age_group,stage,new
2022-06-30,1001,18-59,3,14
2022-06-30,1001,18-59,4,35
2022-06-30,1001,60+,4,36
2022-06-30,1002,05-11,1,5
2022-06-30,1002,05-11,2,6
2022-06-30,1002,18-59,3,24
2022-06-30,1002,18-59,4,89
2022-06-30,1002,60+,4,115
2022-06-30,1002,60+,5,7
2022-06-30,1003,05-11,1,9
2022-06-30,1003,05-11,2,12
2022-06-30,1003,12-17,2,5
2022-06-30,1003,12-17,3,6
2022-06-30,1003,18-59,3,21
2022-06-30,1003,18-59,4,85
2022-06-30,1003,60+,3,17
2022-06-30,1003,60+,4,149
2022-06-30,1004,18-59,4,30
2022-06-30,1004,60+,4,38
2022-06-30,1051,05-11,2,5
2022-06-30,1051,12-17,3,8
2022-06-30,1051,18-59,1,5
2022-06-30,1051,18-59,3,6
2022-06-30,1051,18-59,4,23
2022-06-30,1051,60+,4,61
2022-06-30,1053,05-11,1,8
2022-06-30,1053,05-11,2,6
2022-06-30,1053,12-17,2,5
2022-06-30,1053,12-17,3,5
2022-06-30,1053,18-59,3,21
2022-06-30,1053,18-59,4,64
2022-06-30,1053,60+,4,99
2022-06-30,1054,05-11,3,5
2022-06-30,1054,18-59,3,17
2022-06-30,1054,18-59,4,38
2022-06-30,1054,60+,3,7
2022-06-30,1054,60+,4,92
2022-06-30,1055,12-17,2,6
2022-06-30,1055,12-17,3,14
2022-06-30,1055,18-59,2,6
2022-06-30,1055,18-59,3,10
2022-06-30,1055,18-59,4,60
2022-06-30,1055,60+,4,127
2022-06-30,1056,05-11,2,11
2022-06-30,1056,12-17,1,6
2022-06-30,1056,12-17,3,11
2022-06-30,1056,12-17,4,5
2022-06-30,1056,18-59,2,6
2022-06-30,1056,18-59,3,34
2022-06-30,1056,18-59,4,64
2022-06-30,1056,60+,2,6
2022-06-30,1056,60+,3,17
2022-06-30,1056,60+,4,150
2022-06-30,1057,05-11,1,6
2022-06-30,1057,12-17,1,6
2022-06-30,1057,12-17,2,5
2022-06-30,1057,12-17,3,14
2022-06-30,1057,18-59,2,11
2022-06-30,1057,18-59,3,15
2022-06-30,1057,18-59,4,29
2022-06-30,1057,60+,1,7
2022-06-30,1057,60+,2,18
2022-06-30,1057,60+,3,29
2022-06-30,1057,60+,4,90
2022-06-30,1058,05-11,1,5
2022-06-30,1058,12-17,3,7
2022-06-30,1058,18-59,3,13
2022-06-30,1058,18-59,4,103
2022-06-30,1058,60+,2,5
2022-06-30,1058,60+,3,5
2022-06-30,1058,60+,4,156
2022-06-30,1059,18-59,3,5
2022-06-30,1059,18-59,4,32
2022-06-30,1059,60+,4,86
2022-06-30,1059,60+,5,5
2022-06-30,1060,18-59,3,10
2022-06-30,1060,18-59,4,43
2022-06-30,1060,60+,3,10
2022-06-30,1060,60+,4,87
2022-06-30,1061,18-59,3,11
2022-06-30,1061,18-59,4,38
2022-06-30,1061,60+,4,62
2022-06-30,1062,12-17,3,9
2022-06-30,1062,18-59,2,8
2022-06-30,1062,18-59,3,27
2022-06-30,1062,18-59,4,40
2022-06-30,1062,60+,3,6
2022-06-30,1062,60+,4,115
2022-06-30,2000,05-11,1,5
2022-06-30,2000,05-11,2,13
2022-06-30,2000,12-17,1,9
2022-06-30,2000,12-17,2,15
2022-06-30,2000,12-17,3,45
2022-06-30,2000,12-17,4,8
2022-06-30,2000,18-59,1,29
2022-06-30,2000,18-59,2,51
2022-06-30,2000,18-59,3,400
2022-06-30,2000,18-59,4,304
2022-06-30,2000,60+,1,6
2022-06-30,2000,60+,2,15
2022-06-30,2000,60+,3,449
2022-06-30,2000,60+,4,841
2022-06-30,3101,18-59,2,8
2022-06-30,3101,18-59,3,24
2022-06-30,3101,18-59,4,110
2022-06-30,3101,60+,3,8
2022-06-30,3101,60+,4,158
2022-06-30,3102,18-59,1,6
2022-06-30,3102,18-59,2,5
2022-06-30,3102,18-59,3,14
2022-06-30,3102,18-59,4,14
2022-06-30,3102,60+,1,5
2022-06-30,3102,60+,3,5
2022-06-30,3102,60+,4,58
2022-06-30,3103,18-59,3,7
2022-06-30,3103,18-59,4,25
2022-06-30,3103,60+,1,5
2022-06-30,3103,60+,4,50
2022-06-30,3151,05-11,2,5
2022-06-30,3151,12-17,3,8
2022-06-30,3151,18-59,2,6
2022-06-30,3151,18-59,3,23
2022-06-30,3151,18-59,4,27
2022-06-30,3151,60+,3,8
2022-06-30,3151,60+,4,74
2022-06-30,3153,18-59,2,8
2022-06-30,3153,18-59,3,11
2022-06-30,3153,18-59,4,27
2022-06-30,3153,60+,3,6
2022-06-30,3153,60+,4,113
2022-06-30,3154,18-59,3,8
2022-06-30,3154,60+,3,6
2022-06-30,3154,60+,4,26
2022-06-30,3155,18-59,1,5
2022-06-30,3155,18-59,3,10
2022-06-30,3155,18-59,4,45
2022-06-30,3155,60+,3,8
2022-06-30,3155,60+,4,88
2022-06-30,3157,18-59,2,5
2022-06-30,3157,18-59,3,8
2022-06-30,3157,18-59,4,10
2022-06-30,3157,60+,4,26
2022-06-30,3158,05-11,3,5
2022-06-30,3158,12-17,3,6
2022-06-30,3158,18-59,3,6
2022-06-30,3158,18-59,4,18
2022-06-30,3158,60+,3,7
2022-06-30,3158,60+,4,53
2022-06-30,3159,12-17,1,5
2022-06-30,3159,12-17,3,7
2022-06-30,3159,18-59,1,8
2022-06-30,3159,18-59,3,18
2022-06-30,3159,18-59,4,45
2022-06-30,3159,60+,3,12
2022-06-30,3159,60+,4,226
2022-06-30,3241,05-11,2,6
2022-06-30,3241,05-11,3,13
2022-06-30,3241,12-17,2,10
2022-06-30,3241,12-17,3,14
2022-06-30,3241,18-59,1,5
2022-06-30,3241,18-59,2,31
2022-06-30,3241,18-59,3,117
2022-06-30,3241,18-59,4,196
2022-06-30,3241,60+,3,50
2022-06-30,3241,60+,4,553
2022-06-30,3251,18-59,3,13
2022-06-30,3251,18-59,4,23
2022-06-30,3251,60+,3,7
2022-06-30,3251,60+,4,95
2022-06-30,3252,05-11,2,6
2022-06-30,3252,18-59,2,6
2022-06-30,3252,18-59,3,9
2022-06-30,3252,18-59,4,21
2022-06-30,3252,60+,4,43
2022-06-30,3254,12-17,3,5
2022-06-30,3254,18-59,3,60
2022-06-30,3254,18-59,4,39
2022-06-30,3254,60+,3,6
2022-06-30,3254,60+,4,98
2022-06-30,3255,18-59,3,7
2022-06-30,3255,18-59,4,9
2022-06-30,3255,60+,1,5
2022-06-30,3255,60+,3,7
2022-06-30,3255,60+,4,77
2022-06-30,3256,05-11,1,6
2022-06-30,3256,12-17,3,5
2022-06-30,3256,18-59,4,31
2022-06-30,3256,60+,4,38
2022-06-30,3257,18-59,2,5
2022-06-30,3257,18-59,3,10
2022-06-30,3257,18-59,4,41
2022-06-30,3257,60+,4,100
2022-06-30,3351,18-59,1,5
2022-06-30,3351,18-59,3,18
2022-06-30,3351,18-59,4,10
2022-06-30,3351,60+,3,17
2022-06-30,3351,60+,4,150
2022-06-30,3352,18-59,3,11
2022-06-30,3352,18-59,4,44
2022-06-30,3352,60+,3,5
2022-06-30,3352,60+,4,110
2022-06-30,3353,12-17,2,8
2022-06-30,3353,12-17,3,5
2022-06-30,3353,18-59,1,5
2022-06-30,3353,18-59,3,15
2022-06-30,3353,18-59,4,35
2022-06-30,3353,60+,4,139
2022-06-30,3354,18-59,4,7
2022-06-30,3354,60+,4,52
2022-06-30,3355,12-17,3,5
2022-06-30,3355,18-59,3,7
2022-06-30,3355,18-59,4,61
2022-06-30,3355,60+,4,88
2022-06-30,3356,18-59,3,9
2022-06-30,3356,18-59,4,25
2022-06-30,3356,60+,4,43
2022-06-30,3357,12-17,2,5
2022-06-30,3357,18-59,3,6
2022-06-30,3357,18-59,4,24
2022-06-30,3357,60+,4,87
2022-06-30,3358,18-59,3,8
2022-06-30,3358,18-59,4,14
2022-06-30,3358,60+,4,52
2022-06-30,3359,05-11,2,8
