date,ags,age_group,stage,new
2022-04-16,01002,18-59,4,7
2022-04-16,01002,60+,4,17
2022-04-16,01003,18-59,1,5
2022-04-16,01003,18-59,3,8
2022-04-16,01003,18-59,4,7
2022-04-16,01051,60+,4,19
2022-04-16,01053,60+,4,32
2022-04-16,01055,60+,4,7
2022-04-16,01056,05-11,1,6
2022-04-16,01056,18-59,4,5
2022-04-16,01057,18-59,2,8
2022-04-16,01057,18-59,3,11
2022-04-16,01059,60+,4,11
2022-04-16,01062,18-59,4,6
2022-04-16,01062,60+,4,11
2022-04-16,02000,12-17,3,10
2022-04-16,02000,18-59,1,6
2022-04-16,02000,18-59,2,21
2022-04-16,02000,18-59,3,46
2022-04-16,02000,18-59,4,31
2022-04-16,02000,60+,3,10
2022-04-16,02000,60+,4,30
2022-04-16,03101,60+,4,5
2022-04-16,03154,60+,4,22
2022-04-16,03155,18-59,1,8
2022-04-16,03155,18-59,4,7
2022-04-16,03155,60+,4,18
2022-04-16,03158,18-59,3,6
2022-04-16,03158,18-59,4,5
2022-04-16,03158,60+,4,12
2022-04-16,03159,18-59,3,12
2022-04-16,03159,60+,4,8
2022-04-16,03241,18-59,3,9
2022-04-16,03241,60+,3,5
2022-04-16,03241,60+,4,19
2022-04-16,03353,18-59,2,5
2022-04-16,03353,60+,4,64
2022-04-16,03355,18-59,3,6
2022-04-16,03360,18-59,3,8
2022-04-16,03360,18-59,4,8
2022-04-16,03360,60+,4,22
2022-04-16,03361,18-59,3,5
2022-04-16,03361,60+,4,12
2022-04-16,03401,18-59,3,9
2022-04-16,03401,60+,4,7
2022-04-16,03403,18-59,2,6
2022-04-16,03403,18-59,3,26
2022-04-16,03403,60+,4,6
2022-04-16,03404,05-11,1,8
2022-04-16,03404,05-11,2,10
2022-04-16,03404,12-17,3,9
2022-04-16,03404,18-59,1,6
2022-04-16,03404,18-59,3,19
2022-04-16,03404,60+,4,17
2022-04-16,03453,18-59,3,5
2022-04-16,03454,60+,4,7
2022-04-16,03456,12-17,3,6
2022-04-16,03461,60+,4,5
2022-04-16,05111,18-59,3,28
2022-04-16,05111,60+,3,6
2022-04-16,05111,60+,4,13
2022-04-16,05112,18-59,2,6
2022-04-16,05112,18-59,3,21
2022-04-16,05112,18-59,4,17
2022-04-16,05112,60+,4,40
2022-04-16,05113,05-11,2,7
2022-04-16,05113,12-17,2,6
2022-04-16,05113,18-59,1,13
2022-04-16,05113,18-59,2,15
2022-04-16,05113,18-59,3,58
2022-04-16,05113,18-59,4,21
2022-04-16,05113,60+,2,8
2022-04-16,05113,60+,3,11
2022-04-16,05113,60+,4,37
2022-04-16,05114,18-59,4,5
2022-04-16,05114,60+,4,23
2022-04-16,05116,12-17,2,5
2022-04-16,05116,18-59,3,5
2022-04-16,05116,18-59,4,7
2022-04-16,05116,60+,4,11
2022-04-16,05117,18-59,3,27
2022-04-16,05117,18-59,4,18
2022-04-16,05117,60+,4,23
2022-04-16,05119,05-11,1,6
2022-04-16,05119,18-59,1,5
2022-04-16,05119,18-59,2,6
2022-04-16,05119,18-59,3,31
2022-04-16,05119,18-59,4,21
2022-04-16,05119,60+,3,16
2022-04-16,05119,60+,4,40
2022-04-16,05122,18-59,2,9
2022-04-16,05122,18-59,3,44
2022-04-16,05122,18-59,4,7
2022-04-16,05122,60+,2,6
2022-04-16,05122,60+,3,5
2022-04-16,05122,60+,4,56
2022-04-16,05154,18-59,4,12
2022-04-16,05154,60+,4,16
2022-04-16,05158,12-17,3,8
2022-04-16,05158,18-59,3,23
2022-04-16,05158,18-59,4,7
2022-04-16,05158,60+,4,47
2022-04-16,05162,05-11,2,5
2022-04-16,05162,12-17,3,12
2022-04-16,05162,18-59,2,6
2022-04-16,05162,18-59,3,28
2022-04-16,05162,18-59,4,28
2022-04-16,05162,60+,3,9
2022-04-16,05162,60+,4,66
2022-04-16,05166,05-11,2,13
2022-04-16,05166,12-17,3,6
2022-04-16,05166,18-59,3,12
2022-04-16,05166,18-59,4,10
2022-04-16,05166,60+,4,11
2022-04-16,05170,18-59,3,10
2022-04-16,05170,18-59,4,8
2022-04-16,05170,60+,4,28
2022-04-16,05314,12-17,2,5
2022-04-16,05314,18-59,2,5
2022-04-16,05314,18-59,3,6
2022-04-16,05314,60+,4,9
2022-04-16,05315,05-11,2,9
2022-04-16,05315,12-17,2,6
2022-04-16,05315,18-59,2,5
2022-04-16,05315,18-59,3,42
2022-04-16,05315,18-59,4,22
2022-04-16,05315,60+,3,7
2022-04-16,05315,60+,4,69
2022-04-16,05334,12-17,3,5
2022-04-16,05334,18-59,2,5
2022-04-16,05334,18-59,3,17
2022-04-16,05334,18-59,4,6
2022-04-16,05334,60+,4,11
2022-04-16,05358,18-59,1,7
2022-04-16,05358,18-59,3,15
2022-04-16,05358,18-59,4,6
2022-04-16,05358,60+,4,15
2022-04-16,05362,18-59,1,5
2022-04-16,05362,18-59,2,5
2022-04-16,05362,18-59,3,6
2022-04-16,05362,60+,4,25
2022-04-16,05366,18-59,1,5
2022-04-16,05366,18-59,2,9
2022-04-16,05366,18-59,3,18
2022-04-16,05366,18-59,4,8
2022-04-16,05366,60+,2,7
2022-04-16,05366,60+,3,5
2022-04-16,05366,60+,4,26
2022-04-16,05378,18-59,3,11
2022-04-16,05378,18-59,4,7
2022-04-16,05378,60+,4,18
2022-04-16,05382,12-17,3,10
2022-04-16,05382,18-59,2,11
2022-04-16,05382,18-59,3,23
2022-04-16,05382,18-59,4,5
2022-04-16,05382,60+,3,5
2022-04-16,05382,60+,4,52
2022-04-16,05554,12-17,3,6
2022-04-16,05554,18-59,3,25
2022-04-16,05554,60+,3,6
2022-04-16,05554,60+,4,11
2022-04-16,05562,05-11,3,5
2022-04-16,05562,60+,4,9
2022-04-16,05566,05-11,1,5
2022-04-16,05566,18-59,2,5
2022-04-16,05566,18-59,3,7
2022-04-16,05566,18-59,4,11
2022-04-16,05566,60+,3,6
2022-04-16,05566,60+,4,15
2022-04-16,05711,18-59,1,5
2022-04-16,05711,18-59,3,16
2022-04-16,05711,18-59,4,10
2022-04-16,05711,60+,4,9
2022-04-16,05754,12-17,3,7
2022-04-16,05754,18-59,2,6
2022-04-16,05754,18-59,3,6
2022-04-16,05754,60+,4,13
2022-04-16,05762,12-17,3,7
2022-04-16,05762,18-59,3,7
2022-04-16,05762,60+,4,15
2022-04-16,05774,60+,4,8
2022-04-16,05911,12-17,1,5
2022-04-16,05911,18-59,3,18
2022-04-16,05911,18-59,4,10
2022-04-16,05911,60+,4,7
2022-04-16,05913,60+,4,7
2022-04-16,05962,12-17,1,5
2022-04-16,05962,12-17,2,5
2022-04-16,05962,18-59,2,10
2022-04-16,05962,18-59,3,19
2022-04-16,05962,18-59,4,9
2022-04-16,05962,60+,4,32
2022-04-16,05974,18-59,4,5
2022-04-16,05974,60+,4,20
2022-04-16,05978,12-17,2,5
2022-04-16,05978,12-17,3,6
2022-04-16,05978,18-59,2,5
2022-04-16,05978,18-59,3,12
2022-04-16,05978,18-59,4,9
2022-04-16,05978,60+,4,21
2022-04-16,06412,18-59,3,10
2022-04-16,06433,12-17,3,7
2022-04-16,06433,18-59,2,7
2022-04-16,06433,18-59,3,12
2022-04-16,06433,18-59,4,10
2022-04-16,06433,60+,4,30
2022-04-16,06437,12-17,2,5
2022-04-16,06437,60+,4,6
2022-04-16,06438,05-11,1,5
2022-04-16,06438,18-59,3,12
2022-04-16,06438,18-59,4,7
2022-04-16,06438,60+,3,5
2022-04-16,06438,60+,4,20
2022-04-16,06440,12-17,3,5
2022-04-16,06440,18-59,1,14
2022-04-16,06440,18-59,3,9
2022-04-16,06440,18-59,4,6
2022-04-16,06440,60+,3,7
2022-04-16,06440,60+,4,8
2022-04-16,06531,12-17,3,5
2022-04-16,06531,18-59,3,9
2022-04-16,06531,18-59,4,5
2022-04-16,06532,18-59,2,5
2022-04-16,06532,18-59,3,11
2022-04-16,06532,18-59,4,9
2022-04-16,06532,60+,4,6
2022-04-16,06534,18-59,2,7
2022-04-16,06534,18-59,3,10
2022-04-16,06534,60+,4,9
2022-04-16,06535,60+,4,15
2022-04-16,06611,12-17,1,6
2022-04-16,06611,12-17,3,6
2022-04-16,06611,18-59,2,11
2022-04-16,06611,18-59,3,11
2022-04-16,06611,60+,3,11
2022-04-16,06611,60+,4,10
2022-04-16,06632,60+,4,6
2022-04-16,06633,60+,4,5
2022-04-16,06635,05-11,1,5
2022-04-16,06635,05-11,2,7
2022-04-16,06635,12-17,2,12
2022-04-16,06635,12-17,3,6
2022-04-16,06635,18-59,2,7
2022-04-16,06635,18-59,3,8
2022-04-16,06635,18-59,4,6
2022-04-16,06635,60+,4,16
2022-04-16,07134,60+,4,18
2022-04-16,07137,05-11,1,5
2022-04-16,07137,05-11,2,5
2022-04-16,07137,05-11,3,7
2022-04-16,07137,05-11,4,6
2022-04-16,07137,18-59,4,14
2022-04-16,07138,18-59,4,5
2022-04-16,07138,60+,2,5
2022-04-16,07138,60+,4,19
2022-04-16,07232,18-59,3,6
2022-04-16,07232,60+,4,11
2022-04-16,07233,12-17,1,6
2022-04-16,07233,12-17,3,5
2022-04-16,07233,18-59,3,10
2022-04-16,07233,60+,4,18
2022-04-16,07311,18-59,3,6
2022-04-16,07311,60+,4,6
2022-04-16,07314,18-59,3,13
