date,ags,age_group,stage,new
2023-03-27,1001,60+,4,5
2023-03-27,1002,18-59,5,7
2023-03-27,1002,60+,5,17
2023-03-27,1053,18-59,5,6
2023-03-27,1053,60+,4,8
2023-03-27,1053,60+,5,7
2023-03-27,1054,60+,5,6
2023-03-27,1058,60+,5,11
2023-03-27,1060,18-59,4,7
2023-03-27,1060,60+,5,11
2023-03-27,2000,18-59,3,10
2023-03-27,2000,18-59,4,6
2023-03-27,2000,18-59,5,5
2023-03-27,2000,60+,3,14
2023-03-27,2000,60+,4,7
2023-03-27,2000,60+,5,5
2023-03-27,3241,12-17,1,15
2023-03-27,3241,18-59,2,8
2023-03-27,3241,18-59,4,11
2023-03-27,3241,60+,5,9
2023-03-27,3351,60+,5,5
2023-03-27,3353,18-59,4,5
2023-03-27,3353,60+,6,5
2023-03-27,3355,18-59,5,5
2023-03-27,3355,60+,5,6
2023-03-27,3359,18-59,5,5
2023-03-27,3455,60+,5,5
2023-03-27,3457,60+,4,9
2023-03-27,3457,60+,5,28
2023-03-27,5111,60+,4,6
2023-03-27,5112,60+,1,8
2023-03-27,5112,60+,2,5
2023-03-27,5112,60+,5,8
2023-03-27,5119,18-59,5,5
2023-03-27,5119,18-59,6,11
2023-03-27,5119,60+,5,7
2023-03-27,5119,60+,6,8
2023-03-27,5120,60+,4,8
2023-03-27,5120,60+,5,6
2023-03-27,5124,18-59,4,6
2023-03-27,5154,60+,6,6
2023-03-27,5162,60+,5,6
2023-03-27,5166,18-59,1,14
2023-03-27,5166,18-59,2,5
2023-03-27,5170,60+,5,8
2023-03-27,5314,05-11,1,5
2023-03-27,5314,05-11,2,5
2023-03-27,5314,18-59,5,7
2023-03-27,5314,60+,5,7
2023-03-27,5315,18-59,4,10
2023-03-27,5315,60+,4,7
2023-03-27,5316,60+,5,6
2023-03-27,5334,12-17,1,5
2023-03-27,5334,60+,4,5
2023-03-27,5334,60+,5,8
2023-03-27,5382,18-59,4,5
2023-03-27,5554,18-59,4,229
2023-03-27,5554,60+,4,26
2023-03-27,5562,18-59,4,6
2023-03-27,5562,60+,4,14
2023-03-27,5562,60+,5,6
2023-03-27,5566,05-11,3,5
2023-03-27,5566,18-59,5,9
2023-03-27,5566,60+,3,5
2023-03-27,5566,60+,5,8
2023-03-27,5711,60+,4,5
2023-03-27,5711,60+,5,6
2023-03-27,5774,18-59,4,7
2023-03-27,5911,18-59,4,5
2023-03-27,5913,60+,4,6
2023-03-27,5954,18-59,4,7
2023-03-27,5954,60+,4,7
2023-03-27,5954,60+,5,5
2023-03-27,5966,60+,4,5
2023-03-27,6412,18-59,4,6
2023-03-27,6414,60+,5,5
2023-03-27,6434,60+,5,6
2023-03-27,6435,18-59,2,5
2023-03-27,6437,60+,5,5
2023-03-27,6440,18-59,3,6
2023-03-27,6440,18-59,4,5
2023-03-27,6440,60+,4,9
2023-03-27,6531,18-59,4,7
2023-03-27,6531,60+,5,6
2023-03-27,6534,18-59,4,7
2023-03-27,6534,18-59,5,6
2023-03-27,6631,18-59,5,7
2023-03-27,6631,60+,5,7
2023-03-27,6633,60+,4,5
2023-03-27,6634,60+,5,7
2023-03-27,7211,60+,5,5
2023-03-27,7315,12-17,3,5
2023-03-27,7315,60+,4,5
2023-03-27,7338,12-17,3,6
2023-03-27,7338,60+,5,9
2023-03-27,8111,05-11,2,5
2023-03-27,8111,18-59,2,5
2023-03-27,8111,18-59,4,18
2023-03-27,8111,18-59,5,8
2023-03-27,8111,60+,3,10
2023-03-27,8111,60+,4,29
