datum,ags,intensivbetten_frei,intensivbetten_belegt
2022-05-24,01001,7.0,33.0
2022-05-24,01002,28.0,108.0
2022-05-24,01003,4.0,116.0
2022-05-24,01004,2.0,23.0
2022-05-24,01051,4.0,21.0
2022-05-24,01053,2.0,16.0
2022-05-24,01054,7.0,17.0
2022-05-24,01055,3.0,45.0
2022-05-24,01056,3.0,31.0
2022-05-24,01057,4.0,8.0
2022-05-24,01058,5.0,36.0
2022-05-24,01059,1.0,23.0
2022-05-24,01060,23.0,63.0
2022-05-24,01061,8.0,35.0
2022-05-24,01062,9.0,23.0
2022-05-24,02000,111.0,457.0
2022-05-24,03101,29.0,103.0
2022-05-24,03102,3.0,25.0
2022-05-24,03103,2.0,27.0
2022-05-24,03151,0.0,10.0
2022-05-24,03153,3.0,22.0
2022-05-24,03154,0.0,16.0
2022-05-24,03155,6.0,14.0
2022-05-24,03157,0.0,14.0
2022-05-24,03158,5.0,11.0
2022-05-24,03159,12.0,126.0
2022-05-24,03241,62.0,334.0
2022-05-24,03251,6.0,11.0
2022-05-24,03252,13.0,61.0
2022-05-24,03254,25.0,52.0
2022-05-24,03255,5.0,5.0
2022-05-24,03256,6.0,10.0
2022-05-24,03257,4.0,20.0
2022-05-24,03351,4.0,32.0
2022-05-24,03352,4.0,8.0
2022-05-24,03353,4.0,28.0
2022-05-24,03354,0.0,6.0
2022-05-24,03355,6.0,31.0
2022-05-24,03356,2.0,7.0
2022-05-24,03357,6.0,24.0
2022-05-24,03358,1.0,21.0
2022-05-24,03359,5.0,23.0
2022-05-24,03360,4.0,72.0
2022-05-24,03361,3.0,12.0
2022-05-24,03401,9.0,10.0
2022-05-24,03402,2.0,11.0
2022-05-24,03403,8.0,107.0
2022-05-24,03404,5.0,102.0
2022-05-24,03405,3.0,26.0
2022-05-24,03451,5.0,24.0
2022-05-24,03452,4.0,33.0
2022-05-24,03453,4.0,19.0
2022-05-24,03454,18.0,71.0
2022-05-24,03455,8.0,23.0
2022-05-24,03456,3.0,22.0
2022-05-24,03457,11.0,18.0
2022-05-24,03458,1.0,9.0
2022-05-24,03459,11.0,82.0
2022-05-24,03460,9.0,27.0
2022-05-24,03461,7.0,8.0
2022-05-24,03462,1.0,7.0
2022-05-24,04011,8.0,140.0
2022-05-24,04012,12.0,39.0
2022-05-24,05111,28.0,271.0
2022-05-24,05112,31.0,142.0
2022-05-24,05113,41.0,305.0
2022-05-24,05114,14.0,73.0
2022-05-24,05116,12.0,77.0
2022-05-24,05117,1.0,31.0
2022-05-24,05119,9.0,61.0
2022-05-24,05120,9.0,19.0
2022-05-24,05122,8.0,64.0
2022-05-24,05124,11.0,127.0
2022-05-24,05154,24.0,47.0
2022-05-24,05158,15.0,46.0
2022-05-24,05162,17.0,83.0
2022-05-24,05166,4.0,33.0
2022-05-24,05170,29.0,99.0
2022-05-24,05314,13.0,272.0
2022-05-24,05315,22.0,310.0
2022-05-24,05316,10.0,56.0
2022-05-24,05334,19.0,239.0
2022-05-24,05358,5.0,53.0
2022-05-24,05362,10.0,47.0
2022-05-24,05366,3.0,27.0
2022-05-24,05370,2.0,34.0
2022-05-24,05374,16.0,42.0
2022-05-24,05378,8.0,32.0
2022-05-24,05382,11.0,68.0
2022-05-24,05512,16.0,27.0
2022-05-24,05513,14.0,80.0
2022-05-24,05515,17.0,195.0
2022-05-24,05554,21.0,46.0
2022-05-24,05558,2.0,30.0
2022-05-24,05562,45.0,179.0
2022-05-24,05566,11.0,92.0
2022-05-24,05570,16.0,34.0
2022-05-24,05711,11.0,122.0
2022-05-24,05754,6.0,20.0
2022-05-24,05758,4.0,39.0
2022-05-24,05762,6.0,31.0
2022-05-24,05766,2.0,48.0
2022-05-24,05770,12.0,181.0
2022-05-24,05774,16.0,68.0
2022-05-24,05911,30.0,159.0
2022-05-24,05913,17.0,264.0
2022-05-24,05914,12.0,75.0
2022-05-24,05915,32.0,60.0
2022-05-24,05916,7.0,56.0
2022-05-24,05954,24.0,108.0
2022-05-24,05958,18.0,63.0
2022-05-24,05962,23.0,83.0
2022-05-24,05966,7.0,19.0
2022-05-24,05970,7.0,96.0
2022-05-24,05974,16.0,72.0
2022-05-24,05978,5.0,97.0
2022-05-24,06411,25.0,81.0
2022-05-24,06412,35.0,251.0
2022-05-24,06413,25.0,81.0
2022-05-24,06414,8.0,80.0
2022-05-24,06431,7.0,35.0
2022-05-24,06432,0.0,20.0
2022-05-24,06433,0.0,23.0
2022-05-24,06434,3.0,19.0
2022-05-24,06435,6.0,75.0
2022-05-24,06436,2.0,24.0
2022-05-24,06437,5.0,121.0
2022-05-24,06438,7.0,16.0
2022-05-24,06439,4.0,10.0
2022-05-24,06440,8.0,57.0
2022-05-24,06531,15.0,199.0
2022-05-24,06532,1.0,44.0
2022-05-24,06533,14.0,34.0
2022-05-24,06534,20.0,117.0
2022-05-24,06535,12.0,12.0
2022-05-24,06611,18.0,127.0
2022-05-24,06631,6.0,75.0
2022-05-24,06632,14.0,44.0
2022-05-24,06633,7.0,22.0
2022-05-24,06634,11.0,18.0
2022-05-24,06635,16.0,63.0
2022-05-24,06636,6.0,24.0
2022-05-24,07111,16.0,103.0
2022-05-24,07131,3.0,16.0
2022-05-24,07132,6.0,8.0
2022-05-24,07133,15.0,31.0
2022-05-24,07134,1.0,18.0
2022-05-24,07135,4.0,2.0
2022-05-24,07137,12.0,26.0
2022-05-24,07138,18.0,53.0
2022-05-24,07140,3.0,11.0
2022-05-24,07141,9.0,24.0
2022-05-24,07143,6.0,19.0
2022-05-24,07211,13.0,65.0
2022-05-24,07231,7.0,15.0
2022-05-24,07232,3.0,11.0
2022-05-24,07233,2.0,11.0
2022-05-24,07235,4.0,8.0
2022-05-24,07311,4.0,9.0
2022-05-24,07312,17.0,91.0
2022-05-24,07313,2.0,21.0
2022-05-24,07314,16.0,86.0
2022-05-24,07315,1.0,104.0
2022-05-24,07316,5.0,12.0
2022-05-24,07317,2.0,14.0
2022-05-24,07318,3.0,24.0
2022-05-24,07319,6.0,46.0
2022-05-24,07320,4.0,5.0
2022-05-24,07331,1.0,5.0
2022-05-24,07332,4.0,12.0
2022-05-24,07333,7.0,5.0
2022-05-24,07334,7.0,17.0
2022-05-24,07335,4.0,6.0
2022-05-24,07336,0.0,16.0
2022-05-24,07337,1.0,8.0
2022-05-24,07339,0.0,11.0
2022-05-24,07340,6.0,1.0
2022-05-24,08111,35.0,215.0
2022-05-24,08115,10.0,41.0
2022-05-24,08116,13.0,70.0
2022-05-24,08117,18.0,22.0
2022-05-24,08118,7.0,74.0
2022-05-24,08119,19.0,43.0
2022-05-24,08121,14.0,40.0
2022-05-24,08125,2.0,45.0
2022-05-24,08126,0.0,7.0
2022-05-24,08127,9.0,41.0
2022-05-24,08128,13.0,43.0
2022-05-24,08135,9.0,13.0
2022-05-24,08136,11.0,58.0
2022-05-24,08211,5.0,17.0
2022-05-24,08212,5.0,101.0
2022-05-24,08215,7.0,37.0
2022-05-24,08216,5.0,7.0
2022-05-24,08221,20.0,218.0
2022-05-24,08222,14.0,90.0
2022-05-24,08225,7.0,14.0
2022-05-24,08226,1.0,39.0
2022-05-24,08231,7.0,46.0
2022-05-24,08235,3.0,19.0
2022-05-24,08236,2.0,10.0
2022-05-24,08237,2.0,10.0
2022-05-24,08311,51.0,151.0
2022-05-24,08315,2.0,27.0
2022-05-24,08316,2.0,94.0
2022-05-24,08317,7.0,80.0
2022-05-24,08325,2.0,8.0
2022-05-24,08326,7.0,50.0
2022-05-24,08327,5.0,5.0
2022-05-24,08335,16.0,72.0
2022-05-24,08336,3.0,32.0
2022-05-24,08337,0.0,10.0
2022-05-24,08415,16.0,22.0
2022-05-24,08416,0.0,90.0
2022-05-24,08417,3.0,19.0
2022-05-24,08421,21.0,110.0
2022-05-24,08425,2.0,10.0
