IdLandkreis,Altersgruppe,Geschlecht,Refdatum,AnzahlFall,AnzahlTodesfall
1055,A60-A79,M,2024-04-17,1,0
2000,A15-A34,W,2024-04-19,1,0
2000,A35-A59,M,2024-04-19,1,0
2000,A35-A59,W,2024-04-18,1,0
2000,A35-A59,W,2024-04-19,1,0
2000,A60-A79,M,2024-04-19,3,0
2000,A60-A79,W,2024-04-19,2,1
2000,A80+,W,2024-04-19,1,0
3151,A00-A04,M,2024-04-18,1,0
3151,A35-A59,W,2024-04-17,1,0
3151,A60-A79,M,2024-03-15,1,1
3357,A60-A79,M,2024-04-18,1,0
3359,A60-A79,W,2024-02-01,1,1
3452,A80+,W,2022-05-26,1,1
5111,A35-A59,M,2024-04-19,1,0
5117,A35-A59,W,2024-04-15,1,0
5158,A15-A34,M,2024-04-19,1,0
5162,A60-A79,W,2023-12-29,1,1
5315,A80+,W,2024-04-18,1,0
5334,A60-A79,M,2024-04-18,1,0
5358,A80+,W,2024-04-18,1,0
5370,A80+,W,2024-04-19,1,0
5378,A35-A59,M,2024-04-18,1,0
5382,A80+,M,2024-04-19,1,0
5515,A00-A04,M,2023-03-07,-1,0
5515,A35-A59,W,2024-04-18,1,0
5558,A35-A59,M,2024-04-19,1,0
5562,A60-A79,W,2024-04-18,1,0
5570,A60-A79,W,2024-04-17,1,0
5774,A15-A34,M,2024-04-18,1,0
5774,A60-A79,M,2024-04-18,1,0
5911,A35-A59,M,2024-04-16,1,0
5911,A35-A59,W,2024-04-16,1,0
5911,A60-A79,W,2024-04-16,1,0
5911,A60-A79,W,2024-04-18,1,0
5911,A80+,W,2024-04-18,1,0
5913,A60-A79,W,2024-04-18,1,0
5954,A80+,W,2024-04-18,1,0
6411,A15-A34,M,2022-01-20,-1,0
6411,A60-A79,M,2022-10-17,-1,0
6412,A35-A59,W,2024-04-19,1,0
6412,A60-A79,W,2024-04-17,1,0
6432,A05-A14,W,2022-01-21,-1,0
6432,A15-A34,W,2022-01-24,-1,0
6432,A35-A59,W,2024-04-19,1,0
6434,A35-A59,W,2024-04-18,1,0
6435,A80+,W,2024-04-19,1,0
6437,A60-A79,W,2024-04-18,1,0
6611,A15-A34,W,2024-04-19,1,0
6635,A60-A79,M,2024-04-17,1,0
7134,A60-A79,M,2024-04-18,1,0
7233,A80+,M,2024-04-18,1,0
7235,A60-A79,M,2024-04-18,1,0
7337,A80+,W,2020-11-03,1,0
8111,A60-A79,M,2024-04-17,1,0
8118,A15-A34,W,2024-04-19,1,0
8222,A60-A79,M,2024-04-19,1,0
8226,A35-A59,W,2022-04-09,-1,0
8226,A60-A79,M,2022-10-06,-1,0
8226,A60-A79,M,2022-10-27,1,0
8336,A80+,M,2024-04-19,1,0
8416,A60-A79,M,2024-04-18,1,0
8417,A60-A79,W,2024-04-18,1,0
8425,A00-A04,W,2024-04-19,1,0
8425,A15-A34,M,2024-04-19,1,0
9272,A60-A79,W,2024-04-17,-1,0
9274,A35-A59,W,2024-04-18,1,0
9371,A60-A79,W,2024-04-14,1,0
9373,A35-A59,M,2024-04-18,1,0
9463,A60-A79,W,2024-04-19,1,0
9472,A60-A79,M,2024-04-16,-1,0
9475,A60-A79,M,2024-04-18,1,0
9671,A80+,W,2024-04-19,1,0
9761,A35-A59,W,2024-04-19,1,0
9764,A60-A79,W,2024-04-19,1,0
9775,A60-A79,M,2024-04-19,1,0
11003,A35-A59,M,2024-04-19,1,0
11003,A35-A59,W,2024-04-19,1,0
13003,A80+,W,2024-04-18,1,0
14713,A80+,M,2024-04-18,1,0
14713,A80+,W,2024-04-18,1,0
14730,A00-A04,M,2024-04-15,1,0
15002,A05-A14,W,2024-04-16,1,0
15083,A35-A59,M,2024-04-19,1,0
15085,A15-A34,W,2024-04-19,1,0
15086,A15-A34,W,2024-04-18,1,0
16061,A80+,M,2024-04-16,1,0
16062,A80+,W,2024-04-17,-1,0
16072,A80+,M,2024-04-11,1,0
