datum,ags,intensivbetten_frei,intensivbetten_belegt
2021-09-06,01001,3.0,38.0
2021-09-06,01002,53.0,111.0
2021-09-06,01003,30.0,103.0
2021-09-06,01004,5.0,20.0
2021-09-06,01051,2.0,36.0
2021-09-06,01053,5.0,13.0
2021-09-06,01054,12.0,12.0
2021-09-06,01055,11.0,34.0
2021-09-06,01056,3.0,32.0
2021-09-06,01057,7.0,5.0
2021-09-06,01058,12.0,30.0
2021-09-06,01059,2.0,22.0
2021-09-06,01060,21.0,64.0
2021-09-06,01061,8.0,35.0
2021-09-06,01062,10.0,22.0
2021-09-06,02000,138.0,487.0
2021-09-06,03101,34.0,95.0
2021-09-06,03102,5.0,24.0
2021-09-06,03103,7.0,29.0
2021-09-06,03151,0.0,10.0
2021-09-06,03153,8.0,21.0
2021-09-06,03154,5.0,11.0
2021-09-06,03155,8.0,12.0
2021-09-06,03157,0.0,15.0
2021-09-06,03158,4.0,12.0
2021-09-06,03159,23.0,118.0
2021-09-06,03241,50.0,330.0
2021-09-06,03251,9.0,10.0
2021-09-06,03252,12.0,63.0
2021-09-06,03254,23.0,53.0
2021-09-06,03255,4.0,10.0
2021-09-06,03256,14.0,6.0
2021-09-06,03257,0.0,20.0
2021-09-06,03351,12.0,25.0
2021-09-06,03352,4.0,8.0
2021-09-06,03353,6.0,28.0
2021-09-06,03354,1.0,5.0
2021-09-06,03355,11.0,32.0
2021-09-06,03356,4.0,10.0
2021-09-06,03357,7.0,25.0
2021-09-06,03358,6.0,14.0
2021-09-06,03359,8.0,25.0
2021-09-06,03360,2.0,74.0
2021-09-06,03361,4.0,11.0
2021-09-06,03401,2.0,14.0
2021-09-06,03402,9.0,6.0
2021-09-06,03403,17.0,97.0
2021-09-06,03404,20.0,94.0
2021-09-06,03405,12.0,20.0
2021-09-06,03451,7.0,26.0
2021-09-06,03452,4.0,31.0
2021-09-06,03453,4.0,20.0
2021-09-06,03454,25.0,62.0
2021-09-06,03455,10.0,23.0
2021-09-06,03456,3.0,22.0
2021-09-06,03457,9.0,20.0
2021-09-06,03458,2.0,5.0
2021-09-06,03459,23.0,71.0
2021-09-06,03460,10.0,24.0
2021-09-06,03461,4.0,11.0
2021-09-06,03462,2.0,6.0
2021-09-06,04011,23.0,143.0
2021-09-06,04012,13.0,44.0
2021-09-06,05111,19.0,279.0
2021-09-06,05112,24.0,158.0
2021-09-06,05113,52.0,316.0
2021-09-06,05114,10.0,76.0
2021-09-06,05116,9.0,81.0
2021-09-06,05117,10.0,28.0
2021-09-06,05119,10.0,55.0
2021-09-06,05120,4.0,22.0
2021-09-06,05122,8.0,68.0
2021-09-06,05124,26.0,124.0
2021-09-06,05154,21.0,51.0
2021-09-06,05158,14.0,46.0
2021-09-06,05162,13.0,90.0
2021-09-06,05166,3.0,31.0
2021-09-06,05170,30.0,96.0
2021-09-06,05314,14.0,264.0
2021-09-06,05315,27.0,378.0
2021-09-06,05316,16.0,53.0
2021-09-06,05334,16.0,250.0
2021-09-06,05358,11.0,51.0
2021-09-06,05362,9.0,47.0
2021-09-06,05366,10.0,20.0
2021-09-06,05370,3.0,36.0
2021-09-06,05374,17.0,67.0
2021-09-06,05378,13.0,30.0
2021-09-06,05382,11.0,72.0
2021-09-06,05512,18.0,25.0
2021-09-06,05513,17.0,81.0
2021-09-06,05515,15.0,198.0
2021-09-06,05554,24.0,49.0
2021-09-06,05558,10.0,21.0
2021-09-06,05562,58.0,169.0
2021-09-06,05566,16.0,87.0
2021-09-06,05570,5.0,41.0
2021-09-06,05711,13.0,124.0
2021-09-06,05754,8.0,45.0
2021-09-06,05758,15.0,43.0
2021-09-06,05762,7.0,28.0
2021-09-06,05766,4.0,46.0
2021-09-06,05770,22.0,194.0
2021-09-06,05774,17.0,73.0
2021-09-06,05911,29.0,160.0
2021-09-06,05913,18.0,256.0
2021-09-06,05914,9.0,79.0
2021-09-06,05915,30.0,65.0
2021-09-06,05916,8.0,55.0
2021-09-06,05954,44.0,89.0
2021-09-06,05958,33.0,66.0
2021-09-06,05962,28.0,81.0
2021-09-06,05966,12.0,16.0
2021-09-06,05970,12.0,93.0
2021-09-06,05974,19.0,72.0
2021-09-06,05978,13.0,95.0
2021-09-06,06411,16.0,82.0
2021-09-06,06412,33.0,248.0
2021-09-06,06413,26.0,81.0
2021-09-06,06414,16.0,82.0
2021-09-06,06431,8.0,33.0
2021-09-06,06432,0.0,27.0
2021-09-06,06433,3.0,22.0
2021-09-06,06434,9.0,15.0
2021-09-06,06435,11.0,70.0
2021-09-06,06436,0.0,18.0
2021-09-06,06437,5.0,121.0
2021-09-06,06438,4.0,19.0
2021-09-06,06439,0.0,16.0
2021-09-06,06440,4.0,59.0
2021-09-06,06531,23.0,195.0
2021-09-06,06532,1.0,48.0
2021-09-06,06533,9.0,43.0
2021-09-06,06534,10.0,123.0
2021-09-06,06535,4.0,22.0
2021-09-06,06611,18.0,127.0
2021-09-06,06631,13.0,79.0
2021-09-06,06632,15.0,44.0
2021-09-06,06633,10.0,20.0
2021-09-06,06634,11.0,18.0
2021-09-06,06635,6.0,75.0
2021-09-06,06636,11.0,21.0
2021-09-06,07111,19.0,90.0
2021-09-06,07131,6.0,9.0
