datum,ags,intensivbetten_frei,intensivbetten_belegt
2021-11-21,01001,2.0,40.0
2021-11-21,01002,42.0,120.0
2021-11-21,01003,17.0,118.0
2021-11-21,01004,2.0,23.0
2021-11-21,01051,4.0,34.0
2021-11-21,01053,4.0,14.0
2021-11-21,01054,6.0,18.0
2021-11-21,01055,12.0,35.0
2021-11-21,01056,6.0,31.0
2021-11-21,01057,3.0,9.0
2021-11-21,01058,13.0,29.0
2021-11-21,01059,3.0,21.0
2021-11-21,01060,32.0,48.0
2021-11-21,01061,8.0,31.0
2021-11-21,01062,5.0,23.0
2021-11-21,02000,117.0,494.0
2021-11-21,03101,33.0,96.0
2021-11-21,03102,4.0,25.0
2021-11-21,03103,4.0,23.0
2021-11-21,03151,0.0,12.0
2021-11-21,03153,3.0,22.0
2021-11-21,03154,0.0,17.0
2021-11-21,03155,5.0,14.0
2021-11-21,03157,4.0,12.0
2021-11-21,03158,4.0,12.0
2021-11-21,03159,19.0,111.0
2021-11-21,03241,57.0,338.0
2021-11-21,03251,3.0,14.0
2021-11-21,03252,19.0,56.0
2021-11-21,03254,14.0,57.0
2021-11-21,03255,3.0,8.0
2021-11-21,03256,2.0,12.0
2021-11-21,03257,0.0,27.0
2021-11-21,03351,5.0,25.0
2021-11-21,03352,3.0,12.0
2021-11-21,03353,7.0,25.0
2021-11-21,03354,0.0,7.0
2021-11-21,03355,5.0,37.0
2021-11-21,03356,4.0,7.0
2021-11-21,03357,8.0,22.0
2021-11-21,03358,6.0,14.0
2021-11-21,03359,7.0,22.0
2021-11-21,03360,4.0,72.0
2021-11-21,03361,2.0,13.0
2021-11-21,03401,1.0,15.0
2021-11-21,03402,8.0,10.0
2021-11-21,03403,13.0,107.0
2021-11-21,03404,7.0,108.0
2021-11-21,03405,7.0,21.0
2021-11-21,03451,6.0,26.0
2021-11-21,03452,14.0,23.0
2021-11-21,03453,3.0,20.0
2021-11-21,03454,20.0,64.0
2021-11-21,03455,6.0,23.0
2021-11-21,03456,6.0,21.0
2021-11-21,03457,16.0,15.0
2021-11-21,03458,0.0,4.0
2021-11-21,03459,10.0,71.0
2021-11-21,03460,10.0,26.0
2021-11-21,03461,3.0,9.0
2021-11-21,03462,0.0,8.0
2021-11-21,04011,4.0,127.0
2021-11-21,04012,10.0,38.0
2021-11-21,05111,13.0,284.0
2021-11-21,05112,23.0,148.0
2021-11-21,05113,36.0,332.0
2021-11-21,05114,12.0,71.0
2021-11-21,05116,10.0,79.0
2021-11-21,05117,1.0,33.0
2021-11-21,05119,16.0,54.0
2021-11-21,05120,5.0,21.0
2021-11-21,05122,9.0,63.0
2021-11-21,05124,26.0,120.0
2021-11-21,05154,13.0,51.0
2021-11-21,05158,15.0,46.0
2021-11-21,05162,17.0,84.0
2021-11-21,05166,3.0,31.0
2021-11-21,05170,25.0,102.0
2021-11-21,05314,20.0,262.0
2021-11-21,05315,39.0,364.0
2021-11-21,05316,16.0,53.0
2021-11-21,05334,22.0,260.0
2021-11-21,05358,5.0,55.0
2021-11-21,05362,10.0,49.0
2021-11-21,05366,4.0,24.0
2021-11-21,05370,3.0,37.0
2021-11-21,05374,11.0,46.0
2021-11-21,05378,3.0,37.0
2021-11-21,05382,14.0,70.0
2021-11-21,05512,19.0,24.0
2021-11-21,05513,18.0,71.0
2021-11-21,05515,8.0,191.0
2021-11-21,05554,10.0,57.0
2021-11-21,05558,7.0,23.0
2021-11-21,05562,29.0,195.0
2021-11-21,05566,15.0,86.0
2021-11-21,05570,13.0,35.0
2021-11-21,05711,11.0,127.0
2021-11-21,05754,4.0,48.0
2021-11-21,05758,12.0,42.0
2021-11-21,05762,8.0,27.0
2021-11-21,05766,3.0,47.0
2021-11-21,05770,22.0,171.0
2021-11-21,05774,8.0,78.0
2021-11-21,05911,19.0,166.0
2021-11-21,05913,34.0,250.0
2021-11-21,05914,15.0,67.0
2021-11-21,05915,17.0,75.0
2021-11-21,05916,10.0,53.0
2021-11-21,05954,16.0,112.0
2021-11-21,05958,18.0,69.0
2021-11-21,05962,15.0,87.0
2021-11-21,05966,14.0,14.0
2021-11-21,05970,14.0,86.0
2021-11-21,05974,12.0,75.0
2021-11-21,05978,4.0,99.0
2021-11-21,06411,17.0,81.0
2021-11-21,06412,42.0,250.0
2021-11-21,06413,17.0,89.0
2021-11-21,06414,7.0,95.0
2021-11-21,06431,8.0,28.0
2021-11-21,06432,0.0,26.0
2021-11-21,06433,1.0,24.0
2021-11-21,06434,4.0,20.0
2021-11-21,06435,12.0,70.0
2021-11-21,06436,3.0,23.0
2021-11-21,06437,4.0,122.0
2021-11-21,06438,7.0,15.0
2021-11-21,06439,3.0,13.0
2021-11-21,06440,2.0,60.0
2021-11-21,06531,18.0,175.0
2021-11-21,06532,2.0,42.0
2021-11-21,06533,5.0,42.0
2021-11-21,06534,22.0,113.0
2021-11-21,06535,5.0,20.0
2021-11-21,06611,19.0,125.0
2021-11-21,06631,13.0,77.0
2021-11-21,06632,18.0,36.0
2021-11-21,06633,3.0,24.0
2021-11-21,06634,6.0,19.0
2021-11-21,06635,10.0,73.0
2021-11-21,06636,5.0,24.0
2021-11-21,07111,28.0,85.0
2021-11-21,07131,4.0,12.0
2021-11-21,07132,2.0,12.0
2021-11-21,07133,18.0,30.0
2021-11-21,07134,3.0,15.0
2021-11-21,07135,0.0,9.0
2021-11-21,07137,15.0,20.0
2021-11-21,07138,8.0,57.0
2021-11-21,07140,5.0,9.0
2021-11-21,07141,3.0,28.0
2021-11-21,07143,6.0,22.0
2021-11-21,07211,18.0,61.0
2021-11-21,07231,4.0,18.0
2021-11-21,07232,2.0,12.0
2021-11-21,07233,3.0,13.0
2021-11-21,07235,7.0,9.0
2021-11-21,07311,3.0,8.0
2021-11-21,07312,23.0,79.0
2021-11-21,07313,4.0,16.0
2021-11-21,07314,17.0,88.0
2021-11-21,07315,17.0,91.0
2021-11-21,07316,1.0,16.0
2021-11-21,07317,1.0,15.0
2021-11-21,07318,2.0,25.0
2021-11-21,07319,4.0,46.0
2021-11-21,07320,3.0,6.0
2021-11-21,07331,2.0,6.0
2021-11-21,07332,3.0,10.0
2021-11-21,07333,4.0,8.0
2021-11-21,07334,2.0,19.0
2021-11-21,07335,7.0,3.0
2021-11-21,07336,3.0,13.0
2021-11-21,07337,1.0,12.0
2021-11-21,07339,0.0,9.0
2021-11-21,07340,4.0,5.0
2021-11-21,08111,27.0,228.0
2021-11-21,08115,6.0,44.0
2021-11-21,08116,11.0,64.0
2021-11-21,08117,6.0,35.0
2021-11-21,08118,4.0,80.0
2021-11-21,08119,15.0,49.0
2021-11-21,08121,6.0,42.0
2021-11-21,08125,2.0,49.0
2021-11-21,08126,0.0,7.0
2021-11-21,08127,8.0,42.0
2021-11-21,08128,19.0,37.0
2021-11-21,08135,9.0,15.0
2021-11-21,08136,15.0,54.0
2021-11-21,08211,5.0,17.0
2021-11-21,08212,3.0,98.0
2021-11-21,08215,3.0,40.0
2021-11-21,08216,1.0,9.0
2021-11-21,08221,26.0,208.0
2021-11-21,08222,12.0,96.0
2021-11-21,08225,5.0,18.0
2021-11-21,08226,6.0,29.0
2021-11-21,08231,3.0,54.0
2021-11-21,08235,8.0,17.0
2021-11-21,08236,2.0,10.0
2021-11-21,08237,0.0,6.0
2021-11-21,08311,41.0,167.0
2021-11-21,08315,5.0,24.0
2021-11-21,08316,1.0,92.0
2021-11-21,08317,13.0,71.0
2021-11-21,08325,2.0,9.0
2021-11-21,08326,5.0,54.0
2021-11-21,08327,3.0,7.0
2021-11-21,08335,12.0,74.0
2021-11-21,08336,3.0,29.0
2021-11-21,08337,2.0,8.0
2021-11-21,08415,12.0,32.0
2021-11-21,08416,5.0,91.0
2021-11-21,08417,6.0,20.0
2021-11-21,08421,10.0,112.0
2021-11-21,08425,5.0,11.0
2021-11-21,08426,4.0,12.0
2021-11-21,08435,18.0,35.0
2021-11-21,08436,14.0,54.0
2021-11-21,08437,1.0,11.0
2021-11-21,09161,8.0,39.0
2021-11-21,09162,33.0,494.0
2021-11-21,09163,10.0,30.0
2021-11-21,09171,1.0,26.0
2021-11-21,09172,0.0,20.0
2021-11-21,09173,3.0,21.0
2021-11-21,09174,3.0,27.0
2021-11-21,09175,1.0,19.0
2021-11-21,09176,2.0,44.0
2021-11-21,09177,2.0,17.0
2021-11-21,09178,0.0,13.0
2021-11-21,09179,0.0,10.0
2021-11-21,09180,4.0,51.0
2021-11-21,09181,2.0,12.0
2021-11-21,09182,5.0,15.0
2021-11-21,09183,1.0,16.0
2021-11-21,09184,1.0,5.0
2021-11-21,09185,5.0,30.0
2021-11-21,09186,1.0,7.0
2021-11-21,09187,6.0,59.0
2021-11-21,09188,4.0,38.0
2021-11-21,09189,4.0,52.0
2021-11-21,09190,4.0,19.0
2021-11-21,09261,3.0,52.0
2021-11-21,09262,11.0,35.0
2021-11-21,09263,2.0,25.0
2021-11-21,09271,1.0,28.0
2021-11-21,09272,0.0,18.0
2021-11-21,09273,5.0,11.0
2021-11-21,09274,0.0,6.0
2021-11-21,09275,3.0,22.0
2021-11-21,09276,5.0,8.0
2021-11-21,09277,1.0,15.0
2021-11-21,09278,3.0,9.0
2021-11-21,09279,7.0,15.0
2021-11-21,09361,4.0,35.0
2021-11-21,09362,29.0,170.0
2021-11-21,09363,6.0,44.0
2021-11-21,09371,1.0,9.0
2021-11-21,09372,0.0,10.0
2021-11-21,09373,3.0,19.0
2021-11-21,09375,0.0,14.0
2021-11-21,09376,6.0,17.0
2021-11-21,09377,5.0,11.0
2021-11-21,09461,15.0,36.0
2021-11-21,09462,9.0,52.0
2021-11-21,09463,9.0,31.0
2021-11-21,09464,8.0,24.0
2021-11-21,09471,7.0,9.0
2021-11-21,09472,1.0,5.0
2021-11-21,09474,5.0,8.0
2021-11-21,09475,4.0,13.0
2021-11-21,09476,2.0,13.0
2021-11-21,09477,2.0,23.0
2021-11-21,09478,3.0,32.0
2021-11-21,09479,4.0,14.0
2021-11-21,09561,6.0,21.0
2021-11-21,09562,4.0,108.0
2021-11-21,09563,12.0,33.0
2021-11-21,09564,29.0,153.0
2021-11-21,09565,0.0,4.0
2021-11-21,09571,6.0,17.0
2021-11-21,09572,0.0,5.0
2021-11-21,09574,0.0,24.0
2021-11-21,09575,12.0,38.0
2021-11-21,09576,0.0,6.0
2021-11-21,09577,2.0,14.0
2021-11-21,09661,0.0,53.0
2021-11-21,09662,2.0,62.0
2021-11-21,09663,15.0,108.0
2021-11-21,09671,1.0,4.0
2021-11-21,09672,4.0,32.0
2021-11-21,09673,13.0,127.0
2021-11-21,09674,0.0,6.0
2021-11-21,09675,1.0,6.0
2021-11-21,09676,0.0,8.0
2021-11-21,09677,0.0,7.0
2021-11-21,09678,1.0,5.0
2021-11-21,09679,2.0,7.0
2021-11-21,09761,10.0,139.0
2021-11-21,09762,5.0,13.0
2021-11-21,09763,5.0,37.0
2021-11-21,09764,3.0,23.0
2021-11-21,09771,0.0,15.0
2021-11-21,09772,2.0,10.0
2021-11-21,09773,1.0,13.0
2021-11-21,09774,12.0,38.0
2021-11-21,09775,2.0,16.0
2021-11-21,09776,1.0,11.0
2021-11-21,09777,3.0,14.0
2021-11-21,09778,3.0,11.0
2021-11-21,09779,3.0,19.0
2021-11-21,09780,3.0,12.0
2021-11-21,10041,21.0,158.0
2021-11-21,10042,2.0,10.0
2021-11-21,10043,4.0,31.0
2021-11-21,10044,12.0,48.0
2021-11-21,10045,9.0,136.0
2021-11-21,10046,0.0,14.0
2021-11-21,11000,120.0,1047.0
2021-11-21,12051,11.0,54.0
2021-11-21,12052,9.0,76.0
2021-11-21,12053,3.0,9.0
2021-11-21,12054,18.0,50.0
2021-11-21,12060,7.0,59.0
2021-11-21,12061,7.0,29.0
2021-11-21,12062,2.0,14.0
2021-11-21,12063,9.0,12.0
2021-11-21,12064,4.0,19.0
2021-11-21,12065,5.0,33.0
2021-11-21,12066,1.0,18.0
2021-11-21,12067,15.0,48.0
2021-11-21,12068,4.0,39.0
2021-11-21,12069,9.0,57.0
2021-11-21,12070,4.0,10.0
2021-11-21,12071,4.0,14.0
2021-11-21,12072,3.0,10.0
2021-11-21,12073,6.0,22.0
2021-11-21,13003,24.0,85.0
2021-11-21,13004,8.0,64.0
2021-11-21,13071,5.0,72.0
2021-11-21,13072,13.0,29.0
2021-11-21,13073,14.0,44.0
2021-11-21,13074,3.0,14.0
2021-11-21,13075,38.0,138.0
2021-11-21,13076,19.0,106.0
2021-11-21,14511,13.0,171.0
2021-11-21,14521,20.0,70.0
2021-11-21,14522,3.0,44.0
2021-11-21,14523,4.0,54.0
2021-11-21,14524,10.0,90.0
2021-11-21,14612,33.0,242.0
2021-11-21,14625,12.0,51.0
2021-11-21,14626,8.0,55.0
2021-11-21,14627,8.0,56.0
2021-11-21,14628,10.0,104.0
2021-11-21,14713,41.0,288.0
2021-11-21,14729,10.0,48.0
2021-11-21,14730,15.0,42.0
2021-11-21,15001,8.0,26.0
2021-11-21,15002,56.0,216.0
2021-11-21,15003,18.0,175.0
2021-11-21,15081,3.0,11.0
2021-11-21,15082,12.0,21.0
2021-11-21,15083,0.0,12.0
2021-11-21,15084,2.0,25.0
2021-11-21,15085,4.0,51.0
2021-11-21,15086,4.0,18.0
2021-11-21,15087,1.0,26.0
2021-11-21,15088,6.0,14.0
2021-11-21,15089,1.0,33.0
2021-11-21,15090,11.0,13.0
2021-11-21,15091,7.0,23.0
2021-11-21,16051,13.0,60.0
2021-11-21,16052,9.0,39.0
2021-11-21,16053,7.0,94.0
2021-11-21,16054,13.0,19.0
2021-11-21,16055,3.0,11.0
2021-11-21,16061,3.0,14.0
2021-11-21,16062,17.0,35.0
