datum,ags,intensivbetten_frei,intensivbetten_belegt
2022-02-23,01001,10.0,32.0
2022-02-23,01002,25.0,118.0
2022-02-23,01003,6.0,119.0
2022-02-23,01004,2.0,23.0
2022-02-23,01051,11.0,29.0
2022-02-23,01053,2.0,16.0
2022-02-23,01054,10.0,14.0
2022-02-23,01055,7.0,39.0
2022-02-23,01056,3.0,32.0
2022-02-23,01057,4.0,8.0
2022-02-23,01058,13.0,31.0
2022-02-23,01059,1.0,23.0
2022-02-23,01060,24.0,62.0
2022-02-23,01061,12.0,31.0
2022-02-23,01062,5.0,25.0
2022-02-23,02000,101.0,482.0
2022-02-23,03101,36.0,96.0
2022-02-23,03102,0.0,28.0
2022-02-23,03103,6.0,24.0
2022-02-23,03151,0.0,12.0
2022-02-23,03153,1.0,23.0
2022-02-23,03154,1.0,16.0
2022-02-23,03155,3.0,15.0
2022-02-23,03157,4.0,12.0
2022-02-23,03158,6.0,10.0
2022-02-23,03159,27.0,114.0
2022-02-23,03241,59.0,343.0
2022-02-23,03251,5.0,12.0
2022-02-23,03252,16.0,59.0
2022-02-23,03254,18.0,60.0
2022-02-23,03255,0.0,9.0
2022-02-23,03256,2.0,14.0
2022-02-23,03257,0.0,24.0
2022-02-23,03351,2.0,30.0
2022-02-23,03352,2.0,10.0
2022-02-23,03353,6.0,26.0
2022-02-23,03354,0.0,6.0
2022-02-23,03355,5.0,35.0
2022-02-23,03356,3.0,7.0
2022-02-23,03357,11.0,21.0
2022-02-23,03358,9.0,13.0
2022-02-23,03359,4.0,27.0
2022-02-23,03360,5.0,71.0
2022-02-23,03361,2.0,13.0
2022-02-23,03401,7.0,12.0
2022-02-23,03402,1.0,12.0
2022-02-23,03403,14.0,104.0
2022-02-23,03404,22.0,98.0
2022-02-23,03405,3.0,24.0
2022-02-23,03451,7.0,25.0
2022-02-23,03452,5.0,31.0
2022-02-23,03453,4.0,17.0
2022-02-23,03454,29.0,60.0
2022-02-23,03455,9.0,22.0
2022-02-23,03456,1.0,26.0
2022-02-23,03457,10.0,20.0
2022-02-23,03458,0.0,7.0
2022-02-23,03459,16.0,81.0
2022-02-23,03460,12.0,24.0
2022-02-23,03461,6.0,7.0
