IdLandkreis,Altersgruppe,Geschlecht,Refdatum,AnzahlFall,AnzahlTodesfall
1002,A60-A79,W,2023-07-14,1,0
1003,A35-A59,M,2023-07-14,1,0
1004,A35-A59,M,2023-07-14,1,0
1053,A35-A59,W,2023-07-14,1,0
1058,A35-A59,W,2023-07-13,1,0
1058,A60-A79,M,2023-07-14,1,0
1058,A80+,W,2023-07-13,1,0
1060,A60-A79,M,2023-07-13,1,0
1060,A80+,M,2023-07-13,1,0
3101,A05-A14,W,2023-07-14,2,0
3101,A15-A34,M,2020-10-10,1,0
3101,A15-A34,M,2023-07-13,1,0
3101,A15-A34,W,2022-02-08,1,0
3101,A15-A34,W,2022-04-22,-1,0
3101,A35-A59,M,2022-06-28,1,0
3101,A35-A59,M,2022-09-07,-1,0
3101,A35-A59,M,2023-07-14,1,0
3101,A35-A59,W,2022-10-17,-1,0
3101,A35-A59,W,2022-10-18,-1,0
3101,A35-A59,W,2023-07-14,1,0
3101,A60-A79,M,2021-05-14,-1,0
3101,A60-A79,M,2023-07-13,1,0
3101,A60-A79,W,2022-12-01,1,1
3101,A80+,M,2022-08-04,1,1
3101,A80+,M,2022-08-23,1,1
3101,A80+,M,2022-12-19,1,1
3101,A80+,W,2022-01-02,1,1
3101,A80+,W,2022-07-04,1,0
3151,A15-A34,M,2023-07-13,1,0
3151,A35-A59,M,2023-07-14,1,0
3151,A80+,M,2023-07-14,1,0
3159,A60-A79,W,2023-07-13,1,0
3159,A80+,W,2023-07-13,1,0
3241,A60-A79,M,2023-06-05,-1,0
3241,A80+,M,2023-07-14,1,0
3251,A35-A59,M,2023-07-14,1,0
3252,A80+,W,2023-07-14,1,0
3256,A35-A59,M,2023-07-13,1,0
3256,A60-A79,M,2023-07-13,1,0
3257,A35-A59,M,2023-07-13,1,0
3352,A80+,W,2023-07-13,1,0
3353,A15-A34,M,2023-07-14,1,0
3357,A35-A59,W,2023-07-12,1,0
3359,A35-A59,W,2022-05-04,1,0
3360,A15-A34,M,2023-07-14,1,0
3360,A15-A34,W,2023-07-14,1,0
3360,A60-A79,M,2023-07-14,2,0
3360,A60-A79,W,2023-07-14,1,0
3360,A80+,M,2023-07-14,1,0
3402,A00-A04,M,2023-07-11,1,0
3403,A15-A34,M,2023-07-13,1,0
3404,A35-A59,W,2023-07-13,1,0
3405,A60-A79,M,2023-07-13,1,0
3454,A05-A14,M,2023-07-11,1,0
3455,A15-A34,M,2023-07-11,1,0
3459,A60-A79,W,2023-07-12,1,0
5111,A60-A79,M,2023-06-07,1,1
5111,A60-A79,M,2023-07-14,1,0
5113,A80+,W,2023-06-27,1,1
5116,A35-A59,M,2023-07-10,1,0
5116,A35-A59,W,2023-07-10,1,0
5117,A80+,W,2023-07-13,2,0
5122,A35-A59,W,2023-07-13,1,0
5158,A15-A34,M,2023-07-14,1,0
5158,A80+,W,2023-07-14,1,0
5170,A05-A14,M,2022-03-19,-1,0
5315,A60-A79,M,2023-07-14,2,0
5316,A15-A34,W,2023-07-14,1,0
5362,A15-A34,W,2023-07-14,1,0
5370,A80+,M,2023-07-12,1,0
5374,A60-A79,M,2023-07-12,1,0
5382,A00-A04,M,2022-05-16,1,0
5382,A15-A34,M,2022-05-10,1,0
5382,A15-A34,M,2022-05-12,1,0
5382,A15-A34,M,2022-05-22,1,0
5382,A15-A34,M,2022-05-28,1,0
5382,A15-A34,W,2022-02-05,-1,0
5382,A15-A34,W,2023-03-06,1,0
5382,A35-A59,M,2022-03-06,-1,0
5382,A35-A59,M,2022-04-05,0,0
5382,A35-A59,M,2022-04-28,1,0
5382,A35-A59,M,2022-04-30,1,0
5382,A35-A59,M,2022-05-03,1,0
5382,A35-A59,M,2022-05-11,2,0
5382,A35-A59,M,2022-05-20,1,0
5382,A35-A59,M,2022-05-21,1,0
5382,A35-A59,M,2022-05-24,1,0
5382,A35-A59,M,2022-05-30,1,0
5382,A35-A59,M,2023-02-28,1,0
5382,A35-A59,M,2023-07-13,1,0
5382,A35-A59,W,2022-05-11,1,0
5382,A35-A59,W,2022-05-25,1,0
5382,A35-A59,W,2023-07-13,1,0
5382,A60-A79,M,2021-08-23,-1,0
5382,A60-A79,M,2022-05-16,1,0
5382,A80+,M,2020-12-22,1,1
5382,A80+,W,2022-05-13,1,0
5382,A80+,W,2022-05-26,1,0
5382,A80+,W,2023-03-09,1,0
5512,A80+,W,2023-07-12,1,0
5513,A15-A34,W,2020-11-12,-1,0
5513,A35-A59,M,2022-07-22,1,0
5513,A35-A59,M,2023-07-14,1,0
5554,A00-A04,M,2023-07-13,1,0
5558,A00-A04,M,2023-07-13,1,0
5558,A60-A79,M,2023-07-13,1,0
5562,A15-A34,W,2023-07-14,1,0
5566,A15-A34,W,2023-07-12,1,0
5566,A80+,M,2023-07-12,1,0
5711,A35-A59,W,2023-07-09,1,0
5711,A60-A79,M,2023-07-13,1,0
