datum,ags,intensivbetten_frei,intensivbetten_belegt
2023-03-30,01001,5,39
2023-03-30,01002,20,106
2023-03-30,01003,16,108
2023-03-30,01004,4,21
2023-03-30,01051,3,37
2023-03-30,01053,0,16
2023-03-30,01054,6,16
2023-03-30,01055,10,31
2023-03-30,01056,9,28
2023-03-30,01057,6,6
2023-03-30,01058,14,29
2023-03-30,01059,2,22
2023-03-30,01060,14,72
2023-03-30,01061,12,31
2023-03-30,01062,4,24
2023-03-30,02000,67,478
2023-03-30,03101,32,100
2023-03-30,03102,1,27
2023-03-30,03103,6,25
2023-03-30,03151,3,17
2023-03-30,03153,0,20
2023-03-30,03154,0,10
2023-03-30,03155,5,16
2023-03-30,03157,0,14
2023-03-30,03158,7,9
2023-03-30,03159,11,122
2023-03-30,03241,23,167
2023-03-30,03251,4,13
2023-03-30,03252,17,57
2023-03-30,03254,23,63
2023-03-30,03255,4,5
2023-03-30,03256,2,14
2023-03-30,03257,0,24
2023-03-30,03351,11,19
2023-03-30,03352,6,8
2023-03-30,03353,4,28
2023-03-30,03354,1,5
2023-03-30,03355,4,33
2023-03-30,03356,2,10
2023-03-30,03357,10,21
2023-03-30,03358,5,16
2023-03-30,03359,6,21
2023-03-30,03360,6,70
2023-03-30,03361,1,14
2023-03-30,03401,7,7
2023-03-30,03402,3,16
2023-03-30,03403,7,115
2023-03-30,03404,6,108
2023-03-30,03405,6,21
2023-03-30,03451,1,25
2023-03-30,03452,6,33
2023-03-30,03453,2,21
2023-03-30,03454,29,47
2023-03-30,03455,9,22
2023-03-30,03456,2,25
2023-03-30,03457,11,15
2023-03-30,03458,4,6
2023-03-30,03459,20,67
2023-03-30,03460,10,28
2023-03-30,03461,4,5
2023-03-30,03462,0,8
2023-03-30,04011,4,139
2023-03-30,04012,13,36
2023-03-30,05111,19,276
2023-03-30,05112,32,148
2023-03-30,05113,23,337
2023-03-30,05114,10,69
2023-03-30,05116,11,71
2023-03-30,05117,0,29
2023-03-30,05119,0,51
2023-03-30,05120,4,24
2023-03-30,05122,17,56
2023-03-30,05124,10,124
2023-03-30,05154,16,52
2023-03-30,05158,13,37
2023-03-30,05162,8,72
2023-03-30,05166,7,24
2023-03-30,05170,27,103
2023-03-30,05314,10,247
2023-03-30,05315,21,301
2023-03-30,05316,11,60
2023-03-30,05334,10,228
2023-03-30,05358,13,50
2023-03-30,05362,6,49
2023-03-30,05366,3,27
2023-03-30,05370,0,35
2023-03-30,05374,8,24
2023-03-30,05378,5,27
2023-03-30,05382,6,73
2023-03-30,05512,11,10
2023-03-30,05513,21,72
2023-03-30,05515,16,195
2023-03-30,05554,23,45
2023-03-30,05558,4,31
2023-03-30,05562,64,161
2023-03-30,05566,7,73
2023-03-30,05570,7,38
2023-03-30,05711,24,83
2023-03-30,05754,4,20
2023-03-30,05758,11,39
2023-03-30,05762,8,33
2023-03-30,05766,2,48
2023-03-30,05770,13,182
2023-03-30,05774,12,68
2023-03-30,05911,29,155
2023-03-30,05913,21,236
2023-03-30,05914,12,68
2023-03-30,05915,14,68
2023-03-30,05916,8,55
2023-03-30,05954,25,97
2023-03-30,05958,15,72
2023-03-30,05962,15,92
2023-03-30,05966,5,17
2023-03-30,05970,1,53
2023-03-30,05974,15,75
2023-03-30,05978,6,110
2023-03-30,06411,25,79
2023-03-30,06412,30,250
2023-03-30,06413,7,86
2023-03-30,06414,4,27
2023-03-30,06431,2,36
2023-03-30,06432,0,22
2023-03-30,06433,1,22
2023-03-30,06434,1,21
2023-03-30,06435,13,67
2023-03-30,06436,1,13
2023-03-30,06437,3,141
2023-03-30,06438,4,18
2023-03-30,06439,2,11
2023-03-30,06440,3,67
2023-03-30,06531,16,154
2023-03-30,06532,0,44
2023-03-30,06533,5,41
2023-03-30,06534,4,103
2023-03-30,06535,8,19
2023-03-30,06611,14,129
2023-03-30,06631,5,75
2023-03-30,06632,8,50
2023-03-30,06633,6,22
2023-03-30,06634,3,19
2023-03-30,06635,11,73
2023-03-30,06636,8,22
2023-03-30,07111,14,89
2023-03-30,07131,1,9
2023-03-30,07132,4,10
2023-03-30,07133,11,36
2023-03-30,07134,5,15
2023-03-30,07135,0,4
2023-03-30,07137,4,31
2023-03-30,07138,11,46
2023-03-30,07140,2,3
2023-03-30,07141,6,24
2023-03-30,07143,14,17
2023-03-30,07211,8,72
2023-03-30,07231,3,19
2023-03-30,07232,4,12
2023-03-30,07233,2,8
2023-03-30,07235,4,9
2023-03-30,07311,1,12
2023-03-30,07312,9,100
2023-03-30,07313,4,20
2023-03-30,07314,20,85
2023-03-30,07315,6,97
2023-03-30,07316,0,19
2023-03-30,07317,5,11
2023-03-30,07318,0,26
2023-03-30,07319,8,44
2023-03-30,07320,3,7
2023-03-30,07331,1,5
2023-03-30,07332,9,8
2023-03-30,07333,2,10
2023-03-30,07334,3,18
2023-03-30,07335,5,5
2023-03-30,07336,3,13
2023-03-30,07337,0,9
2023-03-30,07339,2,7
2023-03-30,07340,3,4
2023-03-30,08111,32,223
2023-03-30,08115,5,48
2023-03-30,08116,17,59
2023-03-30,08117,11,29
2023-03-30,08118,0,6
2023-03-30,08119,13,49
2023-03-30,08121,5,49
2023-03-30,08125,4,44
2023-03-30,08126,0,7
2023-03-30,08127,7,41
2023-03-30,08128,13,42
2023-03-30,08135,4,16
2023-03-30,08136,17,55
2023-03-30,08211,3,17
2023-03-30,08212,8,98
2023-03-30,08215,4,41
2023-03-30,08216,2,10
2023-03-30,08221,6,213
2023-03-30,08222,14,87
2023-03-30,08225,1,19
2023-03-30,08226,0,36
2023-03-30,08231,12,45
2023-03-30,08235,7,15
2023-03-30,08236,4,8
2023-03-30,08237,0,10
2023-03-30,08311,26,171
2023-03-30,08315,8,21
2023-03-30,08316,4,15
2023-03-30,08317,10,80
2023-03-30,08325,0,11
2023-03-30,08326,9,44
2023-03-30,08327,1,9
2023-03-30,08335,16,72
2023-03-30,08336,6,26
2023-03-30,08337,2,8
2023-03-30,08415,3,29
2023-03-30,08416,8,92
