datum,ags,intensivbetten_frei,intensivbetten_belegt
2021-10-31,01001,5.0,36.0
2021-10-31,01002,51.0,111.0
2021-10-31,01003,26.0,106.0
2021-10-31,01004,1.0,24.0
2021-10-31,01051,3.0,35.0
2021-10-31,01053,3.0,15.0
2021-10-31,01054,7.0,17.0
2021-10-31,01055,6.0,39.0
2021-10-31,01056,3.0,30.0
2021-10-31,01057,3.0,9.0
2021-10-31,01058,8.0,34.0
2021-10-31,01059,0.0,24.0
2021-10-31,01060,28.0,52.0
2021-10-31,01061,7.0,36.0
2021-10-31,01062,6.0,20.0
2021-10-31,02000,86.0,510.0
2021-10-31,03101,32.0,97.0
2021-10-31,03102,3.0,26.0
2021-10-31,03103,4.0,27.0
2021-10-31,03151,0.0,12.0
2021-10-31,03153,1.0,25.0
2021-10-31,03154,1.0,16.0
2021-10-31,03155,4.0,14.0
2021-10-31,03157,7.0,10.0
2021-10-31,03158,5.0,11.0
2021-10-31,03159,28.0,101.0
2021-10-31,03241,41.0,346.0
2021-10-31,03251,2.0,15.0
2021-10-31,03252,17.0,59.0
2021-10-31,03254,12.0,62.0
2021-10-31,03255,0.0,9.0
2021-10-31,03256,2.0,12.0
2021-10-31,03257,6.0,21.0
2021-10-31,03351,3.0,31.0
2021-10-31,03352,4.0,8.0
2021-10-31,03353,8.0,24.0
2021-10-31,03354,3.0,3.0
2021-10-31,03355,14.0,31.0
2021-10-31,03356,3.0,9.0
2021-10-31,03357,7.0,25.0
2021-10-31,03358,3.0,13.0
2021-10-31,03359,4.0,23.0
2021-10-31,03360,3.0,73.0
2021-10-31,03361,0.0,14.0
2021-10-31,03401,0.0,16.0
2021-10-31,03402,7.0,12.0
2021-10-31,03403,12.0,95.0
2021-10-31,03404,11.0,102.0
2021-10-31,03405,9.0,20.0
2021-10-31,03451,3.0,30.0
2021-10-31,03452,8.0,26.0
2021-10-31,03453,5.0,19.0
2021-10-31,03454,22.0,64.0
2021-10-31,03455,8.0,23.0
2021-10-31,03456,3.0,24.0
2021-10-31,03457,7.0,17.0
2021-10-31,03458,2.0,4.0
2021-10-31,03459,14.0,74.0
2021-10-31,03460,8.0,26.0
2021-10-31,03461,3.0,12.0
2021-10-31,03462,0.0,8.0
2021-10-31,04011,6.0,129.0
2021-10-31,04012,16.0,32.0
2021-10-31,05111,10.0,286.0
2021-10-31,05112,23.0,155.0
2021-10-31,05113,30.0,334.0
2021-10-31,05114,19.0,67.0
2021-10-31,05116,6.0,85.0
2021-10-31,05117,8.0,26.0
2021-10-31,05119,16.0,57.0
2021-10-31,05120,11.0,15.0
2021-10-31,05122,14.0,58.0
2021-10-31,05124,28.0,120.0
2021-10-31,05154,12.0,54.0
2021-10-31,05158,18.0,43.0
2021-10-31,05162,13.0,85.0
2021-10-31,05166,6.0,26.0
2021-10-31,05170,34.0,97.0
2021-10-31,05314,21.0,260.0
2021-10-31,05315,26.0,371.0
2021-10-31,05316,10.0,59.0
2021-10-31,05334,19.0,265.0
2021-10-31,05358,7.0,56.0
2021-10-31,05362,10.0,50.0
2021-10-31,05366,1.0,25.0
2021-10-31,05370,3.0,37.0
2021-10-31,05374,22.0,37.0
2021-10-31,05378,4.0,37.0
2021-10-31,05382,7.0,77.0
2021-10-31,05512,15.0,28.0
2021-10-31,05513,21.0,73.0
2021-10-31,05515,14.0,196.0
2021-10-31,05554,17.0,49.0
2021-10-31,05558,9.0,22.0
2021-10-31,05562,38.0,185.0
2021-10-31,05566,16.0,88.0
2021-10-31,05570,5.0,40.0
2021-10-31,05711,13.0,125.0
2021-10-31,05754,15.0,17.0
2021-10-31,05758,16.0,37.0
2021-10-31,05762,11.0,24.0
2021-10-31,05766,3.0,47.0
2021-10-31,05770,22.0,187.0
2021-10-31,05774,11.0,78.0
2021-10-31,05911,29.0,160.0
2021-10-31,05913,20.0,262.0
2021-10-31,05914,6.0,77.0
2021-10-31,05915,20.0,44.0
2021-10-31,05916,6.0,55.0
2021-10-31,05954,18.0,110.0
2021-10-31,05958,30.0,57.0
2021-10-31,05962,22.0,81.0
2021-10-31,05966,12.0,14.0
2021-10-31,05970,12.0,94.0
2021-10-31,05974,12.0,75.0
2021-10-31,05978,12.0,100.0
2021-10-31,06411,11.0,80.0
2021-10-31,06412,45.0,246.0
2021-10-31,06413,18.0,91.0
2021-10-31,06414,7.0,94.0
2021-10-31,06431,8.0,32.0
2021-10-31,06432,0.0,27.0
2021-10-31,06433,0.0,25.0
2021-10-31,06434,1.0,21.0
2021-10-31,06435,5.0,73.0
2021-10-31,06436,2.0,25.0
2021-10-31,06437,5.0,121.0
2021-10-31,06438,3.0,18.0
2021-10-31,06439,3.0,13.0
2021-10-31,06440,3.0,60.0
2021-10-31,06531,11.0,196.0
2021-10-31,06532,2.0,41.0
2021-10-31,06533,8.0,42.0
2021-10-31,06534,31.0,108.0
2021-10-31,06535,10.0,12.0
2021-10-31,06611,11.0,134.0
2021-10-31,06631,17.0,77.0
2021-10-31,06632,14.0,41.0
2021-10-31,06633,8.0,19.0
2021-10-31,06634,8.0,21.0
2021-10-31,06635,10.0,70.0
2021-10-31,06636,10.0,20.0
2021-10-31,07111,31.0,73.0
2021-10-31,07131,2.0,15.0
2021-10-31,07132,5.0,11.0
2021-10-31,07133,12.0,34.0
2021-10-31,07134,5.0,15.0
2021-10-31,07135,4.0,6.0
2021-10-31,07137,10.0,25.0
2021-10-31,07138,10.0,55.0
2021-10-31,07140,5.0,10.0
2021-10-31,07141,9.0,22.0
2021-10-31,07143,6.0,25.0
2021-10-31,07211,12.0,68.0
2021-10-31,07231,12.0,12.0
2021-10-31,07232,6.0,8.0
2021-10-31,07233,6.0,10.0
2021-10-31,07235,5.0,11.0
2021-10-31,07311,0.0,11.0
2021-10-31,07312,10.0,92.0
2021-10-31,07313,7.0,17.0
2021-10-31,07314,25.0,87.0
2021-10-31,07315,21.0,90.0
2021-10-31,07316,5.0,10.0
2021-10-31,07317,5.0,11.0
2021-10-31,07318,1.0,26.0
2021-10-31,07319,4.0,52.0
2021-10-31,07320,5.0,4.0
2021-10-31,07331,2.0,6.0
2021-10-31,07332,2.0,11.0
2021-10-31,07333,4.0,8.0
2021-10-31,07334,0.0,18.0
2021-10-31,07335,7.0,3.0
2021-10-31,07336,0.0,16.0
2021-10-31,07337,1.0,12.0
2021-10-31,07339,0.0,9.0
2021-10-31,07340,5.0,4.0
2021-10-31,08111,34.0,217.0
2021-10-31,08115,2.0,48.0
2021-10-31,08116,9.0,76.0
2021-10-31,08117,10.0,30.0
2021-10-31,08118,2.0,82.0
2021-10-31,08119,22.0,42.0
2021-10-31,08121,3.0,43.0
2021-10-31,08125,6.0,45.0
2021-10-31,08126,0.0,7.0
2021-10-31,08127,10.0,40.0
2021-10-31,08128,13.0,43.0
2021-10-31,08135,6.0,14.0
2021-10-31,08136,14.0,58.0
2021-10-31,08211,1.0,19.0
2021-10-31,08212,19.0,102.0
2021-10-31,08215,6.0,40.0
2021-10-31,08216,1.0,9.0
2021-10-31,08221,39.0,213.0
2021-10-31,08222,21.0,93.0
2021-10-31,08225,7.0,16.0
2021-10-31,08226,2.0,33.0
2021-10-31,08231,4.0,51.0
2021-10-31,08235,5.0,18.0
2021-10-31,08236,1.0,11.0
2021-10-31,08237,0.0,7.0
2021-10-31,08311,63.0,159.0
2021-10-31,08315,4.0,25.0
2021-10-31,08316,0.0,89.0
2021-10-31,08317,19.0,66.0
2021-10-31,08325,0.0,9.0
2021-10-31,08326,7.0,51.0
2021-10-31,08327,0.0,10.0
2021-10-31,08335,21.0,68.0
2021-10-31,08336,5.0,21.0
2021-10-31,08337,0.0,10.0
2021-10-31,08415,8.0,34.0
2021-10-31,08416,10.0,89.0
2021-10-31,08417,6.0,18.0
2021-10-31,08421,28.0,101.0
2021-10-31,08425,1.0,12.0
2021-10-31,08426,0.0,16.0
2021-10-31,08435,18.0,48.0
2021-10-31,08436,8.0,56.0
2021-10-31,08437,2.0,8.0
2021-10-31,09161,1.0,42.0
2021-10-31,09162,44.0,478.0
2021-10-31,09163,5.0,33.0
2021-10-31,09171,1.0,24.0
2021-10-31,09172,2.0,16.0
2021-10-31,09173,1.0,23.0
2021-10-31,09174,0.0,26.0
2021-10-31,09175,0.0,17.0
2021-10-31,09176,2.0,46.0
2021-10-31,09177,1.0,18.0
2021-10-31,09178,2.0,10.0
2021-10-31,09179,3.0,7.0
2021-10-31,09180,12.0,52.0
2021-10-31,09181,3.0,10.0
2021-10-31,09182,1.0,23.0
2021-10-31,09183,0.0,12.0
2021-10-31,09184,0.0,10.0
2021-10-31,09185,13.0,21.0
2021-10-31,09186,1.0,7.0
2021-10-31,09187,5.0,58.0
2021-10-31,09188,4.0,40.0
2021-10-31,09189,7.0,42.0
2021-10-31,09190,3.0,20.0
2021-10-31,09261,3.0,51.0
2021-10-31,09262,7.0,39.0
2021-10-31,09263,6.0,21.0
2021-10-31,09271,2.0,27.0
2021-10-31,09272,0.0,17.0
2021-10-31,09273,3.0,7.0
2021-10-31,09274,2.0,4.0
2021-10-31,09275,7.0,21.0
2021-10-31,09276,0.0,13.0
2021-10-31,09277,0.0,14.0
2021-10-31,09278,2.0,9.0
2021-10-31,09279,0.0,8.0
2021-10-31,09361,7.0,33.0
2021-10-31,09362,38.0,170.0
2021-10-31,09363,6.0,45.0
2021-10-31,09371,3.0,7.0
2021-10-31,09372,1.0,9.0
2021-10-31,09373,1.0,19.0
2021-10-31,09375,4.0,10.0
2021-10-31,09376,5.0,17.0
2021-10-31,09377,4.0,14.0
2021-10-31,09461,8.0,42.0
2021-10-31,09462,8.0,53.0
2021-10-31,09463,7.0,33.0
2021-10-31,09464,8.0,30.0
2021-10-31,09471,6.0,10.0
2021-10-31,09472,3.0,4.0
2021-10-31,09474,1.0,13.0
2021-10-31,09475,3.0,17.0
2021-10-31,09476,3.0,12.0
2021-10-31,09477,0.0,26.0
2021-10-31,09478,4.0,31.0
2021-10-31,09479,10.0,10.0
2021-10-31,09561,4.0,17.0
2021-10-31,09562,7.0,111.0
2021-10-31,09563,8.0,37.0
2021-10-31,09564,31.0,154.0
2021-10-31,09565,0.0,4.0
2021-10-31,09571,6.0,16.0
2021-10-31,09572,0.0,3.0
2021-10-31,09574,2.0,24.0
2021-10-31,09575,5.0,41.0
2021-10-31,09576,1.0,4.0
2021-10-31,09577,2.0,14.0
2021-10-31,09661,0.0,53.0
2021-10-31,09662,1.0,66.0
2021-10-31,09663,19.0,108.0
2021-10-31,09671,1.0,5.0
2021-10-31,09672,4.0,37.0
2021-10-31,09673,22.0,119.0
2021-10-31,09674,4.0,5.0
2021-10-31,09675,0.0,6.0
2021-10-31,09676,0.0,8.0
2021-10-31,09677,2.0,4.0
2021-10-31,09678,2.0,4.0
2021-10-31,09679,1.0,8.0
2021-10-31,09761,14.0,120.0
2021-10-31,09762,0.0,13.0
2021-10-31,09763,3.0,37.0
2021-10-31,09764,5.0,22.0
2021-10-31,09771,1.0,13.0
2021-10-31,09772,3.0,9.0
2021-10-31,09773,1.0,12.0
2021-10-31,09774,3.0,41.0
2021-10-31,09775,3.0,15.0
2021-10-31,09776,1.0,9.0
2021-10-31,09777,2.0,13.0
2021-10-31,09778,3.0,11.0
2021-10-31,09779,5.0,18.0
2021-10-31,09780,5.0,11.0
2021-10-31,10041,26.0,151.0
2021-10-31,10042,2.0,10.0
2021-10-31,10043,4.0,32.0
2021-10-31,10044,9.0,52.0
2021-10-31,10045,18.0,138.0
2021-10-31,10046,4.0,10.0
2021-10-31,11000,101.0,1047.0
2021-10-31,12051,15.0,48.0
2021-10-31,12052,17.0,68.0
2021-10-31,12053,0.0,12.0
2021-10-31,12054,18.0,48.0
2021-10-31,12060,12.0,54.0
2021-10-31,12061,9.0,25.0
2021-10-31,12062,6.0,6.0
2021-10-31,12063,7.0,12.0
2021-10-31,12064,5.0,17.0
2021-10-31,12065,12.0,27.0
2021-10-31,12066,6.0,15.0
2021-10-31,12067,5.0,32.0
2021-10-31,12068,2.0,41.0
2021-10-31,12069,8.0,38.0
2021-10-31,12070,0.0,14.0
2021-10-31,12071,7.0,11.0
2021-10-31,12072,5.0,8.0
2021-10-31,12073,6.0,22.0
2021-10-31,13003,8.0,103.0
2021-10-31,13004,6.0,46.0
2021-10-31,13071,11.0,71.0
2021-10-31,13072,14.0,31.0
2021-10-31,13073,18.0,39.0
2021-10-31,13074,8.0,9.0
2021-10-31,13075,29.0,147.0
2021-10-31,13076,11.0,69.0
2021-10-31,14511,25.0,155.0
2021-10-31,14521,30.0,50.0
2021-10-31,14522,3.0,45.0
2021-10-31,14523,14.0,48.0
2021-10-31,14524,15.0,85.0
2021-10-31,14612,22.0,246.0
2021-10-31,14625,12.0,47.0
2021-10-31,14626,10.0,53.0
2021-10-31,14627,8.0,56.0
2021-10-31,14628,15.0,55.0
2021-10-31,14713,58.0,278.0
2021-10-31,14729,10.0,49.0
2021-10-31,14730,17.0,40.0
2021-10-31,15001,11.0,25.0
2021-10-31,15002,37.0,220.0
2021-10-31,15003,12.0,183.0
2021-10-31,15081,3.0,12.0
2021-10-31,15082,10.0,23.0
2021-10-31,15083,2.0,13.0
2021-10-31,15084,4.0,31.0
2021-10-31,15085,6.0,42.0
2021-10-31,15086,7.0,18.0
2021-10-31,15087,4.0,22.0
2021-10-31,15089,3.0,31.0
2021-10-31,15090,6.0,18.0
2021-10-31,15091,7.0,23.0
