IdLandkreis,Altersgruppe,Geschlecht,Refdatum,AnzahlFall,AnzahlTodesfall
1002,A00-A04,M,2024-07-27,1,0
1002,A00-A04,M,2024-07-29,2,0
1002,A00-A04,W,2024-07-26,1,0
1002,A15-A34,W,2024-07-29,1,0
1002,A35-A59,M,2024-07-28,1,0
1002,A35-A59,M,2024-07-29,2,0
1002,A60-A79,M,2024-07-29,1,0
1002,A60-A79,W,2024-07-29,4,0
1002,A80+,M,2024-07-29,1,0
1002,A80+,W,2024-07-29,4,0
1003,A00-A04,M,2024-07-29,1,0
1003,A60-A79,W,2024-07-29,1,0
1003,A80+,M,2024-07-29,1,0
1003,A80+,W,2024-07-21,1,0
1003,A80+,W,2024-07-29,1,0
1004,A60-A79,M,2024-07-29,1,0
1004,A80+,M,2024-07-28,1,0
1051,A00-A04,M,2024-07-29,1,0
1051,A80+,W,2024-07-24,1,0
1053,A15-A34,M,2024-07-29,1,0
1053,A15-A34,W,2022-06-11,-1,0
1053,A35-A59,W,2022-06-07,-1,0
1053,A80+,M,2024-07-29,1,0
1054,A15-A34,W,2024-07-29,1,0
1054,A80+,M,2024-07-29,1,0
1054,A80+,W,2024-07-25,1,1
1055,A35-A59,W,2024-07-29,1,0
1055,A60-A79,M,2024-07-29,1,0
1055,A80+,M,2024-07-26,1,0
1056,A15-A34,M,2024-07-20,1,0
1056,A35-A59,M,2024-07-29,2,0
1056,A60-A79,W,2024-07-29,1,0
1056,A80+,M,2024-07-29,1,0
1056,A80+,W,2024-07-29,1,0
1057,A35-A59,W,2024-07-29,2,0
1057,A60-A79,W,2024-07-29,1,0
1057,A80+,M,2024-07-29,1,0
1058,A60-A79,M,2024-07-29,3,0
1058,A60-A79,W,2024-07-29,3,0
1058,A80+,M,2024-07-25,1,0
1058,A80+,M,2024-07-29,1,0
1058,A80+,W,2024-07-29,1,0
1059,A35-A59,M,2024-07-29,1,0
1059,A60-A79,M,2024-07-29,1,0
1059,A60-A79,W,2024-07-19,1,1
1059,A60-A79,W,2024-07-29,1,0
1059,A80+,M,2024-07-29,1,0
1060,A35-A59,M,2024-07-21,1,0
1060,A60-A79,W,2024-07-07,1,0
1060,A60-A79,W,2024-07-23,1,0
1060,A80+,M,2024-07-27,1,0
1061,A60-A79,M,2024-07-29,1,0
1061,A60-A79,W,2024-07-29,1,0
2000,A00-A04,W,2024-07-29,1,0
2000,A15-A34,M,2024-07-29,2,0
2000,A15-A34,W,2024-07-29,2,0
2000,A35-A59,M,2024-07-29,1,0
2000,A35-A59,W,2024-07-29,2,0
2000,A60-A79,M,2024-07-29,4,0
2000,A60-A79,W,2024-07-29,2,0
2000,A80+,M,2024-07-04,1,1
2000,A80+,M,2024-07-29,5,0
2000,A80+,W,2024-07-29,3,0
3102,A35-A59,W,2024-07-26,1,0
3151,A15-A34,M,2024-07-24,1,0
3151,A35-A59,W,2024-07-23,1,0
3151,A35-A59,W,2024-07-26,1,0
3151,unbekannt,M,2024-07-26,1,0
3153,A60-A79,M,2024-07-29,1,0
3153,A60-A79,W,2024-07-29,2,0
3153,A80+,M,2024-07-29,1,0
3155,A35-A59,W,2024-07-29,1,0
3157,A60-A79,M,2024-07-29,1,0
3157,A60-A79,W,2024-07-29,1,0
3157,A80+,M,2024-07-29,1,0
3157,A80+,W,2024-07-29,1,0
3159,A35-A59,W,2024-07-26,2,0
3159,A60-A79,M,2024-07-26,1,0
3159,A80+,W,2024-07-26,1,0
3241,A00-A04,W,2024-07-29,1,0
3241,A15-A34,M,2024-07-27,1,0
3241,A15-A34,W,2024-07-26,2,0
3241,A15-A34,W,2024-07-29,2,0
3241,A35-A59,W,2024-07-26,3,0
3241,A35-A59,W,2024-07-27,1,0
3241,A35-A59,W,2024-07-28,1,0
3241,A60-A79,M,2024-07-26,2,0
3241,A60-A79,M,2024-07-27,1,0
3241,A60-A79,M,2024-07-28,1,0
3241,A60-A79,W,2024-07-25,1,0
3241,A60-A79,W,2024-07-26,2,0
3241,A60-A79,W,2024-07-27,1,0
3241,A80+,M,2024-07-23,1,0
3241,A80+,M,2024-07-26,1,0
3241,A80+,M,2024-07-27,3,0
3241,A80+,M,2024-07-28,2,0
3241,A80+,M,2024-07-29,1,0
3241,A80+,W,2024-07-26,4,0
3241,A80+,W,2024-07-27,4,0
3241,A80+,W,2024-07-28,3,0
3252,A60-A79,M,2024-07-25,1,0
3252,A80+,M,2024-07-23,1,0
3254,A00-A04,W,2024-07-27,1,0
3254,A60-A79,M,2024-07-29,2,0
3254,A80+,M,2024-07-26,1,0
3254,A80+,W,2024-07-29,1,0
3255,A00-A04,M,2024-07-29,1,0
3255,A05-A14,M,2024-07-29,1,0
3256,A05-A14,M,2024-07-29,1,0
3351,A35-A59,M,2024-07-26,1,0
3355,A60-A79,M,2024-06-24,1,1
3355,A80+,M,2024-07-27,1,0
3358,A15-A34,W,2024-07-28,1,0
3358,A80+,W,2024-07-28,1,0
3361,A15-A34,M,2024-07-29,1,0
3401,A80+,M,2024-07-26,1,0
3403,A00-A04,M,2024-07-27,1,0
3403,A00-A04,W,2024-07-26,1,0
3403,A35-A59,M,2024-07-26,1,0
3403,A80+,M,2024-07-28,1,0
3404,A60-A79,M,2024-07-28,1,0
3404,A80+,W,2024-07-26,1,0
3405,A15-A34,W,2024-07-29,1,0
3405,A60-A79,W,2024-07-29,1,0
3405,A80+,W,2024-07-29,1,0
3452,A60-A79,M,2024-07-26,1,0
3454,A15-A34,M,2024-07-26,1,0
3454,A35-A59,M,2024-07-26,2,0
3454,A60-A79,M,2024-07-26,1,0
3454,A60-A79,W,2024-07-25,1,0
3454,A80+,M,2024-07-23,1,0
3459,A15-A34,W,2024-07-26,1,0
3459,A15-A34,W,2024-07-27,1,0
3459,A35-A59,M,2024-07-28,1,0
3459,A35-A59,W,2024-07-26,1,0
3459,A60-A79,W,2024-07-27,1,0
3459,A60-A79,W,2024-07-28,1,0
3459,A80+,M,2024-07-28,1,0
3460,A00-A04,M,2024-07-28,1,0
3460,A15-A34,M,2024-07-26,1,0
3460,A35-A59,W,2024-07-29,1,0
3460,A60-A79,W,2024-07-26,1,0
4011,A15-A34,M,2024-07-29,1,0
4011,A35-A59,M,2024-07-28,1,0
4011,A60-A79,M,2024-07-24,1,0
4011,A60-A79,M,2024-07-27,3,0
4011,A60-A79,W,2024-07-29,1,0
4011,A80+,M,2024-07-27,1,0
5112,A00-A04,M,2024-07-29,1,0
5112,A15-A34,M,2024-07-25,1,0
5112,A15-A34,M,2024-07-29,1,0
5112,A15-A34,W,2024-07-29,1,0
5112,A35-A59,M,2024-07-29,2,0
5112,A60-A79,M,2024-07-29,1,0
5112,A60-A79,W,2024-07-26,1,0
5112,A60-A79,W,2024-07-29,2,0
5112,A80+,M,2024-07-10,1,0
5112,A80+,M,2024-07-26,1,0
5112,A80+,M,2024-07-29,2,0
5116,A35-A59,M,2024-07-29,2,0
5117,A15-A34,M,2024-07-28,1,0
5117,A35-A59,M,2024-07-27,1,0
5117,A35-A59,W,2024-07-27,1,0
5117,A60-A79,M,2024-07-27,1,0
5117,A60-A79,W,2024-07-26,1,0
5117,A60-A79,W,2024-07-28,1,0
5117,A60-A79,W,2024-07-29,1,0
5117,A80+,M,2024-07-26,1,0
5117,A80+,M,2024-07-27,1,0
5124,A00-A04,M,2024-07-29,2,0
5124,A00-A04,W,2024-07-29,1,0
5124,A15-A34,W,2024-07-29,1,0
5124,A35-A59,W,2024-07-22,1,0
5124,A60-A79,M,2024-07-26,1,0
5124,A60-A79,M,2024-07-29,1,0
5124,A60-A79,W,2024-07-24,1,0
5124,A60-A79,W,2024-07-25,2,0
5124,A80+,W,2024-07-29,1,0
5154,A00-A04,M,2024-07-29,1,0
5154,A15-A34,M,2024-07-26,1,0
5154,A35-A59,M,2024-07-24,1,0
5154,A60-A79,M,2024-07-21,1,0
5154,A60-A79,M,2024-07-24,2,0
5154,A60-A79,W,2024-07-24,1,0
5154,A60-A79,W,2024-07-29,1,0
5154,A80+,M,2024-07-24,2,0
5154,A80+,M,2024-07-25,1,0
5154,A80+,W,2024-07-25,1,0
5154,A80+,W,2024-07-29,1,0
5158,A00-A04,M,2024-07-26,1,0
5158,A15-A34,M,2024-07-26,2,0
5158,A15-A34,W,2024-07-26,1,0
5158,A35-A59,M,2024-07-26,1,0
5158,A35-A59,W,2024-07-26,3,0
5158,A80+,M,2024-07-23,-1,0
5158,A80+,M,2024-07-25,1,0
5158,A80+,M,2024-07-26,2,0
5158,A80+,W,2024-07-26,1,0
5162,A15-A34,M,2024-07-29,1,0
5162,A35-A59,M,2024-07-29,1,0
5162,A35-A59,W,2024-07-29,1,0
5162,A60-A79,M,2024-07-26,1,0
5162,A60-A79,M,2024-07-29,2,0
5162,A60-A79,W,2024-07-24,1,0
5162,A80+,M,2024-07-29,1,0
5162,A80+,W,2024-07-29,2,0
5170,A60-A79,W,2024-07-26,2,0
5170,A80+,M,2024-07-27,1,0
5170,A80+,W,2024-07-29,1,0
5315,A00-A04,W,2024-07-29,2,0
5315,A15-A34,M,2024-07-26,1,0
5315,A15-A34,M,2024-07-29,1,0
5315,A15-A34,W,2024-07-29,3,0
5315,A35-A59,M,2024-07-26,1,0
5315,A35-A59,W,2024-07-26,1,0
5315,A35-A59,W,2024-07-29,1,0
5315,A60-A79,M,2024-07-29,1,0
5315,A60-A79,W,2024-07-26,1,0
5315,A60-A79,W,2024-07-29,5,0
5315,A80+,M,2024-07-15,1,0
5315,A80+,M,2024-07-26,2,0
5315,A80+,M,2024-07-29,3,0
5315,A80+,W,2024-07-16,1,0
5315,A80+,W,2024-07-26,1,0
5316,A35-A59,W,2024-07-29,1,0
5316,A60-A79,M,2024-07-29,1,0
5316,A80+,W,2024-07-29,1,0
5362,A15-A34,M,2024-07-27,1,0
5362,A15-A34,W,2024-07-26,1,0
5362,A15-A34,W,2024-07-28,2,0
5362,A35-A59,M,2024-07-26,1,0
5362,A35-A59,W,2024-07-28,1,0
5362,A60-A79,M,2024-07-27,1,0
5362,A60-A79,W,2024-07-26,1,0
5362,A80+,W,2024-07-29,1,0
5366,A15-A34,W,2024-07-29,1,0
5374,A35-A59,W,2024-07-26,1,0
5374,A80+,W,2024-07-29,2,0
5382,A35-A59,M,2024-07-28,1,0
5382,A35-A59,W,2024-07-28,2,0
5382,A35-A59,W,2024-07-29,1,0
5382,A60-A79,M,2024-07-28,3,0
5382,A80+,M,2024-07-28,2,0
5382,A80+,W,2024-07-28,1,0
5382,A80+,W,2024-07-29,1,0
5512,A15-A34,M,2024-07-26,1,0
5513,A00-A04,W,2024-07-26,1,0
5513,A15-A34,M,2024-07-29,1,0
