date,ags,age_group,stage,new
2022-08-20,1001,05-11,1,5
2022-08-20,1001,05-11,2,5
2022-08-20,1001,12-17,3,5
2022-08-20,1001,18-59,3,5
2022-08-20,1001,18-59,4,15
2022-08-20,1001,18-59,5,6
2022-08-20,1001,60+,4,10
2022-08-20,1002,18-59,3,14
2022-08-20,1002,18-59,4,15
2022-08-20,1002,60+,4,13
2022-08-20,1003,18-59,3,8
2022-08-20,1003,18-59,4,13
2022-08-20,1003,60+,4,19
2022-08-20,1004,18-59,3,6
2022-08-20,1004,60+,4,14
2022-08-20,1051,18-59,3,8
2022-08-20,1051,18-59,4,14
2022-08-20,1051,60+,4,9
2022-08-20,1053,18-59,4,12
2022-08-20,1053,60+,4,16
2022-08-20,1054,18-59,4,9
2022-08-20,1054,60+,4,24
2022-08-20,1055,18-59,3,7
2022-08-20,1055,18-59,4,17
2022-08-20,1055,60+,3,5
2022-08-20,1055,60+,4,23
2022-08-20,1056,12-17,2,5
2022-08-20,1056,18-59,2,6
2022-08-20,1056,18-59,3,8
2022-08-20,1056,18-59,4,14
2022-08-20,1056,60+,3,5
2022-08-20,1056,60+,4,61
2022-08-20,1057,60+,4,5
2022-08-20,1058,18-59,3,6
2022-08-20,1058,18-59,4,6
2022-08-20,1058,60+,4,15
2022-08-20,1059,18-59,3,6
2022-08-20,1059,60+,4,12
2022-08-20,1060,12-17,3,5
2022-08-20,1060,18-59,4,21
2022-08-20,1060,60+,4,7
2022-08-20,1061,18-59,4,5
2022-08-20,1062,18-59,4,8
2022-08-20,1062,60+,4,18
2022-08-20,2000,18-59,3,26
2022-08-20,2000,18-59,4,19
2022-08-20,2000,60+,3,13
2022-08-20,2000,60+,4,49
2022-08-20,3153,05-11,2,6
2022-08-20,3153,18-59,3,8
2022-08-20,3153,18-59,4,9
2022-08-20,3153,60+,4,17
2022-08-20,3155,60+,4,11
2022-08-20,3159,18-59,1,5
2022-08-20,3159,18-59,4,10
2022-08-20,3159,60+,4,26
2022-08-20,3241,05-11,1,8
2022-08-20,3241,05-11,2,8
2022-08-20,3241,05-11,3,6
2022-08-20,3241,18-59,3,12
2022-08-20,3241,18-59,4,16
2022-08-20,3241,60+,4,26
2022-08-20,3254,12-17,1,5
2022-08-20,3254,18-59,3,5
2022-08-20,3254,60+,4,27
2022-08-20,3352,18-59,4,58
2022-08-20,3352,60+,4,19
2022-08-20,3353,05-11,2,8
2022-08-20,3356,12-17,3,7
2022-08-20,3358,60+,3,5
2022-08-20,3358,60+,4,6
2022-08-20,3359,60+,4,11
2022-08-20,3361,12-17,2,5
2022-08-20,3361,18-59,4,9
2022-08-20,3361,60+,3,8
2022-08-20,3361,60+,4,16
2022-08-20,3403,18-59,4,9
2022-08-20,3403,60+,4,25
2022-08-20,3404,05-11,1,5
2022-08-20,3404,12-17,3,6
2022-08-20,3404,18-59,3,9
2022-08-20,3404,18-59,4,11
2022-08-20,3404,60+,4,17
2022-08-20,3405,12-17,3,6
2022-08-20,3405,60+,4,7
2022-08-20,3451,18-59,4,8
2022-08-20,3451,60+,4,10
2022-08-20,3452,60+,4,5
2022-08-20,3453,18-59,2,5
2022-08-20,3453,18-59,4,9
2022-08-20,3459,60+,4,10
2022-08-20,3462,60+,4,6
2022-08-20,4011,05-11,3,7
2022-08-20,4011,12-17,1,6
2022-08-20,4011,18-59,1,5
2022-08-20,4011,18-59,2,9
2022-08-20,4011,18-59,3,15
2022-08-20,4011,18-59,4,53
2022-08-20,4011,60+,4,38
2022-08-20,4012,18-59,4,6
2022-08-20,5111,18-59,3,5
2022-08-20,5111,18-59,4,7
2022-08-20,5112,12-17,3,6
2022-08-20,5112,18-59,2,5
2022-08-20,5112,18-59,3,15
2022-08-20,5112,18-59,4,11
2022-08-20,5112,60+,4,33
2022-08-20,5113,12-17,3,5
2022-08-20,5113,18-59,3,8
2022-08-20,5113,18-59,4,10
2022-08-20,5113,60+,2,5
2022-08-20,5113,60+,4,19
2022-08-20,5117,18-59,3,7
2022-08-20,5117,60+,4,6
2022-08-20,5120,18-59,4,6
2022-08-20,5120,60+,4,21
2022-08-20,5122,18-59,3,10
2022-08-20,5122,18-59,4,7
2022-08-20,5122,60+,4,23
2022-08-20,5154,18-59,3,18
2022-08-20,5154,18-59,4,12
2022-08-20,5154,60+,3,17
2022-08-20,5154,60+,4,34
2022-08-20,5158,12-17,3,6
2022-08-20,5158,18-59,2,5
2022-08-20,5158,18-59,3,10
2022-08-20,5158,18-59,4,20
2022-08-20,5158,60+,3,5
2022-08-20,5158,60+,4,42
2022-08-20,5162,18-59,2,7
2022-08-20,5162,18-59,3,8
2022-08-20,5162,18-59,4,17
2022-08-20,5162,60+,2,5
2022-08-20,5162,60+,4,44
2022-08-20,5166,18-59,4,13
2022-08-20,5166,60+,4,28
2022-08-20,5170,18-59,3,7
2022-08-20,5170,18-59,4,12
2022-08-20,5170,60+,4,38
2022-08-20,5170,60+,5,5
2022-08-20,5315,12-17,3,5
2022-08-20,5315,18-59,4,13
2022-08-20,5315,60+,4,19
2022-08-20,5316,18-59,4,8
2022-08-20,5316,60+,4,53
2022-08-20,5334,18-59,4,9
2022-08-20,5334,60+,4,8
2022-08-20,5358,18-59,3,7
2022-08-20,5358,60+,4,5
2022-08-20,5362,60+,4,5
2022-08-20,5370,60+,4,6
2022-08-20,5374,18-59,4,9
2022-08-20,5374,60+,4,11
2022-08-20,5378,18-59,4,5
2022-08-20,5378,60+,4,9
2022-08-20,5382,12-17,3,8
2022-08-20,5382,18-59,1,8
2022-08-20,5382,18-59,3,29
2022-08-20,5382,18-59,4,65
2022-08-20,5382,60+,3,6
2022-08-20,5382,60+,4,105
2022-08-20,5515,60+,4,5
2022-08-20,5554,05-11,1,7
2022-08-20,5554,18-59,2,6
2022-08-20,5554,18-59,3,18
2022-08-20,5554,18-59,4,13
2022-08-20,5554,60+,4,28
2022-08-20,5562,18-59,4,9
2022-08-20,5562,60+,4,64
2022-08-20,5566,18-59,3,6
2022-08-20,5566,18-59,4,7
2022-08-20,5566,60+,4,19
2022-08-20,5570,60+,4,5
2022-08-20,5711,05-11,1,5
2022-08-20,5711,12-17,3,7
2022-08-20,5711,18-59,3,7
2022-08-20,5711,18-59,4,11
2022-08-20,5711,60+,2,5
2022-08-20,5711,60+,3,5
2022-08-20,5711,60+,4,19
2022-08-20,5754,12-17,3,5
2022-08-20,5754,18-59,4,10
2022-08-20,5754,60+,3,7
2022-08-20,5754,60+,4,50
2022-08-20,5762,18-59,1,5
2022-08-20,5762,60+,4,8
2022-08-20,5766,18-59,3,9
2022-08-20,5766,18-59,4,6
2022-08-20,5766,60+,4,34
2022-08-20,5770,18-59,2,5
2022-08-20,5770,18-59,3,10
2022-08-20,5770,18-59,4,8
2022-08-20,5770,60+,3,5
2022-08-20,5770,60+,4,10
2022-08-20,5774,12-17,3,5
2022-08-20,5914,12-17,2,6
2022-08-20,5914,60+,4,8
2022-08-20,5958,18-59,2,5
2022-08-20,5958,18-59,3,9
2022-08-20,5958,18-59,4,9
2022-08-20,5958,60+,4,28
2022-08-20,5962,12-17,2,5
2022-08-20,5962,12-17,4,5
2022-08-20,5962,18-59,2,6
2022-08-20,5962,18-59,3,18
2022-08-20,5962,18-59,4,31
2022-08-20,5962,60+,4,89
2022-08-20,5966,60+,4,15
2022-08-20,5970,18-59,4,8
2022-08-20,5974,60+,4,16
2022-08-20,5978,18-59,3,5
2022-08-20,5978,18-59,4,6
2022-08-20,5978,60+,4,30
