datum,ags,intensivbetten_frei,intensivbetten_belegt
2022-08-20,01001,8.0,34.0
2022-08-20,01002,22.0,111.0
2022-08-20,01003,5.0,116.0
2022-08-20,01004,7.0,18.0
2022-08-20,01051,3.0,32.0
2022-08-20,01053,2.0,14.0
2022-08-20,01054,7.0,17.0
2022-08-20,01055,8.0,36.0
2022-08-20,01056,5.0,31.0
2022-08-20,01057,5.0,7.0
2022-08-20,01058,11.0,32.0
2022-08-20,01059,0.0,24.0
2022-08-20,01060,22.0,57.0
2022-08-20,01061,14.0,29.0
2022-08-20,01062,8.0,22.0
2022-08-20,02000,106.0,437.0
2022-08-20,03101,39.0,93.0
2022-08-20,03102,0.0,28.0
2022-08-20,03103,6.0,24.0
2022-08-20,03151,0.0,12.0
2022-08-20,03153,0.0,22.0
2022-08-20,03154,2.0,9.0
2022-08-20,03155,9.0,11.0
2022-08-20,03157,0.0,14.0
2022-08-20,03158,10.0,6.0
2022-08-20,03159,34.0,104.0
2022-08-20,03241,46.0,327.0
2022-08-20,03251,3.0,10.0
2022-08-20,03252,13.0,53.0
2022-08-20,03254,22.0,52.0
2022-08-20,03255,0.0,10.0
2022-08-20,03256,4.0,12.0
2022-08-20,03257,4.0,20.0
2022-08-20,03351,9.0,27.0
2022-08-20,03352,6.0,9.0
2022-08-20,03353,3.0,28.0
2022-08-20,03354,0.0,6.0
2022-08-20,03355,7.0,30.0
2022-08-20,03356,2.0,7.0
2022-08-20,03357,4.0,26.0
2022-08-20,03358,4.0,18.0
2022-08-20,03359,4.0,22.0
2022-08-20,03360,5.0,71.0
2022-08-20,03361,3.0,12.0
2022-08-20,03401,0.0,11.0
2022-08-20,03402,1.0,12.0
2022-08-20,03403,7.0,107.0
2022-08-20,03404,12.0,98.0
2022-08-20,03405,1.0,18.0
2022-08-20,03451,0.0,29.0
2022-08-20,03452,14.0,22.0
2022-08-20,03453,6.0,17.0
2022-08-20,03454,24.0,55.0
2022-08-20,03455,7.0,24.0
2022-08-20,03456,4.0,23.0
2022-08-20,03457,8.0,19.0
2022-08-20,03458,2.0,5.0
2022-08-20,03459,13.0,71.0
2022-08-20,03460,14.0,22.0
2022-08-20,03461,5.0,8.0
2022-08-20,03462,0.0,8.0
2022-08-20,04011,9.0,124.0
2022-08-20,04012,13.0,35.0
2022-08-20,05111,31.0,248.0
2022-08-20,05112,33.0,128.0
2022-08-20,05113,40.0,311.0
2022-08-20,05114,9.0,73.0
2022-08-20,05116,16.0,71.0
2022-08-20,05117,2.0,34.0
2022-08-20,05119,4.0,65.0
2022-08-20,05120,1.0,27.0
2022-08-20,05122,9.0,63.0
2022-08-20,05124,18.0,116.0
2022-08-20,05154,17.0,49.0
2022-08-20,05158,12.0,45.0
2022-08-20,05162,10.0,88.0
2022-08-20,05166,8.0,26.0
2022-08-20,05170,22.0,92.0
2022-08-20,05314,9.0,240.0
2022-08-20,05315,19.0,302.0
2022-08-20,05316,13.0,52.0
2022-08-20,05334,19.0,246.0
2022-08-20,05358,17.0,48.0
2022-08-20,05362,11.0,50.0
2022-08-20,05366,2.0,26.0
2022-08-20,05370,3.0,33.0
2022-08-20,05374,11.0,36.0
2022-08-20,05378,1.0,30.0
2022-08-20,05382,13.0,71.0
2022-08-20,05512,15.0,28.0
2022-08-20,05513,23.0,61.0
2022-08-20,05515,14.0,192.0
2022-08-20,05554,17.0,50.0
2022-08-20,05558,4.0,30.0
2022-08-20,05562,51.0,173.0
2022-08-20,05566,12.0,78.0
2022-08-20,05570,8.0,40.0
2022-08-20,05711,11.0,110.0
2022-08-20,05754,4.0,23.0
2022-08-20,05758,11.0,39.0
2022-08-20,05762,6.0,28.0
2022-08-20,05766,2.0,48.0
2022-08-20,05770,12.0,182.0
