datum,ags,intensivbetten_frei,intensivbetten_belegt
2021-06-25,01001,6.0,35.0
2021-06-25,01002,37.0,127.0
2021-06-25,01003,23.0,110.0
2021-06-25,01004,5.0,20.0
2021-06-25,01051,5.0,33.0
2021-06-25,01053,5.0,13.0
2021-06-25,01054,5.0,19.0
2021-06-25,01055,14.0,37.0
2021-06-25,01056,6.0,31.0
2021-06-25,01057,3.0,9.0
2021-06-25,01058,10.0,30.0
2021-06-25,01059,4.0,20.0
2021-06-25,01060,26.0,54.0
2021-06-25,01061,7.0,36.0
2021-06-25,01062,7.0,25.0
2021-06-25,02000,126.0,525.0
2021-06-25,03101,22.0,110.0
2021-06-25,03102,9.0,20.0
2021-06-25,03103,11.0,22.0
2021-06-25,03151,0.0,10.0
2021-06-25,03153,6.0,21.0
2021-06-25,03154,3.0,15.0
2021-06-25,03155,4.0,16.0
2021-06-25,03157,4.0,11.0
2021-06-25,03158,3.0,13.0
2021-06-25,03159,27.0,124.0
2021-06-25,03241,45.0,352.0
2021-06-25,03251,5.0,12.0
2021-06-25,03252,17.0,58.0
2021-06-25,03254,18.0,56.0
2021-06-25,03255,1.0,8.0
2021-06-25,03256,3.0,17.0
2021-06-25,03257,5.0,22.0
2021-06-25,03351,7.0,26.0
2021-06-25,03352,11.0,4.0
2021-06-25,03353,3.0,31.0
2021-06-25,03354,0.0,6.0
2021-06-25,03355,15.0,31.0
2021-06-25,03356,4.0,12.0
2021-06-25,03357,8.0,24.0
2021-06-25,03358,5.0,14.0
2021-06-25,03359,4.0,31.0
2021-06-25,03360,3.0,73.0
2021-06-25,03361,2.0,14.0
2021-06-25,03401,1.0,15.0
2021-06-25,03402,8.0,11.0
2021-06-25,03403,16.0,102.0
2021-06-25,03404,23.0,91.0
2021-06-25,03405,6.0,26.0
2021-06-25,03451,9.0,24.0
2021-06-25,03452,13.0,23.0
2021-06-25,03453,5.0,18.0
2021-06-25,03454,29.0,65.0
2021-06-25,03455,8.0,25.0
2021-06-25,03456,0.0,25.0
2021-06-25,03457,9.0,20.0
2021-06-25,03458,1.0,9.0
2021-06-25,03459,14.0,80.0
2021-06-25,03460,7.0,25.0
2021-06-25,03461,3.0,12.0
2021-06-25,03462,2.0,6.0
2021-06-25,04011,11.0,152.0
2021-06-25,04012,15.0,38.0
2021-06-25,05111,43.0,255.0
2021-06-25,05112,19.0,173.0
2021-06-25,05113,39.0,334.0
2021-06-25,05114,16.0,70.0
2021-06-25,05116,13.0,76.0
2021-06-25,05117,3.0,31.0
2021-06-25,05119,18.0,58.0
2021-06-25,05120,3.0,23.0
2021-06-25,05122,10.0,67.0
2021-06-25,05124,13.0,135.0
2021-06-25,05154,24.0,46.0
2021-06-25,05158,22.0,44.0
2021-06-25,05162,23.0,79.0
2021-06-25,05166,2.0,33.0
2021-06-25,05170,28.0,98.0
2021-06-25,05314,10.0,283.0
2021-06-25,05315,34.0,402.0
2021-06-25,05316,16.0,62.0
2021-06-25,05334,26.0,277.0
2021-06-25,05358,15.0,54.0
2021-06-25,05362,13.0,68.0
2021-06-25,05366,1.0,26.0
2021-06-25,05370,3.0,34.0
2021-06-25,05374,16.0,67.0
2021-06-25,05378,8.0,34.0
2021-06-25,05382,14.0,71.0
2021-06-25,05512,15.0,28.0
2021-06-25,05513,16.0,83.0
2021-06-25,05515,9.0,210.0
2021-06-25,05554,23.0,50.0
2021-06-25,05558,4.0,23.0
2021-06-25,05562,40.0,184.0
2021-06-25,05566,27.0,78.0
2021-06-25,05570,8.0,38.0
2021-06-25,05711,24.0,116.0
2021-06-25,05754,2.0,36.0
2021-06-25,05758,12.0,52.0
2021-06-25,05762,7.0,28.0
2021-06-25,05766,2.0,48.0
2021-06-25,05770,21.0,193.0
2021-06-25,05774,18.0,80.0
2021-06-25,05911,20.0,173.0
2021-06-25,05913,23.0,257.0
2021-06-25,05914,6.0,82.0
2021-06-25,05915,30.0,65.0
2021-06-25,05916,9.0,56.0
2021-06-25,05954,26.0,110.0
2021-06-25,05958,30.0,66.0
2021-06-25,05962,29.0,84.0
2021-06-25,05966,14.0,16.0
2021-06-25,05970,14.0,103.0
2021-06-25,05974,16.0,71.0
2021-06-25,05978,14.0,98.0
2021-06-25,06411,23.0,72.0
2021-06-25,06412,41.0,256.0
2021-06-25,06413,6.0,98.0
2021-06-25,06414,6.0,89.0
2021-06-25,06431,10.0,32.0
2021-06-25,06432,1.0,26.0
2021-06-25,06433,6.0,18.0
2021-06-25,06434,11.0,15.0
2021-06-25,06435,15.0,66.0
2021-06-25,06436,1.0,28.0
2021-06-25,06437,8.0,118.0
2021-06-25,06438,6.0,13.0
2021-06-25,06439,3.0,12.0
2021-06-25,06440,7.0,59.0
2021-06-25,06531,35.0,197.0
2021-06-25,06532,2.0,47.0
2021-06-25,06533,8.0,44.0
2021-06-25,06534,16.0,133.0
2021-06-25,06535,4.0,21.0
2021-06-25,06611,20.0,136.0
2021-06-25,06631,9.0,84.0
2021-06-25,06632,11.0,49.0
2021-06-25,06633,10.0,23.0
2021-06-25,06634,8.0,20.0
2021-06-25,06635,14.0,66.0
2021-06-25,06636,7.0,25.0
2021-06-25,07111,22.0,83.0
2021-06-25,07131,3.0,15.0
2021-06-25,07132,7.0,8.0
2021-06-25,07133,12.0,38.0
2021-06-25,07134,8.0,14.0
2021-06-25,07135,8.0,5.0
2021-06-25,07137,14.0,24.0
2021-06-25,07138,22.0,51.0
2021-06-25,07140,3.0,13.0
2021-06-25,07141,5.0,25.0
2021-06-25,07143,9.0,22.0
2021-06-25,07211,12.0,68.0
2021-06-25,07231,6.0,18.0
2021-06-25,07232,1.0,12.0
2021-06-25,07233,2.0,13.0
2021-06-25,07235,7.0,9.0
2021-06-25,07311,3.0,10.0
2021-06-25,07312,21.0,88.0
2021-06-25,07313,14.0,15.0
2021-06-25,07314,17.0,99.0
2021-06-25,07315,20.0,90.0
2021-06-25,07316,1.0,14.0
2021-06-25,07317,6.0,10.0
2021-06-25,07318,7.0,23.0
2021-06-25,07319,4.0,49.0
2021-06-25,07320,8.0,6.0
2021-06-25,07331,2.0,5.0
2021-06-25,07332,9.0,9.0
2021-06-25,07333,7.0,5.0
2021-06-25,07334,9.0,12.0
2021-06-25,07335,5.0,9.0
2021-06-25,07336,0.0,16.0
2021-06-25,07337,6.0,7.0
2021-06-25,07339,0.0,8.0
2021-06-25,07340,5.0,4.0
2021-06-25,08111,32.0,227.0
2021-06-25,08115,10.0,39.0
2021-06-25,08116,17.0,62.0
2021-06-25,08117,12.0,35.0
2021-06-25,08118,1.0,95.0
2021-06-25,08119,14.0,41.0
2021-06-25,08121,13.0,42.0
2021-06-25,08125,4.0,43.0
2021-06-25,08126,2.0,5.0
2021-06-25,08127,8.0,44.0
2021-06-25,08128,15.0,49.0
2021-06-25,08135,5.0,17.0
2021-06-25,08136,16.0,56.0
2021-06-25,08211,3.0,17.0
2021-06-25,08212,21.0,103.0
2021-06-25,08215,9.0,42.0
2021-06-25,08216,3.0,7.0
2021-06-25,08221,28.0,228.0
2021-06-25,08222,15.0,94.0
2021-06-25,08225,7.0,14.0
2021-06-25,08226,5.0,35.0
2021-06-25,08231,11.0,54.0
2021-06-25,08235,2.0,21.0
2021-06-25,08236,3.0,9.0
2021-06-25,08237,1.0,13.0
2021-06-25,08311,50.0,174.0
2021-06-25,08315,4.0,26.0
2021-06-25,08316,2.0,88.0
2021-06-25,08317,18.0,73.0
2021-06-25,08325,0.0,11.0
2021-06-25,08326,11.0,48.0
2021-06-25,08327,2.0,8.0
2021-06-25,08335,23.0,71.0
2021-06-25,08336,1.0,27.0
2021-06-25,08337,4.0,6.0
2021-06-25,08415,13.0,31.0
2021-06-25,08416,7.0,97.0
2021-06-25,08417,4.0,22.0
2021-06-25,08421,25.0,101.0
2021-06-25,08425,5.0,13.0
2021-06-25,08426,6.0,8.0
2021-06-25,08435,14.0,52.0
2021-06-25,08436,17.0,53.0
2021-06-25,08437,2.0,10.0
2021-06-25,09161,13.0,32.0
2021-06-25,09162,48.0,512.0
2021-06-25,09163,11.0,35.0
2021-06-25,09171,3.0,23.0
2021-06-25,09172,4.0,18.0
2021-06-25,09173,3.0,21.0
2021-06-25,09174,0.0,27.0
2021-06-25,09175,0.0,18.0
2021-06-25,09176,5.0,43.0
2021-06-25,09177,0.0,19.0
2021-06-25,09178,6.0,8.0
2021-06-25,09179,1.0,11.0
2021-06-25,09180,14.0,52.0
2021-06-25,09181,5.0,8.0
2021-06-25,09182,5.0,14.0
2021-06-25,09183,0.0,12.0
2021-06-25,09184,1.0,9.0
2021-06-25,09185,12.0,22.0
2021-06-25,09186,2.0,6.0
2021-06-25,09187,11.0,54.0
2021-06-25,09188,10.0,50.0
2021-06-25,09189,4.0,53.0
2021-06-25,09190,8.0,16.0
2021-06-25,09261,11.0,47.0
2021-06-25,09262,9.0,39.0
2021-06-25,09263,6.0,21.0
2021-06-25,09271,3.0,28.0
2021-06-25,09272,6.0,12.0
2021-06-25,09273,3.0,8.0
2021-06-25,09274,0.0,6.0
2021-06-25,09275,6.0,16.0
2021-06-25,09276,1.0,12.0
2021-06-25,09277,2.0,14.0
2021-06-25,09278,6.0,7.0
2021-06-25,09279,5.0,19.0
2021-06-25,09361,8.0,32.0
2021-06-25,09362,38.0,175.0
2021-06-25,09363,6.0,57.0
2021-06-25,09371,4.0,6.0
2021-06-25,09372,6.0,8.0
2021-06-25,09373,1.0,19.0
2021-06-25,09375,1.0,13.0
2021-06-25,09376,9.0,13.0
2021-06-25,09377,4.0,14.0
2021-06-25,09461,12.0,39.0
2021-06-25,09462,6.0,52.0
2021-06-25,09463,5.0,34.0
2021-06-25,09464,13.0,25.0
2021-06-25,09471,8.0,8.0
2021-06-25,09472,5.0,2.0
2021-06-25,09474,7.0,7.0
2021-06-25,09475,4.0,12.0
2021-06-25,09476,6.0,9.0
2021-06-25,09477,5.0,22.0
2021-06-25,09478,9.0,36.0
2021-06-25,09479,12.0,8.0
2021-06-25,09561,3.0,20.0
2021-06-25,09562,17.0,119.0
2021-06-25,09563,5.0,42.0
2021-06-25,09564,26.0,164.0
2021-06-25,09565,0.0,4.0
2021-06-25,09571,8.0,16.0
2021-06-25,09572,0.0,6.0
2021-06-25,09574,2.0,22.0
2021-06-25,09575,9.0,39.0
2021-06-25,09576,0.0,6.0
2021-06-25,09577,1.0,15.0
2021-06-25,09661,1.0,53.0
2021-06-25,09662,7.0,62.0
2021-06-25,09663,23.0,120.0
2021-06-25,09671,0.0,6.0
2021-06-25,09672,14.0,31.0
2021-06-25,09673,27.0,112.0
2021-06-25,09674,2.0,7.0
2021-06-25,09675,0.0,9.0
2021-06-25,09676,2.0,8.0
2021-06-25,09677,0.0,6.0
2021-06-25,09678,2.0,4.0
2021-06-25,09679,4.0,6.0
2021-06-25,09761,27.0,125.0
2021-06-25,09762,3.0,11.0
2021-06-25,09763,6.0,36.0
2021-06-25,09764,3.0,25.0
2021-06-25,09771,3.0,13.0
2021-06-25,09772,2.0,10.0
2021-06-25,09773,3.0,11.0
2021-06-25,09774,15.0,31.0
2021-06-25,09775,7.0,12.0
2021-06-25,09776,1.0,11.0
2021-06-25,09777,5.0,12.0
2021-06-25,09778,1.0,13.0
2021-06-25,09779,2.0,21.0
2021-06-25,09780,2.0,16.0
2021-06-25,10041,34.0,148.0
2021-06-25,10042,2.0,10.0
2021-06-25,10043,4.0,28.0
2021-06-25,10044,21.0,38.0
2021-06-25,10045,18.0,184.0
2021-06-25,10046,0.0,14.0
2021-06-25,11000,156.0,1052.0
2021-06-25,12051,12.0,57.0
2021-06-25,12052,16.0,75.0
2021-06-25,12053,2.0,10.0
2021-06-25,12054,11.0,58.0
2021-06-25,12060,4.0,61.0
2021-06-25,12061,7.0,30.0
2021-06-25,12062,5.0,11.0
2021-06-25,12063,5.0,15.0
2021-06-25,12064,8.0,15.0
2021-06-25,12065,7.0,28.0
2021-06-25,12066,0.0,16.0
2021-06-25,12067,0.0,40.0
2021-06-25,12068,1.0,47.0
2021-06-25,12069,3.0,43.0
2021-06-25,12070,6.0,8.0
2021-06-25,12071,6.0,14.0
2021-06-25,12072,2.0,8.0
2021-06-25,12073,6.0,23.0
2021-06-25,13003,20.0,92.0
2021-06-25,13004,10.0,64.0
2021-06-25,13071,3.0,76.0
2021-06-25,13072,10.0,28.0
2021-06-25,13073,19.0,40.0
2021-06-25,13074,4.0,13.0
2021-06-25,13075,29.0,152.0
2021-06-25,13076,16.0,105.0
2021-06-25,14511,22.0,159.0
2021-06-25,14521,23.0,60.0
2021-06-25,14522,9.0,39.0
2021-06-25,14523,21.0,45.0
2021-06-25,14524,19.0,83.0
2021-06-25,14612,39.0,251.0
2021-06-25,14625,22.0,43.0
2021-06-25,14626,26.0,41.0
2021-06-25,14627,11.0,52.0
2021-06-25,14628,8.0,180.0
2021-06-25,14713,56.0,277.0
2021-06-25,14729,11.0,47.0
2021-06-25,14730,29.0,31.0
2021-06-25,15001,17.0,27.0
2021-06-25,15002,39.0,262.0
2021-06-25,15003,10.0,202.0
2021-06-25,15081,11.0,5.0
2021-06-25,15082,13.0,22.0
2021-06-25,15083,4.0,12.0
2021-06-25,15084,3.0,22.0
2021-06-25,15085,17.0,43.0
2021-06-25,15086,4.0,24.0
2021-06-25,15087,4.0,23.0
2021-06-25,15088,7.0,15.0
2021-06-25,15089,1.0,35.0
2021-06-25,15090,5.0,19.0
2021-06-25,15091,18.0,14.0
2021-06-25,16051,15.0,63.0
2021-06-25,16052,0.0,40.0
2021-06-25,16053,8.0,114.0
2021-06-25,16054,18.0,14.0
2021-06-25,16055,0.0,12.0
2021-06-25,16061,4.0,13.0
2021-06-25,16062,19.0,40.0
2021-06-25,16063,20.0,73.0
2021-06-25,16064,2.0,15.0
2021-06-25,16065,0.0,6.0
2021-06-25,16066,8.0,34.0
2021-06-25,16067,7.0,10.0
2021-06-25,16068,0.0,6.0
2021-06-25,16069,0.0,6.0
2021-06-25,16070,2.0,15.0
2021-06-25,16071,10.0,75.0
2021-06-25,16072,0.0,7.0
2021-06-25,16073,10.0,12.0
2021-06-25,16074,0.0,6.0
2021-06-25,16075,2.0,3.0
2021-06-25,16076,2.0,8.0
2021-06-25,16077,1.0,29.0
