date,ags,age_group,stage,new
2023-03-24,1001,18-59,4,11
2023-03-24,1001,18-59,5,12
2023-03-24,1002,18-59,4,10
2023-03-24,1002,60+,5,5
2023-03-24,1003,18-59,4,8
2023-03-24,1003,60+,4,5
2023-03-24,1004,18-59,4,7
2023-03-24,1004,18-59,6,5
2023-03-24,1054,18-59,5,7
2023-03-24,1055,60+,4,7
2023-03-24,1056,18-59,4,9
2023-03-24,1056,18-59,5,5
2023-03-24,1056,60+,4,5
2023-03-24,1056,60+,5,12
2023-03-24,1058,18-59,4,7
2023-03-24,1058,60+,5,11
2023-03-24,1059,18-59,4,5
2023-03-24,1059,60+,4,6
2023-03-24,1060,60+,4,6
2023-03-24,1060,60+,5,5
2023-03-24,1062,18-59,4,6
2023-03-24,1062,18-59,5,9
2023-03-24,1062,60+,4,5
2023-03-24,1062,60+,5,7
2023-03-24,2000,18-59,3,13
2023-03-24,2000,18-59,4,23
2023-03-24,2000,18-59,5,34
2023-03-24,2000,60+,4,17
2023-03-24,2000,60+,5,44
2023-03-24,2000,60+,6,14
2023-03-24,3101,18-59,4,5
2023-03-24,3102,18-59,2,6
2023-03-24,3102,18-59,3,8
2023-03-24,3102,18-59,4,24
2023-03-24,3102,18-59,5,5
2023-03-24,3102,60+,3,7
2023-03-24,3102,60+,4,34
2023-03-24,3102,60+,5,43
2023-03-24,3103,05-11,3,5
2023-03-24,3103,18-59,5,7
2023-03-24,3151,18-59,4,10
2023-03-24,3159,18-59,4,5
2023-03-24,3159,60+,4,5
2023-03-24,3241,18-59,6,5
2023-03-24,3241,60+,4,9
2023-03-24,3252,60+,5,6
2023-03-24,3257,60+,4,5
2023-03-24,3352,60+,4,5
2023-03-24,3355,60+,3,5
2023-03-24,3355,60+,4,6
2023-03-24,3355,60+,5,6
2023-03-24,3356,18-59,4,9
2023-03-24,3356,60+,4,19
2023-03-24,3356,60+,5,14
2023-03-24,3357,60+,5,9
2023-03-24,3359,60+,4,6
2023-03-24,3359,60+,5,7
2023-03-24,3361,12-17,5,5
2023-03-24,3403,18-59,2,5
2023-03-24,3405,18-59,5,7
2023-03-24,3451,60+,4,6
2023-03-24,3452,18-59,3,5
2023-03-24,3453,60+,4,6
2023-03-24,3454,18-59,4,5
2023-03-24,3454,60+,4,5
2023-03-24,3458,12-17,2,5
2023-03-24,3458,18-59,5,5
2023-03-24,3458,60+,5,6
2023-03-24,4011,60+,4,12
2023-03-24,4011,60+,5,15
2023-03-24,5111,18-59,4,8
2023-03-24,5111,60+,6,5
2023-03-24,5112,60+,4,5
2023-03-24,5112,60+,6,5
2023-03-24,5113,18-59,3,5
2023-03-24,5113,18-59,4,7
2023-03-24,5113,18-59,5,6
2023-03-24,5113,60+,4,5
2023-03-24,5113,60+,5,16
2023-03-24,5114,18-59,4,7
2023-03-24,5117,60+,4,5
2023-03-24,5119,18-59,1,5
2023-03-24,5119,60+,4,5
2023-03-24,5120,18-59,4,8
2023-03-24,5120,60+,5,24
2023-03-24,5122,18-59,4,5
2023-03-24,5122,60+,4,10
2023-03-24,5124,18-59,5,5
2023-03-24,5124,60+,4,7
2023-03-24,5124,60+,5,12
2023-03-24,5158,18-59,4,5
2023-03-24,5162,60+,5,6
2023-03-24,5166,18-59,4,6
2023-03-24,5166,18-59,5,6
2023-03-24,5170,18-59,5,6
2023-03-24,5170,60+,6,10
2023-03-24,5314,60+,4,5
2023-03-24,5315,12-17,3,5
2023-03-24,5315,18-59,4,25
2023-03-24,5315,18-59,5,9
2023-03-24,5315,18-59,6,14
2023-03-24,5315,60+,4,16
2023-03-24,5315,60+,5,17
2023-03-24,5315,60+,6,13
2023-03-24,5334,18-59,5,8
2023-03-24,5334,18-59,6,8
2023-03-24,5334,60+,6,9
2023-03-24,5370,18-59,3,6
2023-03-24,5374,18-59,3,5
2023-03-24,5378,18-59,5,5
2023-03-24,5378,60+,4,5
2023-03-24,5378,60+,5,9
2023-03-24,5382,12-17,4,5
2023-03-24,5382,18-59,2,5
2023-03-24,5382,18-59,4,12
2023-03-24,5382,60+,5,7
2023-03-24,5512,18-59,4,6
2023-03-24,5512,18-59,5,6
2023-03-24,5513,18-59,4,8
2023-03-24,5513,18-59,5,7
2023-03-24,5513,60+,4,9
2023-03-24,5513,60+,5,6
2023-03-24,5558,18-59,4,5
2023-03-24,5562,18-59,5,6
2023-03-24,5562,60+,3,8
2023-03-24,5562,60+,5,8
2023-03-24,5566,60+,4,5
2023-03-24,5754,18-59,4,12
2023-03-24,5754,60+,4,7
2023-03-24,5754,60+,5,12
2023-03-24,5762,18-59,4,7
2023-03-24,5762,60+,4,8
2023-03-24,5762,60+,5,5
2023-03-24,5774,18-59,4,6
2023-03-24,5911,18-59,5,5
2023-03-24,5911,60+,4,10
2023-03-24,5911,60+,5,9
2023-03-24,5913,05-11,4,5
2023-03-24,5913,12-17,4,5
2023-03-24,5914,60+,5,8
2023-03-24,5915,18-59,5,6
2023-03-24,5954,60+,5,6
2023-03-24,5954,60+,6,5
2023-03-24,5958,18-59,4,9
2023-03-24,5958,60+,4,11
2023-03-24,5958,60+,5,15
2023-03-24,5958,60+,6,5
2023-03-24,5962,60+,5,12
2023-03-24,5978,18-59,3,5
2023-03-24,5978,18-59,4,5
2023-03-24,5978,60+,4,5
2023-03-24,5978,60+,5,7
2023-03-24,6412,18-59,2,5
2023-03-24,6412,18-59,4,16
2023-03-24,6412,18-59,5,6
2023-03-24,6412,60+,4,10
2023-03-24,6412,60+,5,11
2023-03-24,6414,12-17,4,5
2023-03-24,6414,18-59,1,7
2023-03-24,6414,18-59,2,7
2023-03-24,6414,18-59,4,9
2023-03-24,6433,60+,5,6
2023-03-24,6434,18-59,3,5
2023-03-24,6435,18-59,4,10
2023-03-24,6435,18-59,5,5
2023-03-24,6435,60+,4,7
2023-03-24,6435,60+,5,6
2023-03-24,6436,60+,4,6
2023-03-24,6436,60+,5,5
2023-03-24,6438,18-59,4,5
2023-03-24,6438,60+,4,9
2023-03-24,6438,60+,5,9
2023-03-24,6438,60+,6,5
2023-03-24,6440,18-59,4,26
2023-03-24,6440,18-59,5,11
2023-03-24,6531,18-59,1,12
2023-03-24,6531,60+,4,9
2023-03-24,6533,18-59,5,5
2023-03-24,6533,60+,5,8
2023-03-24,6534,60+,4,6
2023-03-24,6611,18-59,4,12
2023-03-24,6611,60+,5,9
2023-03-24,6631,05-11,1,6
2023-03-24,6631,18-59,1,5
2023-03-24,6631,18-59,4,5
2023-03-24,6631,60+,4,6
