datum,ags,intensivbetten_frei,intensivbetten_belegt
2021-12-20,01001,7.0,35.0
2021-12-20,01002,33.0,109.0
2021-12-20,01003,14.0,115.0
2021-12-20,01004,3.0,22.0
2021-12-20,01051,1.0,34.0
2021-12-20,01053,4.0,14.0
2021-12-20,01054,3.0,21.0
2021-12-20,01055,4.0,44.0
2021-12-20,01056,4.0,27.0
2021-12-20,01057,6.0,6.0
2021-12-20,01058,15.0,27.0
2021-12-20,01059,0.0,24.0
2021-12-20,01060,22.0,58.0
2021-12-20,01061,10.0,33.0
2021-12-20,01062,5.0,25.0
2021-12-20,02000,122.0,454.0
2021-12-20,03101,36.0,93.0
2021-12-20,03102,3.0,25.0
2021-12-20,03103,6.0,25.0
2021-12-20,03151,0.0,12.0
2021-12-20,03153,2.0,20.0
2021-12-20,03154,2.0,15.0
2021-12-20,03155,4.0,17.0
2021-12-20,03157,1.0,13.0
2021-12-20,03158,6.0,10.0
2021-12-20,03159,15.0,123.0
2021-12-20,03241,54.0,335.0
2021-12-20,03251,4.0,12.0
2021-12-20,03252,8.0,66.0
2021-12-20,03254,13.0,63.0
2021-12-20,03255,3.0,6.0
2021-12-20,03256,2.0,10.0
2021-12-20,03257,0.0,25.0
2021-12-20,03351,6.0,27.0
2021-12-20,03352,4.0,8.0
2021-12-20,03353,4.0,28.0
2021-12-20,03354,1.0,5.0
2021-12-20,03355,6.0,37.0
2021-12-20,03356,3.0,8.0
2021-12-20,03357,7.0,27.0
2021-12-20,03358,4.0,16.0
2021-12-20,03359,7.0,24.0
2021-12-20,03360,7.0,69.0
2021-12-20,03361,3.0,12.0
2021-12-20,03401,3.0,13.0
2021-12-20,03402,2.0,15.0
2021-12-20,03403,14.0,102.0
2021-12-20,03404,24.0,97.0
2021-12-20,03405,8.0,22.0
2021-12-20,03451,4.0,28.0
2021-12-20,03452,6.0,31.0
2021-12-20,03453,7.0,17.0
2021-12-20,03454,16.0,73.0
2021-12-20,03455,4.0,27.0
2021-12-20,03456,3.0,24.0
2021-12-20,03457,11.0,18.0
2021-12-20,03458,0.0,10.0
2021-12-20,03459,26.0,61.0
2021-12-20,03460,14.0,22.0
2021-12-20,03461,2.0,10.0
2021-12-20,03462,1.0,7.0
2021-12-20,04011,8.0,141.0
2021-12-20,04012,4.0,40.0
2021-12-20,05111,15.0,277.0
2021-12-20,05112,25.0,158.0
2021-12-20,05113,40.0,331.0
2021-12-20,05114,16.0,69.0
2021-12-20,05116,8.0,81.0
2021-12-20,05117,2.0,34.0
2021-12-20,05119,13.0,55.0
