date,ags,age_group,stage,new
2022-08-27,01001,05-11,2,5
2022-08-27,01001,12-17,3,6
2022-08-27,01001,18-59,1,5
2022-08-27,01001,18-59,3,12
2022-08-27,01001,18-59,4,5
2022-08-27,01001,60+,4,15
2022-08-27,01002,12-17,2,5
2022-08-27,01002,12-17,4,6
2022-08-27,01002,18-59,3,12
2022-08-27,01002,18-59,4,15
2022-08-27,01002,18-59,5,6
2022-08-27,01002,60+,4,14
2022-08-27,01003,05-11,2,5
2022-08-27,01003,18-59,3,15
2022-08-27,01003,18-59,4,18
2022-08-27,01003,60+,4,9
2022-08-27,01004,18-59,3,6
2022-08-27,01004,18-59,4,12
2022-08-27,01004,60+,4,16
2022-08-27,01051,18-59,4,6
2022-08-27,01051,60+,4,8
2022-08-27,01053,18-59,4,6
2022-08-27,01053,60+,4,17
2022-08-27,01054,12-17,4,5
2022-08-27,01054,60+,4,8
2022-08-27,01055,18-59,4,5
2022-08-27,01055,18-59,5,5
2022-08-27,01055,60+,4,8
2022-08-27,01056,05-11,1,5
2022-08-27,01056,18-59,3,5
2022-08-27,01056,18-59,4,10
2022-08-27,01056,60+,4,25
2022-08-27,01057,18-59,3,60
2022-08-27,01057,18-59,4,63
2022-08-27,01057,60+,4,13
2022-08-27,01058,05-11,2,5
2022-08-27,01058,18-59,3,8
2022-08-27,01058,18-59,4,13
2022-08-27,01058,60+,4,13
2022-08-27,01058,60+,5,5
2022-08-27,01059,60+,4,11
2022-08-27,01060,18-59,4,10
2022-08-27,01060,18-59,5,7
2022-08-27,01060,60+,4,23
2022-08-27,01061,18-59,3,6
2022-08-27,01061,18-59,5,6
2022-08-27,01061,60+,4,9
2022-08-27,01062,12-17,3,5
2022-08-27,01062,18-59,3,5
2022-08-27,01062,18-59,4,17
2022-08-27,01062,60+,4,14
2022-08-27,02000,12-17,2,5
2022-08-27,02000,12-17,3,8
2022-08-27,02000,18-59,3,18
2022-08-27,02000,60+,3,20
2022-08-27,02000,60+,4,21
2022-08-27,03153,18-59,4,6
2022-08-27,03153,60+,3,5
2022-08-27,03153,60+,4,22
2022-08-27,03155,60+,4,5
2022-08-27,03159,18-59,4,6
2022-08-27,03241,05-11,3,5
2022-08-27,03241,18-59,3,7
2022-08-27,03241,18-59,4,11
2022-08-27,03241,60+,4,24
2022-08-27,03251,60+,4,5
2022-08-27,03254,60+,4,5
2022-08-27,03351,18-59,4,5
2022-08-27,03351,60+,4,9
2022-08-27,03352,12-17,4,5
2022-08-27,03352,18-59,4,5
2022-08-27,03352,60+,4,10
2022-08-27,03353,60+,4,14
2022-08-27,03358,18-59,4,7
2022-08-27,03359,18-59,3,8
2022-08-27,03359,60+,4,9
2022-08-27,03361,60+,2,5
2022-08-27,03361,60+,4,9
2022-08-27,03401,12-17,3,6
2022-08-27,03401,18-59,1,11
2022-08-27,03401,18-59,2,8
2022-08-27,03401,18-59,3,6
2022-08-27,03401,18-59,4,10
2022-08-27,03403,60+,4,6
2022-08-27,03404,18-59,3,6
2022-08-27,03404,18-59,4,5
2022-08-27,03404,60+,4,6
2022-08-27,03405,18-59,4,7
2022-08-27,03405,60+,4,6
2022-08-27,03456,05-11,1,5
2022-08-27,03456,18-59,4,8
2022-08-27,04011,05-11,1,5
2022-08-27,04011,12-17,2,6
2022-08-27,04011,18-59,1,5
2022-08-27,04011,18-59,2,7
2022-08-27,04011,18-59,3,32
2022-08-27,04011,18-59,4,38
2022-08-27,04011,60+,3,8
2022-08-27,04011,60+,4,24
2022-08-27,04011,60+,5,5
2022-08-27,05111,18-59,2,19
2022-08-27,05111,18-59,3,5
2022-08-27,05111,60+,2,9
2022-08-27,05111,60+,3,11
2022-08-27,05111,60+,4,19
