date,ags,age_group,stage,new
2023-02-02,1001,18-59,4,5
2023-02-02,1001,60+,4,5
2023-02-02,1001,60+,5,7
2023-02-02,1002,18-59,3,7
2023-02-02,1002,18-59,4,40
2023-02-02,1002,18-59,5,5
2023-02-02,1002,60+,3,6
2023-02-02,1002,60+,4,20
2023-02-02,1002,60+,5,30
2023-02-02,1003,18-59,3,5
2023-02-02,1003,18-59,4,19
2023-02-02,1003,60+,4,10
2023-02-02,1003,60+,5,13
2023-02-02,1004,60+,4,6
2023-02-02,1004,60+,5,5
2023-02-02,1051,18-59,4,15
2023-02-02,1051,60+,4,12
2023-02-02,1051,60+,5,36
2023-02-02,1053,18-59,3,8
2023-02-02,1053,18-59,4,16
2023-02-02,1053,18-59,5,5
2023-02-02,1053,60+,4,13
2023-02-02,1053,60+,5,21
2023-02-02,1054,18-59,4,11
2023-02-02,1054,60+,4,13
2023-02-02,1054,60+,5,31
2023-02-02,1055,18-59,2,6
2023-02-02,1055,18-59,3,6
2023-02-02,1055,18-59,4,27
2023-02-02,1055,18-59,5,6
2023-02-02,1055,60+,4,19
2023-02-02,1055,60+,5,21
2023-02-02,1056,18-59,4,32
2023-02-02,1056,18-59,5,9
2023-02-02,1056,60+,4,16
2023-02-02,1056,60+,5,42
2023-02-02,1057,18-59,4,19
2023-02-02,1057,60+,3,5
2023-02-02,1057,60+,4,17
2023-02-02,1057,60+,5,28
2023-02-02,1058,12-17,1,5
2023-02-02,1058,18-59,3,6
2023-02-02,1058,18-59,4,16
2023-02-02,1058,60+,3,6
2023-02-02,1058,60+,4,25
2023-02-02,1058,60+,5,32
2023-02-02,1059,18-59,4,10
2023-02-02,1059,60+,4,31
2023-02-02,1059,60+,5,26
2023-02-02,1060,18-59,3,8
2023-02-02,1060,18-59,4,24
2023-02-02,1060,18-59,5,7
2023-02-02,1060,60+,4,23
2023-02-02,1060,60+,5,22
2023-02-02,1061,18-59,4,11
2023-02-02,1061,60+,4,16
2023-02-02,1061,60+,5,16
2023-02-02,1062,18-59,4,12
2023-02-02,1062,18-59,5,6
2023-02-02,1062,60+,4,15
2023-02-02,1062,60+,5,15
2023-02-02,2000,05-11,2,10
2023-02-02,2000,18-59,3,22
2023-02-02,2000,18-59,4,112
2023-02-02,2000,18-59,5,24
2023-02-02,2000,60+,3,8
2023-02-02,2000,60+,4,85
2023-02-02,2000,60+,5,131
2023-02-02,3101,18-59,4,11
2023-02-02,3101,60+,4,23
2023-02-02,3101,60+,5,37
2023-02-02,3102,60+,4,6
2023-02-02,3102,60+,5,12
2023-02-02,3153,60+,4,8
2023-02-02,3153,60+,5,7
2023-02-02,3154,18-59,4,8
2023-02-02,3154,18-59,5,5
2023-02-02,3154,60+,4,9
2023-02-02,3154,60+,5,12
2023-02-02,3155,60+,4,6
2023-02-02,3157,18-59,3,6
2023-02-02,3157,18-59,4,24
2023-02-02,3157,18-59,5,5
2023-02-02,3157,60+,4,30
2023-02-02,3157,60+,5,54
2023-02-02,3158,18-59,4,10
2023-02-02,3158,60+,4,16
2023-02-02,3158,60+,5,11
2023-02-02,3159,18-59,4,16
2023-02-02,3159,60+,4,24
2023-02-02,3159,60+,5,18
2023-02-02,3241,05-11,1,5
2023-02-02,3241,05-11,4,5
2023-02-02,3241,18-59,4,40
2023-02-02,3241,18-59,5,19
2023-02-02,3241,60+,1,5
2023-02-02,3241,60+,4,56
2023-02-02,3241,60+,5,72
2023-02-02,3251,18-59,4,19
2023-02-02,3251,60+,4,19
2023-02-02,3251,60+,5,11
2023-02-02,3252,18-59,4,6
2023-02-02,3252,60+,4,7
2023-02-02,3252,60+,5,6
2023-02-02,3254,18-59,4,14
2023-02-02,3254,18-59,5,9
2023-02-02,3254,60+,4,12
2023-02-02,3254,60+,5,14
2023-02-02,3256,18-59,4,6
2023-02-02,3256,18-59,5,30
2023-02-02,3256,60+,4,11
2023-02-02,3257,18-59,2,5
2023-02-02,3257,18-59,4,26
2023-02-02,3257,60+,3,5
2023-02-02,3257,60+,4,29
2023-02-02,3257,60+,5,34
2023-02-02,3351,18-59,4,12
