datum,ags,intensivbetten_frei,intensivbetten_belegt
2021-07-25,01001,10.0,31.0
2021-07-25,01002,51.0,113.0
2021-07-25,01003,29.0,103.0
2021-07-25,01004,3.0,22.0
2021-07-25,01051,2.0,36.0
2021-07-25,01053,4.0,12.0
2021-07-25,01054,6.0,19.0
2021-07-25,01055,9.0,36.0
2021-07-25,01056,8.0,28.0
2021-07-25,01057,2.0,10.0
2021-07-25,01058,18.0,22.0
2021-07-25,01059,3.0,21.0
2021-07-25,01060,28.0,52.0
2021-07-25,01061,9.0,34.0
2021-07-25,01062,9.0,19.0
2021-07-25,02000,117.0,499.0
2021-07-25,03101,32.0,100.0
2021-07-25,03102,9.0,20.0
2021-07-25,03103,12.0,21.0
2021-07-25,03151,0.0,13.0
2021-07-25,03153,5.0,24.0
2021-07-25,03154,1.0,15.0
2021-07-25,03155,5.0,15.0
2021-07-25,03157,3.0,12.0
2021-07-25,03158,4.0,12.0
2021-07-25,03159,18.0,123.0
2021-07-25,03241,30.0,164.0
2021-07-25,03251,6.0,10.0
2021-07-25,03252,21.0,52.0
2021-07-25,03254,26.0,49.0
2021-07-25,03255,1.0,8.0
2021-07-25,03256,7.0,17.0
2021-07-25,03257,9.0,18.0
2021-07-25,03351,14.0,19.0
2021-07-25,03352,4.0,8.0
2021-07-25,03353,4.0,30.0
2021-07-25,03354,0.0,8.0
2021-07-25,03355,16.0,30.0
2021-07-25,03356,11.0,7.0
2021-07-25,03357,4.0,26.0
2021-07-25,03358,6.0,13.0
2021-07-25,03359,8.0,23.0
2021-07-25,03360,5.0,71.0
2021-07-25,03361,4.0,11.0
2021-07-25,03401,2.0,14.0
2021-07-25,03402,2.0,11.0
2021-07-25,03403,14.0,103.0
2021-07-25,03404,11.0,96.0
2021-07-25,03405,9.0,28.0
2021-07-25,03451,5.0,28.0
2021-07-25,03452,9.0,26.0
2021-07-25,03453,7.0,16.0
2021-07-25,03454,25.0,62.0
2021-07-25,03455,8.0,25.0
2021-07-25,03456,5.0,20.0
2021-07-25,03457,9.0,20.0
2021-07-25,03458,1.0,4.0
2021-07-25,03459,16.0,78.0
2021-07-25,03460,11.0,23.0
2021-07-25,03461,7.0,8.0
2021-07-25,03462,2.0,6.0
2021-07-25,04011,11.0,125.0
2021-07-25,04012,26.0,31.0
2021-07-25,05111,29.0,266.0
2021-07-25,05112,40.0,140.0
2021-07-25,05113,40.0,323.0
2021-07-25,05114,20.0,66.0
2021-07-25,05116,15.0,76.0
2021-07-25,05117,3.0,33.0
2021-07-25,05119,21.0,58.0
2021-07-25,05120,4.0,22.0
2021-07-25,05122,14.0,62.0
2021-07-25,05124,35.0,113.0
2021-07-25,05154,14.0,57.0
2021-07-25,05158,16.0,53.0
2021-07-25,05162,30.0,71.0
2021-07-25,05166,12.0,23.0
2021-07-25,05170,32.0,96.0
2021-07-25,05314,21.0,258.0
2021-07-25,05315,32.0,378.0
2021-07-25,05316,24.0,45.0
2021-07-25,05334,29.0,246.0
2021-07-25,05358,7.0,55.0
2021-07-25,05362,14.0,44.0
2021-07-25,05366,6.0,22.0
2021-07-25,05370,1.0,36.0
2021-07-25,05374,19.0,64.0
2021-07-25,05378,9.0,33.0
2021-07-25,05382,18.0,68.0
2021-07-25,05512,15.0,28.0
2021-07-25,05513,26.0,69.0
2021-07-25,05515,10.0,206.0
2021-07-25,05554,26.0,47.0
2021-07-25,05558,4.0,28.0
2021-07-25,05562,54.0,171.0
2021-07-25,05566,30.0,75.0
2021-07-25,05570,16.0,30.0
2021-07-25,05711,22.0,118.0
2021-07-25,05754,16.0,38.0
2021-07-25,05758,10.0,51.0
2021-07-25,05762,5.0,30.0
2021-07-25,05766,2.0,48.0
2021-07-25,05770,44.0,171.0
2021-07-25,05774,22.0,71.0
2021-07-25,05911,22.0,165.0
2021-07-25,05913,44.0,232.0
2021-07-25,05914,11.0,76.0
2021-07-25,05915,36.0,60.0
2021-07-25,05916,8.0,55.0
2021-07-25,05954,33.0,101.0
2021-07-25,05958,46.0,56.0
2021-07-25,05962,22.0,88.0
2021-07-25,05966,16.0,12.0
2021-07-25,05970,20.0,85.0
2021-07-25,05974,20.0,67.0
2021-07-25,05978,13.0,99.0
2021-07-25,06411,23.0,71.0
2021-07-25,06412,48.0,237.0
2021-07-25,06413,15.0,91.0
2021-07-25,06414,17.0,81.0
2021-07-25,06431,15.0,27.0
2021-07-25,06432,2.0,25.0
2021-07-25,06433,0.0,21.0
2021-07-25,06434,8.0,18.0
2021-07-25,06435,8.0,73.0
2021-07-25,06436,4.0,24.0
2021-07-25,06437,2.0,124.0
2021-07-25,06438,3.0,14.0
2021-07-25,06439,3.0,12.0
2021-07-25,06440,5.0,60.0
2021-07-25,06531,36.0,189.0
2021-07-25,06532,2.0,50.0
2021-07-25,06533,12.0,40.0
2021-07-25,06534,31.0,107.0
2021-07-25,06535,6.0,20.0
2021-07-25,06611,25.0,127.0
2021-07-25,06631,26.0,67.0
2021-07-25,06632,12.0,45.0
2021-07-25,06633,17.0,16.0
2021-07-25,06634,8.0,17.0
2021-07-25,06635,18.0,65.0
2021-07-25,06636,8.0,24.0
2021-07-25,07111,19.0,86.0
2021-07-25,07131,2.0,5.0
2021-07-25,07132,6.0,10.0
2021-07-25,07133,11.0,35.0
2021-07-25,07134,2.0,16.0
2021-07-25,07135,1.0,9.0
2021-07-25,07137,5.0,29.0
2021-07-25,07138,28.0,44.0
2021-07-25,07140,10.0,6.0
2021-07-25,07141,3.0,27.0
2021-07-25,07143,7.0,24.0
2021-07-25,07211,14.0,60.0
2021-07-25,07231,5.0,19.0
2021-07-25,07232,3.0,9.0
2021-07-25,07233,5.0,11.0
2021-07-25,07235,10.0,6.0
2021-07-25,07311,5.0,8.0
2021-07-25,07312,18.0,87.0
2021-07-25,07313,13.0,14.0
2021-07-25,07314,17.0,99.0
2021-07-25,07315,19.0,89.0
2021-07-25,07316,2.0,8.0
2021-07-25,07317,6.0,10.0
2021-07-25,07318,6.0,23.0
2021-07-25,07319,9.0,43.0
2021-07-25,07320,4.0,5.0
2021-07-25,07331,4.0,4.0
2021-07-25,07332,5.0,11.0
2021-07-25,07333,6.0,6.0
2021-07-25,07334,8.0,13.0
2021-07-25,07335,3.0,7.0
2021-07-25,07336,4.0,12.0
2021-07-25,07337,0.0,11.0
2021-07-25,07339,0.0,7.0
2021-07-25,07340,9.0,0.0
2021-07-25,08111,57.0,205.0
2021-07-25,08115,12.0,39.0
2021-07-25,08116,8.0,71.0
2021-07-25,08117,10.0,34.0
2021-07-25,08118,9.0,85.0
2021-07-25,08119,3.0,52.0
2021-07-25,08121,8.0,49.0
2021-07-25,08125,11.0,40.0
2021-07-25,08126,2.0,5.0
2021-07-25,08127,9.0,41.0
2021-07-25,08128,10.0,48.0
2021-07-25,08135,3.0,17.0
2021-07-25,08136,16.0,61.0
2021-07-25,08211,3.0,19.0
2021-07-25,08212,25.0,108.0
2021-07-25,08215,2.0,45.0
2021-07-25,08216,3.0,7.0
2021-07-25,08221,37.0,215.0
2021-07-25,08222,18.0,97.0
2021-07-25,08225,9.0,14.0
2021-07-25,08226,2.0,38.0
2021-07-25,08231,16.0,47.0
2021-07-25,08235,7.0,16.0
2021-07-25,08236,2.0,10.0
2021-07-25,08237,6.0,8.0
2021-07-25,08311,43.0,177.0
2021-07-25,08315,1.0,13.0
2021-07-25,08316,3.0,87.0
2021-07-25,08317,24.0,67.0
2021-07-25,08325,3.0,6.0
2021-07-25,08326,12.0,45.0
2021-07-25,08327,4.0,6.0
2021-07-25,08335,25.0,67.0
2021-07-25,08336,4.0,21.0
2021-07-25,08337,4.0,6.0
2021-07-25,08415,18.0,26.0
2021-07-25,08416,9.0,89.0
2021-07-25,08417,3.0,23.0
2021-07-25,08421,38.0,97.0
2021-07-25,08425,3.0,13.0
2021-07-25,08426,2.0,10.0
2021-07-25,08435,12.0,51.0
2021-07-25,08436,13.0,54.0
2021-07-25,08437,5.0,9.0
2021-07-25,09161,9.0,39.0
2021-07-25,09162,71.0,466.0
2021-07-25,09163,7.0,35.0
2021-07-25,09171,4.0,22.0
2021-07-25,09172,1.0,17.0
2021-07-25,09173,3.0,21.0
2021-07-25,09174,2.0,24.0
2021-07-25,09175,1.0,17.0
2021-07-25,09176,5.0,43.0
2021-07-25,09177,2.0,17.0
2021-07-25,09178,1.0,11.0
2021-07-25,09179,2.0,10.0
2021-07-25,09180,17.0,50.0
2021-07-25,09181,5.0,8.0
2021-07-25,09182,3.0,23.0
2021-07-25,09183,1.0,13.0
2021-07-25,09184,3.0,7.0
2021-07-25,09185,15.0,19.0
2021-07-25,09186,1.0,7.0
2021-07-25,09187,10.0,55.0
2021-07-25,09188,8.0,45.0
2021-07-25,09189,8.0,51.0
2021-07-25,09190,9.0,15.0
2021-07-25,09261,5.0,50.0
2021-07-25,09262,10.0,36.0
2021-07-25,09263,8.0,19.0
2021-07-25,09271,3.0,28.0
2021-07-25,09272,9.0,9.0
2021-07-25,09273,1.0,10.0
2021-07-25,09274,0.0,6.0
2021-07-25,09275,3.0,19.0
2021-07-25,09276,4.0,9.0
2021-07-25,09277,0.0,14.0
2021-07-25,09278,6.0,7.0
2021-07-25,09279,3.0,21.0
2021-07-25,09361,9.0,31.0
2021-07-25,09362,34.0,177.0
2021-07-25,09363,9.0,54.0
2021-07-25,09371,4.0,6.0
2021-07-25,09372,6.0,8.0
2021-07-25,09373,7.0,13.0
2021-07-25,09375,1.0,11.0
2021-07-25,09376,8.0,14.0
2021-07-25,09377,11.0,7.0
2021-07-25,09461,12.0,38.0
2021-07-25,09462,4.0,56.0
2021-07-25,09463,12.0,29.0
2021-07-25,09464,14.0,24.0
2021-07-25,09471,8.0,8.0
2021-07-25,09472,4.0,3.0
2021-07-25,09474,4.0,10.0
2021-07-25,09475,6.0,10.0
2021-07-25,09476,5.0,10.0
2021-07-25,09477,5.0,22.0
2021-07-25,09478,7.0,38.0
2021-07-25,09479,10.0,10.0
2021-07-25,09561,4.0,19.0
2021-07-25,09562,7.0,120.0
2021-07-25,09563,8.0,35.0
2021-07-25,09564,34.0,149.0
2021-07-25,09565,0.0,3.0
2021-07-25,09571,3.0,19.0
2021-07-25,09572,0.0,3.0
2021-07-25,09574,4.0,22.0
2021-07-25,09575,8.0,40.0
2021-07-25,09576,2.0,4.0
2021-07-25,09577,6.0,10.0
2021-07-25,09661,4.0,53.0
2021-07-25,09662,6.0,63.0
2021-07-25,09663,26.0,108.0
2021-07-25,09671,2.0,6.0
2021-07-25,09672,7.0,34.0
2021-07-25,09673,23.0,116.0
2021-07-25,09674,3.0,6.0
2021-07-25,09675,1.0,5.0
2021-07-25,09676,3.0,7.0
2021-07-25,09677,1.0,5.0
2021-07-25,09678,1.0,5.0
2021-07-25,09679,4.0,5.0
2021-07-25,09761,20.0,119.0
2021-07-25,09762,1.0,13.0
2021-07-25,09763,5.0,39.0
2021-07-25,09764,5.0,25.0
2021-07-25,09771,3.0,13.0
2021-07-25,09772,6.0,6.0
2021-07-25,09773,6.0,8.0
2021-07-25,09774,12.0,32.0
2021-07-25,09775,5.0,14.0
2021-07-25,09776,6.0,6.0
2021-07-25,09777,3.0,11.0
2021-07-25,09778,9.0,5.0
2021-07-25,09779,3.0,18.0
2021-07-25,09780,4.0,14.0
2021-07-25,10041,31.0,144.0
2021-07-25,10042,4.0,8.0
2021-07-25,10043,6.0,29.0
2021-07-25,10044,16.0,43.0
2021-07-25,10045,20.0,176.0
2021-07-25,10046,1.0,11.0
2021-07-25,11000,213.0,962.0
2021-07-25,12051,18.0,53.0
2021-07-25,12052,12.0,76.0
2021-07-25,12053,3.0,9.0
2021-07-25,12054,14.0,55.0
2021-07-25,12060,7.0,56.0
2021-07-25,12061,8.0,29.0
2021-07-25,12062,6.0,6.0
2021-07-25,12063,6.0,14.0
2021-07-25,12064,6.0,17.0
2021-07-25,12065,9.0,27.0
2021-07-25,12066,4.0,12.0
2021-07-25,12067,19.0,18.0
2021-07-25,12068,13.0,36.0
2021-07-25,12069,6.0,40.0
2021-07-25,12070,4.0,10.0
2021-07-25,12071,5.0,15.0
2021-07-25,12072,2.0,10.0
2021-07-25,12073,7.0,18.0
2021-07-25,13003,22.0,88.0
2021-07-25,13004,13.0,59.0
