datum,ags,intensivbetten_frei,intensivbetten_belegt
2024-01-09,01001,5.0,38.0
2024-01-09,01002,9.0,123.0
2024-01-09,01003,5.0,100.0
2024-01-09,01004,4.0,21.0
2024-01-09,01051,4.0,36.0
2024-01-09,01053,2.0,5.0
2024-01-09,01054,3.0,17.0
2024-01-09,01055,0.0,24.0
2024-01-09,01056,2.0,25.0
2024-01-09,01057,0.0,8.0
2024-01-09,01058,9.0,21.0
2024-01-09,01059,0.0,24.0
2024-01-09,01060,12.0,65.0
2024-01-09,01061,11.0,32.0
2024-01-09,01062,5.0,21.0
2024-01-09,02000,75.0,330.0
2024-01-09,03101,26.0,100.0
2024-01-09,03102,0.0,6.0
2024-01-09,03103,10.0,22.0
2024-01-09,03151,1.0,5.0
2024-01-09,03153,0.0,10.0
2024-01-09,03155,1.0,7.0
2024-01-09,03157,2.0,6.0
2024-01-09,03158,6.0,10.0
2024-01-09,03159,13.0,106.0
2024-01-09,03241,18.0,80.0
2024-01-09,03251,0.0,15.0
2024-01-09,03252,5.0,35.0
2024-01-09,03254,15.0,68.0
2024-01-09,03256,1.0,15.0
2024-01-09,03257,0.0,11.0
2024-01-09,03351,7.0,21.0
2024-01-09,03352,0.0,5.0
2024-01-09,03353,6.0,22.0
2024-01-09,03355,5.0,24.0
2024-01-09,03356,0.0,4.0
2024-01-09,03357,5.0,25.0
2024-01-09,03358,3.0,9.0
2024-01-09,03359,3.0,8.0
2024-01-09,03360,3.0,51.0
2024-01-09,03361,4.0,13.0
2024-01-09,03402,2.0,8.0
2024-01-09,03403,5.0,101.0
2024-01-09,03404,9.0,76.0
2024-01-09,03405,9.0,9.0
2024-01-09,03451,4.0,25.0
2024-01-09,03452,5.0,15.0
2024-01-09,03453,3.0,20.0
2024-01-09,03454,18.0,55.0
2024-01-09,03455,3.0,15.0
2024-01-09,03456,0.0,20.0
2024-01-09,03457,8.0,9.0
2024-01-09,03459,17.0,63.0
2024-01-09,03460,3.0,30.0
2024-01-09,03461,2.0,3.0
2024-01-09,04011,1.0,90.0
2024-01-09,04012,15.0,37.0
2024-01-09,05111,17.0,162.0
2024-01-09,05112,6.0,90.0
2024-01-09,05113,8.0,130.0
2024-01-09,05114,6.0,56.0
2024-01-09,05116,8.0,74.0
2024-01-09,05117,1.0,31.0
2024-01-09,05119,10.0,59.0
2024-01-09,05120,7.0,11.0
2024-01-09,05122,6.0,62.0
2024-01-09,05124,12.0,94.0
2024-01-09,05154,14.0,31.0
2024-01-09,05158,4.0,31.0
2024-01-09,05162,3.0,15.0
2024-01-09,05166,10.0,27.0
2024-01-09,05170,18.0,70.0
2024-01-09,05314,13.0,207.0
2024-01-09,05315,21.0,162.0
2024-01-09,05316,7.0,36.0
2024-01-09,05334,10.0,231.0
2024-01-09,05358,5.0,37.0
2024-01-09,05362,7.0,52.0
2024-01-09,05366,0.0,26.0
2024-01-09,05370,2.0,30.0
2024-01-09,05374,7.0,16.0
2024-01-09,05378,8.0,24.0
2024-01-09,05382,5.0,31.0
2024-01-09,05513,22.0,64.0
2024-01-09,05515,31.0,130.0
2024-01-09,05554,23.0,39.0
2024-01-09,05558,6.0,31.0
2024-01-09,05562,44.0,170.0
2024-01-09,05566,11.0,38.0
2024-01-09,05570,6.0,25.0
2024-01-09,05711,15.0,101.0
2024-01-09,05754,1.0,5.0
2024-01-09,05758,6.0,30.0
2024-01-09,05762,4.0,34.0
2024-01-09,05766,2.0,48.0
2024-01-09,05770,18.0,138.0
2024-01-09,05774,8.0,50.0
2024-01-09,05911,17.0,143.0
2024-01-09,05913,18.0,204.0
2024-01-09,05914,12.0,29.0
2024-01-09,05915,22.0,44.0
2024-01-09,05916,5.0,59.0
2024-01-09,05954,27.0,55.0
2024-01-09,05958,6.0,58.0
2024-01-09,05962,16.0,72.0
2024-01-09,05966,7.0,5.0
2024-01-09,05970,3.0,81.0
2024-01-09,05974,20.0,59.0
2024-01-09,05978,11.0,82.0
2024-01-09,06411,23.0,76.0
2024-01-09,06412,23.0,195.0
2024-01-09,06414,8.0,23.0
2024-01-09,06431,4.0,23.0
2024-01-09,06432,4.0,16.0
2024-01-09,06433,0.0,14.0
2024-01-09,06434,1.0,21.0
2024-01-09,06435,10.0,45.0
2024-01-09,06436,0.0,23.0
2024-01-09,06437,0.0,129.0
2024-01-09,06438,3.0,19.0
2024-01-09,06439,1.0,16.0
2024-01-09,06440,4.0,36.0
2024-01-09,06531,14.0,184.0
2024-01-09,06532,1.0,19.0
2024-01-09,06533,7.0,38.0
2024-01-09,06534,0.0,70.0
2024-01-09,06535,4.0,20.0
2024-01-09,06611,7.0,108.0
2024-01-09,06631,14.0,66.0
2024-01-09,06632,5.0,20.0
2024-01-09,06633,5.0,15.0
2024-01-09,06634,4.0,18.0
2024-01-09,06635,7.0,57.0
2024-01-09,06636,13.0,17.0
2024-01-09,07111,20.0,61.0
2024-01-09,07131,3.0,7.0
2024-01-09,07132,5.0,5.0
2024-01-09,07133,12.0,34.0
2024-01-09,07134,6.0,13.0
2024-01-09,07135,0.0,4.0
2024-01-09,07137,1.0,31.0
2024-01-09,07138,5.0,36.0
2024-01-09,07140,0.0,3.0
2024-01-09,07141,0.0,25.0
2024-01-09,07143,6.0,25.0
2024-01-09,07211,11.0,39.0
2024-01-09,07231,5.0,17.0
2024-01-09,07232,6.0,2.0
2024-01-09,07233,0.0,10.0
2024-01-09,07235,1.0,5.0
2024-01-09,07311,1.0,9.0
2024-01-09,07312,9.0,99.0
2024-01-09,07313,6.0,17.0
2024-01-09,07314,18.0,72.0
2024-01-09,07315,4.0,67.0
2024-01-09,07316,0.0,17.0
2024-01-09,07317,12.0,4.0
2024-01-09,07318,2.0,24.0
2024-01-09,07319,13.0,39.0
2024-01-09,07320,2.0,8.0
2024-01-09,07331,0.0,7.0
2024-01-09,07332,3.0,12.0
2024-01-09,07333,0.0,12.0
2024-01-09,07334,6.0,17.0
2024-01-09,07335,3.0,7.0
2024-01-09,07336,1.0,15.0
2024-01-09,07337,3.0,10.0
2024-01-09,07340,3.0,4.0
2024-01-09,08111,30.0,174.0
2024-01-09,08115,9.0,37.0
2024-01-09,08116,11.0,62.0
2024-01-09,08117,6.0,29.0
2024-01-09,08118,2.0,4.0
