datum,ags,intensivbetten_frei,intensivbetten_belegt
2025-04-19,01001,10.0,20.0
2025-04-19,01002,25.0,110.0
2025-04-19,01003,8.0,89.0
2025-04-19,01053,2.0,8.0
2025-04-19,01054,2.0,18.0
2025-04-19,01055,3.0,21.0
2025-04-19,01056,1.0,26.0
2025-04-19,01057,4.0,6.0
2025-04-19,01058,12.0,20.0
2025-04-19,01060,22.0,55.0
2025-04-19,01061,6.0,38.0
2025-04-19,01062,3.0,25.0
2025-04-19,02000,64.0,320.0
2025-04-19,03102,3.0,3.0
2025-04-19,03103,10.0,22.0
2025-04-19,03155,7.0,1.0
2025-04-19,03157,1.0,5.0
2025-04-19,03159,15.0,106.0
2025-04-19,03241,18.0,52.0
2025-04-19,03251,2.0,10.0
2025-04-19,03252,27.0,19.0
2025-04-19,03254,17.0,30.0
2025-04-19,03256,3.0,9.0
2025-04-19,03351,8.0,20.0
2025-04-19,03353,10.0,18.0
2025-04-19,03356,0.0,4.0
2025-04-19,03357,4.0,26.0
2025-04-19,03358,6.0,7.0
2025-04-19,03359,5.0,7.0
2025-04-19,03360,4.0,50.0
2025-04-19,03361,3.0,14.0
2025-04-19,03403,12.0,58.0
2025-04-19,03404,17.0,47.0
2025-04-19,03405,0.0,10.0
2025-04-19,03451,3.0,14.0
2025-04-19,03452,5.0,15.0
2025-04-19,03453,4.0,19.0
2025-04-19,03454,20.0,45.0
2025-04-19,03455,0.0,15.0
2025-04-19,03456,1.0,19.0
2025-04-19,03457,3.0,14.0
2025-04-19,03459,14.0,51.0
2025-04-19,03460,9.0,13.0
2025-04-19,04011,6.0,109.0
2025-04-19,04012,8.0,21.0
2025-04-19,05111,25.0,147.0
2025-04-19,05112,11.0,73.0
2025-04-19,05113,17.0,116.0
2025-04-19,05114,7.0,65.0
2025-04-19,05117,8.0,28.0
2025-04-19,05119,9.0,36.0
2025-04-19,05122,6.0,64.0
2025-04-19,05124,12.0,94.0
2025-04-19,05154,13.0,19.0
2025-04-19,05158,2.0,6.0
2025-04-19,05162,5.0,11.0
2025-04-19,05166,4.0,4.0
2025-04-19,05170,15.0,36.0
2025-04-19,05314,16.0,195.0
2025-04-19,05315,20.0,147.0
2025-04-19,05316,6.0,37.0
2025-04-19,05334,8.0,93.0
2025-04-19,05358,10.0,38.0
2025-04-19,05362,5.0,27.0
2025-04-19,05366,1.0,23.0
2025-04-19,05370,9.0,21.0
2025-04-19,05374,7.0,8.0
2025-04-19,05378,14.0,22.0
2025-04-19,05382,6.0,32.0
2025-04-19,05512,7.0,4.0
2025-04-19,05513,11.0,53.0
2025-04-19,05515,34.0,124.0
2025-04-19,05554,14.0,36.0
2025-04-19,05558,13.0,22.0
2025-04-19,05562,43.0,146.0
2025-04-19,05566,15.0,36.0
2025-04-19,05570,12.0,17.0
2025-04-19,05711,25.0,73.0
2025-04-19,05754,6.0,8.0
2025-04-19,05758,8.0,28.0
2025-04-19,05762,9.0,30.0
2025-04-19,05766,2.0,48.0
2025-04-19,05770,17.0,112.0
2025-04-19,05774,10.0,24.0
2025-04-19,05911,25.0,133.0
2025-04-19,05913,39.0,195.0
2025-04-19,05914,11.0,31.0
2025-04-19,05915,15.0,31.0
2025-04-19,05916,3.0,61.0
2025-04-19,05954,15.0,62.0
2025-04-19,05958,8.0,49.0
2025-04-19,05962,24.0,38.0
2025-04-19,05970,2.0,42.0
2025-04-19,05974,18.0,47.0
2025-04-19,05978,9.0,86.0
2025-04-19,06411,30.0,32.0
2025-04-19,06412,18.0,130.0
2025-04-19,06414,21.0,45.0
2025-04-19,06431,3.0,3.0
2025-04-19,06432,2.0,8.0
2025-04-19,06434,5.0,17.0
2025-04-19,06435,10.0,32.0
2025-04-19,06436,4.0,14.0
2025-04-19,06437,0.0,129.0
2025-04-19,06438,11.0,19.0
2025-04-19,06439,0.0,9.0
2025-04-19,06440,5.0,9.0
2025-04-19,06531,19.0,163.0
2025-04-19,06533,9.0,35.0
2025-04-19,06534,8.0,67.0
2025-04-19,06535,5.0,14.0
2025-04-19,06611,12.0,95.0
2025-04-19,06631,9.0,7.0
2025-04-19,06632,14.0,12.0
2025-04-19,06633,4.0,10.0
2025-04-19,06634,2.0,10.0
2025-04-19,06635,11.0,55.0
2025-04-19,06636,9.0,9.0
2025-04-19,07111,15.0,43.0
2025-04-19,07131,0.0,8.0
2025-04-19,07133,17.0,29.0
2025-04-19,07134,4.0,18.0
2025-04-19,07137,0.0,24.0
2025-04-19,07138,5.0,4.0
2025-04-19,07140,0.0,2.0
2025-04-19,07141,3.0,17.0
2025-04-19,07143,1.0,7.0
2025-04-19,07211,6.0,31.0
2025-04-19,07231,2.0,14.0
2025-04-19,07232,3.0,5.0
2025-04-19,07233,3.0,7.0
2025-04-19,07235,2.0,4.0
2025-04-19,07311,1.0,10.0
2025-04-19,07312,7.0,42.0
2025-04-19,07313,9.0,17.0
2025-04-19,07314,2.0,50.0
2025-04-19,07315,3.0,73.0
2025-04-19,07316,0.0,17.0
2025-04-19,07317,9.0,7.0
2025-04-19,07318,3.0,24.0
2025-04-19,07319,15.0,37.0
2025-04-19,07320,11.0,2.0
2025-04-19,07332,3.0,13.0
2025-04-19,07333,3.0,3.0
2025-04-19,07334,10.0,14.0
2025-04-19,07335,4.0,6.0
2025-04-19,07336,1.0,15.0
2025-04-19,07337,2.0,5.0
2025-04-19,07340,2.0,4.0
2025-04-19,08111,32.0,178.0
2025-04-19,08115,15.0,33.0
2025-04-19,08116,11.0,20.0
2025-04-19,08117,8.0,30.0
2025-04-19,08118,2.0,4.0
2025-04-19,08119,25.0,33.0
2025-04-19,08121,28.0,30.0
2025-04-19,08125,15.0,24.0
2025-04-19,08127,14.0,4.0
2025-04-19,08128,0.0,24.0
2025-04-19,08135,9.0,7.0
2025-04-19,08136,14.0,49.0
2025-04-19,08211,6.0,13.0
2025-04-19,08212,0.0,18.0
2025-04-19,08216,5.0,5.0
2025-04-19,08221,5.0,25.0
2025-04-19,08222,14.0,89.0
2025-04-19,08225,0.0,6.0
2025-04-19,08226,6.0,28.0
2025-04-19,08231,7.0,14.0
2025-04-19,08235,6.0,10.0
2025-04-19,08237,0.0,10.0
2025-04-19,08311,35.0,162.0
2025-04-19,08315,2.0,8.0
2025-04-19,08316,1.0,8.0
2025-04-19,08317,20.0,70.0
2025-04-19,08325,1.0,10.0
2025-04-19,08326,10.0,31.0
2025-04-19,08327,1.0,7.0
2025-04-19,08335,17.0,47.0
2025-04-19,08337,3.0,5.0
2025-04-19,08415,6.0,19.0
2025-04-19,08416,5.0,76.0
2025-04-19,08417,5.0,17.0
2025-04-19,08421,14.0,81.0
2025-04-19,08425,9.0,9.0
2025-04-19,08426,0.0,6.0
2025-04-19,08435,4.0,7.0
2025-04-19,08436,17.0,33.0
2025-04-19,08437,0.0,14.0
2025-04-19,09161,2.0,30.0
2025-04-19,09162,65.0,391.0
2025-04-19,09163,23.0,25.0
2025-04-19,09171,3.0,18.0
2025-04-19,09172,1.0,17.0
2025-04-19,09173,1.0,29.0
2025-04-19,09174,3.0,9.0
2025-04-19,09175,7.0,14.0
2025-04-19,09176,2.0,32.0
2025-04-19,09177,0.0,10.0
2025-04-19,09178,1.0,13.0
2025-04-19,09179,0.0,10.0
2025-04-19,09180,10.0,44.0
2025-04-19,09181,5.0,8.0
2025-04-19,09182,2.0,10.0
2025-04-19,09183,0.0,12.0
2025-04-19,09185,20.0,14.0
2025-04-19,09186,3.0,5.0
2025-04-19,09187,13.0,17.0
2025-04-19,09188,12.0,29.0
2025-04-19,09189,4.0,48.0
2025-04-19,09190,10.0,9.0
