datum,ags,intensivbetten_frei,intensivbetten_belegt
2023-07-06,01001,6.0,38.0
2023-07-06,01002,12.0,116.0
2023-07-06,01003,23.0,91.0
2023-07-06,01004,8.0,17.0
2023-07-06,01051,6.0,34.0
2023-07-06,01053,4.0,14.0
2023-07-06,01054,6.0,14.0
2023-07-06,01055,11.0,35.0
2023-07-06,01056,3.0,27.0
2023-07-06,01057,3.0,5.0
2023-07-06,01058,12.0,26.0
2023-07-06,01059,0.0,24.0
2023-07-06,01060,21.0,56.0
2023-07-06,01061,15.0,28.0
2023-07-06,01062,7.0,19.0
2023-07-06,02000,99.0,328.0
2023-07-06,03101,35.0,97.0
2023-07-06,03102,3.0,3.0
2023-07-06,03103,11.0,20.0
2023-07-06,03151,1.0,19.0
2023-07-06,03153,1.0,19.0
2023-07-06,03154,0.0,12.0
2023-07-06,03155,3.0,14.0
2023-07-06,03157,2.0,14.0
2023-07-06,03158,9.0,7.0
2023-07-06,03159,23.0,105.0
2023-07-06,03241,23.0,109.0
2023-07-06,03251,1.0,11.0
2023-07-06,03252,8.0,29.0
2023-07-06,03254,28.0,59.0
2023-07-06,03256,5.0,11.0
2023-07-06,03257,0.0,11.0
2023-07-06,03351,9.0,19.0
2023-07-06,03352,4.0,4.0
2023-07-06,03353,5.0,29.0
2023-07-06,03354,0.0,6.0
2023-07-06,03355,6.0,22.0
2023-07-06,03356,3.0,1.0
2023-07-06,03357,7.0,23.0
2023-07-06,03358,8.0,6.0
2023-07-06,03359,12.0,15.0
2023-07-06,03360,4.0,50.0
2023-07-06,03361,4.0,11.0
2023-07-06,03402,6.0,13.0
2023-07-06,03403,7.0,97.0
2023-07-06,03404,8.0,74.0
2023-07-06,03405,8.0,9.0
2023-07-06,03451,0.0,29.0
2023-07-06,03452,6.0,14.0
2023-07-06,03453,4.0,18.0
2023-07-06,03454,18.0,53.0
2023-07-06,03455,4.0,21.0
2023-07-06,03456,1.0,15.0
2023-07-06,03457,7.0,18.0
2023-07-06,03459,10.0,72.0
2023-07-06,03460,15.0,19.0
2023-07-06,03461,0.0,4.0
2023-07-06,04011,9.0,128.0
2023-07-06,04012,13.0,38.0
2023-07-06,05111,21.0,171.0
2023-07-06,05112,24.0,95.0
2023-07-06,05113,34.0,309.0
2023-07-06,05114,21.0,58.0
2023-07-06,05116,14.0,65.0
2023-07-06,05117,0.0,26.0
2023-07-06,05119,14.0,58.0
2023-07-06,05120,0.0,21.0
2023-07-06,05122,15.0,61.0
2023-07-06,05124,14.0,92.0
2023-07-06,05154,19.0,29.0
2023-07-06,05158,9.0,34.0
2023-07-06,05162,0.0,16.0
2023-07-06,05166,7.0,22.0
2023-07-06,05170,34.0,81.0
2023-07-06,05314,12.0,228.0
2023-07-06,05315,29.0,224.0
2023-07-06,05316,8.0,48.0
2023-07-06,05334,18.0,201.0
2023-07-06,05358,13.0,49.0
2023-07-06,05362,8.0,50.0
2023-07-06,05366,5.0,21.0
2023-07-06,05370,4.0,26.0
2023-07-06,05374,13.0,19.0
2023-07-06,05378,10.0,20.0
2023-07-06,05382,12.0,71.0
2023-07-06,05512,7.0,14.0
2023-07-06,05513,16.0,78.0
2023-07-06,05515,21.0,167.0
2023-07-06,05554,20.0,44.0
2023-07-06,05558,10.0,25.0
2023-07-06,05562,48.0,144.0
2023-07-06,05566,10.0,54.0
2023-07-06,05570,7.0,37.0
2023-07-06,05711,25.0,99.0
2023-07-06,05754,5.0,22.0
2023-07-06,05758,11.0,35.0
2023-07-06,05762,10.0,26.0
2023-07-06,05766,2.0,48.0
2023-07-06,05770,16.0,139.0
2023-07-06,05774,0.0,36.0
2023-07-06,05911,22.0,130.0
2023-07-06,05913,23.0,232.0
2023-07-06,05914,13.0,29.0
2023-07-06,05915,21.0,42.0
2023-07-06,05916,5.0,56.0
2023-07-06,05954,27.0,82.0
2023-07-06,05958,14.0,49.0
2023-07-06,05962,21.0,80.0
2023-07-06,05966,7.0,5.0
2023-07-06,05970,5.0,67.0
2023-07-06,05974,16.0,64.0
2023-07-06,05978,24.0,72.0
2023-07-06,06411,19.0,86.0
2023-07-06,06412,20.0,203.0
2023-07-06,06413,11.0,55.0
2023-07-06,06414,9.0,24.0
2023-07-06,06431,7.0,22.0
2023-07-06,06432,0.0,20.0
2023-07-06,06433,1.0,22.0
2023-07-06,06434,1.0,22.0
2023-07-06,06435,4.0,57.0
2023-07-06,06436,1.0,25.0
2023-07-06,06437,2.0,142.0
2023-07-06,06438,3.0,9.0
2023-07-06,06439,0.0,14.0
2023-07-06,06440,8.0,35.0
2023-07-06,06531,20.0,178.0
2023-07-06,06532,0.0,21.0
2023-07-06,06533,9.0,32.0
2023-07-06,06534,7.0,80.0
2023-07-06,06535,13.0,14.0
2023-07-06,06611,7.0,122.0
2023-07-06,06631,17.0,64.0
2023-07-06,06632,11.0,17.0
2023-07-06,06633,2.0,24.0
2023-07-06,06634,2.0,20.0
2023-07-06,06635,3.0,58.0
