date,ags,age_group,stage,new
2022-11-27,01002,18-59,4,11
2022-11-27,01003,18-59,4,5
2022-11-27,01051,60+,4,7
2022-11-27,01051,60+,5,7
2022-11-27,01056,18-59,2,5
2022-11-27,01056,18-59,3,5
2022-11-27,01056,18-59,4,11
2022-11-27,01056,60+,4,10
2022-11-27,01056,60+,5,26
2022-11-27,01062,60+,4,6
2022-11-27,02000,12-17,3,6
2022-11-27,02000,18-59,3,16
2022-11-27,02000,18-59,4,42
2022-11-27,02000,18-59,5,21
2022-11-27,02000,60+,3,9
2022-11-27,02000,60+,4,7
2022-11-27,02000,60+,5,22
2022-11-27,03103,60+,4,12
2022-11-27,03159,18-59,4,10
2022-11-27,03241,18-59,4,7
2022-11-27,03241,60+,4,11
2022-11-27,03241,60+,5,19
2022-11-27,03251,60+,4,8
2022-11-27,03352,18-59,4,9
2022-11-27,03352,60+,5,9
2022-11-27,03353,60+,4,11
2022-11-27,03353,60+,5,7
2022-11-27,03359,18-59,4,45
2022-11-27,03359,60+,4,45
2022-11-27,03359,60+,5,5
2022-11-27,03453,18-59,5,17
2022-11-27,03453,60+,5,55
2022-11-27,03454,18-59,4,20
2022-11-27,03454,60+,4,8
2022-11-27,03457,18-59,4,9
2022-11-27,03459,60+,4,9
2022-11-27,05111,60+,5,8
2022-11-27,05112,60+,4,25
2022-11-27,05112,60+,5,25
2022-11-27,05116,18-59,3,6
2022-11-27,05116,60+,5,24
2022-11-27,05117,18-59,4,44
2022-11-27,05117,60+,4,20
2022-11-27,05119,18-59,4,13
2022-11-27,05119,18-59,5,5
2022-11-27,05119,60+,4,15
2022-11-27,05120,18-59,4,12
2022-11-27,05120,60+,4,12
2022-11-27,05154,18-59,4,19
2022-11-27,05154,60+,4,10
2022-11-27,05158,18-59,3,5
2022-11-27,05162,18-59,4,32
2022-11-27,05162,60+,4,76
2022-11-27,05162,60+,5,93
2022-11-27,05315,18-59,4,53
2022-11-27,05315,60+,4,165
2022-11-27,05315,60+,5,9
2022-11-27,05315,60+,6,8
2022-11-27,05316,60+,4,14
2022-11-27,05334,18-59,3,5
2022-11-27,05334,60+,5,19
2022-11-27,05362,18-59,4,9
2022-11-27,05362,60+,4,12
2022-11-27,05366,18-59,3,32
2022-11-27,05366,18-59,4,67
2022-11-27,05366,60+,3,13
2022-11-27,05366,60+,4,30
2022-11-27,05366,60+,5,5
2022-11-27,05370,60+,6,5
2022-11-27,05374,18-59,4,6
2022-11-27,05374,60+,4,13
2022-11-27,05382,60+,4,6
2022-11-27,05515,18-59,3,5
2022-11-27,05554,60+,4,8
2022-11-27,05554,60+,5,8
2022-11-27,05562,18-59,4,7
2022-11-27,05566,60+,4,48
2022-11-27,05566,60+,5,6
2022-11-27,05711,12-17,4,6
2022-11-27,05711,18-59,3,5
2022-11-27,05711,18-59,4,67
2022-11-27,05711,60+,4,31
2022-11-27,05711,60+,5,8
2022-11-27,05754,60+,4,56
2022-11-27,05766,00-04,1,5
2022-11-27,05766,18-59,4,5
2022-11-27,05766,18-59,5,7
2022-11-27,05766,60+,4,9
2022-11-27,05766,60+,5,6
2022-11-27,05770,18-59,4,13
2022-11-27,05770,60+,4,12
2022-11-27,05770,60+,5,5
2022-11-27,05954,18-59,6,5
2022-11-27,05958,18-59,4,10
2022-11-27,05958,60+,4,14
2022-11-27,05962,18-59,2,7
2022-11-27,05962,18-59,3,14
2022-11-27,05970,18-59,4,250
2022-11-27,05970,18-59,5,211
2022-11-27,05970,60+,2,7
2022-11-27,05974,60+,4,11
2022-11-27,05974,60+,5,16
2022-11-27,06412,18-59,1,7
2022-11-27,06412,18-59,4,22
2022-11-27,06414,60+,4,5
2022-11-27,06433,12-17,4,5
2022-11-27,06433,18-59,4,9
2022-11-27,06433,18-59,5,5
2022-11-27,06433,60+,4,11
2022-11-27,06434,18-59,4,27
2022-11-27,06434,18-59,5,5
2022-11-27,06434,60+,4,15
2022-11-27,06434,60+,5,6
2022-11-27,06435,18-59,4,9
2022-11-27,06435,60+,4,7
2022-11-27,06436,18-59,4,6
2022-11-27,06438,18-59,4,10
2022-11-27,06439,18-59,4,5
2022-11-27,06440,18-59,3,6
2022-11-27,06440,18-59,4,9
2022-11-27,06534,60+,4,9
2022-11-27,06534,60+,5,12
2022-11-27,06633,18-59,4,9
2022-11-27,06633,60+,4,25
2022-11-27,06633,60+,5,16
2022-11-27,07133,12-17,4,7
2022-11-27,07133,18-59,4,27
2022-11-27,07133,18-59,5,5
2022-11-27,07133,60+,4,28
2022-11-27,07133,60+,5,10
2022-11-27,07137,18-59,4,11
2022-11-27,07137,18-59,5,16
2022-11-27,07137,60+,4,10
2022-11-27,07137,60+,5,10
2022-11-27,07138,60+,4,12
2022-11-27,07315,18-59,4,10
2022-11-27,07315,60+,4,14
2022-11-27,07315,60+,5,8
2022-11-27,07332,18-59,6,5
2022-11-27,07332,60+,6,8
2022-11-27,07340,18-59,4,14
2022-11-27,07340,60+,4,52
2022-11-27,07340,60+,5,6
2022-11-27,08111,05-11,1,5
2022-11-27,08111,05-11,3,6
2022-11-27,08111,12-17,5,5
2022-11-27,08111,18-59,3,16
2022-11-27,08111,18-59,4,134
2022-11-27,08111,18-59,5,9
2022-11-27,08111,60+,1,5
2022-11-27,08111,60+,4,52
2022-11-27,08111,60+,5,17
2022-11-27,08116,18-59,5,17
2022-11-27,08116,60+,4,61
2022-11-27,08117,60+,4,7
2022-11-27,08117,60+,5,6
2022-11-27,08118,05-11,2,5
2022-11-27,08118,18-59,4,21
2022-11-27,08118,60+,4,13
2022-11-27,08118,60+,5,11
2022-11-27,08119,18-59,4,17
2022-11-27,08119,18-59,5,11
2022-11-27,08119,60+,4,49
2022-11-27,08119,60+,5,6
2022-11-27,08121,60+,4,33
2022-11-27,08125,18-59,3,7
2022-11-27,08125,18-59,4,7
2022-11-27,08125,18-59,5,18
2022-11-27,08125,60+,4,14
2022-11-27,08125,60+,5,10
2022-11-27,08212,18-59,4,8
2022-11-27,08212,18-59,5,6
2022-11-27,08212,60+,4,5
2022-11-27,08215,60+,4,9
2022-11-27,08215,60+,5,6
2022-11-27,08216,60+,4,9
2022-11-27,08221,60+,4,13
2022-11-27,08221,60+,5,10
2022-11-27,08222,18-59,4,17
2022-11-27,08222,60+,3,9
2022-11-27,08222,60+,4,37
2022-11-27,08226,18-59,3,6
2022-11-27,08226,18-59,4,54
2022-11-27,08226,60+,4,20
2022-11-27,08226,60+,5,5
2022-11-27,08235,18-59,3,5
2022-11-27,08235,18-59,4,6
2022-11-27,08235,60+,4,17
2022-11-27,08236,60+,4,21
2022-11-27,08311,18-59,4,5
2022-11-27,08311,60+,4,91
2022-11-27,08311,60+,5,24
2022-11-27,08315,12-17,3,5
2022-11-27,08315,18-59,4,5
2022-11-27,08315,60+,4,12
2022-11-27,08315,60+,5,6
2022-11-27,08316,18-59,4,15
2022-11-27,08316,60+,4,37
2022-11-27,08316,60+,5,8
2022-11-27,08335,18-59,1,20
2022-11-27,08335,18-59,2,27
2022-11-27,08335,18-59,3,37
2022-11-27,08335,18-59,4,31
2022-11-27,08335,18-59,5,10
2022-11-27,08335,18-59,6,5
2022-11-27,08335,60+,1,31
2022-11-27,08335,60+,2,38
2022-11-27,08335,60+,3,46
2022-11-27,08335,60+,4,30
2022-11-27,08335,60+,5,16
2022-11-27,08335,60+,6,11
2022-11-27,08336,60+,4,10
2022-11-27,08336,60+,5,10
2022-11-27,08415,18-59,4,21
2022-11-27,08415,60+,4,34
2022-11-27,08416,18-59,3,7
2022-11-27,08416,18-59,4,18
2022-11-27,08416,18-59,5,7
2022-11-27,08416,60+,4,11
2022-11-27,08417,60+,4,15
2022-11-27,08425,18-59,3,9
2022-11-27,08425,18-59,4,27
2022-11-27,08425,60+,4,5
2022-11-27,08435,60+,4,24
2022-11-27,08437,60+,4,10
2022-11-27,09162,60+,4,35
2022-11-27,09162,60+,5,9
2022-11-27,09163,18-59,3,10
2022-11-27,09163,18-59,4,58
2022-11-27,09163,60+,3,8
2022-11-27,09163,60+,4,27
2022-11-27,09176,18-59,4,7
2022-11-27,09176,60+,4,12
2022-11-27,09179,18-59,3,5
2022-11-27,09179,18-59,4,20
2022-11-27,09179,60+,4,15
2022-11-27,09179,60+,5,5
2022-11-27,09182,18-59,2,6
2022-11-27,09182,18-59,4,8
2022-11-27,09184,18-59,4,17
2022-11-27,09184,60+,4,7
2022-11-27,09187,18-59,4,11
2022-11-27,09187,60+,4,41
2022-11-27,09189,60+,4,8
2022-11-27,09190,60+,4,9
2022-11-27,09272,60+,4,28
2022-11-27,09362,18-59,4,5
2022-11-27,09373,60+,4,5
2022-11-27,09376,60+,4,8
2022-11-27,09377,12-17,2,5
2022-11-27,09377,18-59,4,7
2022-11-27,09377,60+,4,15
2022-11-27,09462,18-59,4,8
2022-11-27,09462,60+,3,5
2022-11-27,09462,60+,4,5
2022-11-27,09562,18-59,3,6
2022-11-27,09562,60+,3,5
2022-11-27,09562,60+,4,11
2022-11-27,09571,60+,4,6
2022-11-27,09575,60+,4,29
2022-11-27,09576,60+,5,6
2022-11-27,09577,18-59,4,6
2022-11-27,09577,60+,4,7
2022-11-27,09577,60+,5,7
2022-11-27,09674,18-59,4,5
2022-11-27,09674,60+,4,6
2022-11-27,09675,18-59,4,41
2022-11-27,09679,60+,4,15
2022-11-27,09761,60+,1,14
2022-11-27,09775,18-59,5,6
2022-11-27,09775,60+,4,17
2022-11-27,10045,18-59,4,11
2022-11-27,10045,60+,4,21
2022-11-27,11000,18-59,3,37
2022-11-27,11000,18-59,4,64
2022-11-27,11000,60+,2,5
2022-11-27,11000,60+,3,5
2022-11-27,11000,60+,4,48
2022-11-27,11000,60+,5,18
2022-11-27,12063,18-59,4,5
2022-11-27,12063,18-59,5,14
2022-11-27,12063,60+,4,6
2022-11-27,12063,60+,5,32
2022-11-27,12065,18-59,4,9
2022-11-27,12065,60+,4,23
2022-11-27,13072,18-59,5,5
2022-11-27,13073,18-59,4,7
2022-11-27,13073,60+,4,20
2022-11-27,14511,60+,4,196
2022-11-27,14521,60+,4,12
2022-11-27,14729,60+,4,44
2022-11-27,15082,18-59,3,7
2022-11-27,15091,60+,4,11
2022-11-27,16066,18-59,4,12
2022-11-27,16066,60+,4,34
2022-11-27,16066,60+,5,7
