IdLandkreis,Altersgruppe,Geschlecht,Refdatum,AnzahlFall,AnzahlTodesfall
1002,A00-A04,M,2025-03-10,1,0
1002,A15-A34,W,2025-03-10,1,0
1002,A15-A34,W,2025-03-11,1,0
1002,A35-A59,W,2025-03-11,1,0
1004,A60-A79,M,2025-03-10,1,0
1051,A60-A79,M,2025-03-11,1,0
1054,A80+,W,2025-03-06,1,0
1055,A05-A14,W,2025-03-10,1,0
1056,A35-A59,W,2025-03-07,1,0
1056,A35-A59,W,2025-03-10,1,0
1056,A60-A79,M,2025-02-22,1,1
1056,A80+,M,2025-03-10,1,0
1056,A80+,W,2025-03-07,2,0
1057,A05-A14,M,2025-03-10,1,0
1057,A60-A79,W,2025-03-10,2,0
1058,A60-A79,M,2025-03-11,1,0
1058,A60-A79,W,2025-03-10,1,0
1059,A05-A14,M,2025-03-11,1,0
1059,A35-A59,M,2025-03-11,1,0
1059,A80+,W,2025-03-11,1,0
1060,A15-A34,M,2025-02-25,1,0
1060,A35-A59,M,2025-03-10,1,0
1060,A60-A79,M,2025-03-05,1,1
1061,A15-A34,M,2025-03-10,1,0
1061,A35-A59,M,2025-03-11,1,0
1061,A60-A79,M,2025-03-10,1,0
1061,A60-A79,W,2025-03-11,1,0
2000,A60-A79,M,2025-03-10,2,0
2000,A60-A79,W,2025-03-09,1,0
2000,A60-A79,W,2025-03-10,2,0
2000,A80+,M,2025-03-10,4,0
2000,A80+,W,2025-03-10,1,0
3151,A80+,M,2025-03-10,1,0
3155,A80+,M,2025-03-10,1,0
3159,A35-A59,W,2025-03-10,1,0
3159,A60-A79,M,2025-03-11,1,0
3159,A60-A79,W,2025-03-10,1,0
3251,A35-A59,W,2025-03-10,1,0
3251,A60-A79,M,2025-03-10,2,0
3353,A35-A59,W,2025-03-08,1,0
3356,A60-A79,M,2025-03-03,1,0
3356,A60-A79,M,2025-03-07,1,0
3359,A60-A79,M,2025-03-07,1,0
3402,A80+,M,2025-03-10,1,0
3403,A80+,M,2025-03-10,1,0
3404,A35-A59,M,2025-03-10,1,0
3454,A15-A34,W,2022-08-24,-1,0
3454,A80+,W,2025-03-07,1,0
3455,A05-A14,W,2025-03-07,1,0
3459,A60-A79,M,2025-03-09,1,0
3459,A60-A79,M,2025-03-10,1,0
