IdLandkreis,Altersgruppe,Geschlecht,Refdatum,AnzahlFall,AnzahlTodesfall
1051,A80+,M,2026-08-10,1,0
11003,A35-A59,M,2026-08-11,1,0
11007,A35-A59,W,2026-08-08,1,0
12060,A35-A59,W,2026-08-10,1,0
15083,A15-A34,W,2026-08-10,1,0
16051,A05-A14,W,2026-08-05,1,0
16051,A15-A34,W,2026-08-04,1,0
2000,A15-A34,W,2026-08-11,1,0
2000,A35-A59,M,2026-08-11,1,0
3355,A80+,W,2026-08-08,1,0
5112,A05-A14,W,2026-08-10,1,0
5315,A35-A59,W,2026-08-11,1,0
5315,A80+,W,2026-08-10,1,0
5911,A15-A34,M,2022-01-24,1,0
5911,A15-A34,M,2022-01-28,-1,0
5911,A15-A34,W,2021-05-01,-1,0
6412,A80+,M,2026-08-11,1,0
6414,A15-A34,W,2026-08-11,1,0
6414,A35-A59,W,2026-08-11,1,0
6436,A35-A59,W,2026-08-10,1,0
8311,A00-A04,M,2026-08-10,1,0
9672,A35-A59,M,2026-08-11,1,0
