date,ags,age_group,stage,new
2023-10-06,01003,18-59,1,7
2023-10-06,01003,18-59,4,6
2023-10-06,02000,12-17,4,20
2023-10-06,02000,12-17,5,8
2023-10-06,02000,18-59,1,6
2023-10-06,02000,18-59,2,5
2023-10-06,02000,18-59,3,14
2023-10-06,02000,18-59,4,83
2023-10-06,02000,18-59,5,142
2023-10-06,02000,18-59,6,29
2023-10-06,02000,60+,1,20
2023-10-06,02000,60+,3,19
2023-10-06,02000,60+,4,123
2023-10-06,02000,60+,5,772
2023-10-06,02000,60+,6,168
2023-10-06,03101,18-59,4,14
2023-10-06,03101,18-59,5,13
2023-10-06,03101,60+,3,7
2023-10-06,03101,60+,4,35
2023-10-06,03101,60+,5,194
2023-10-06,03101,60+,6,58
2023-10-06,03102,18-59,5,5
2023-10-06,03102,60+,4,8
2023-10-06,03102,60+,5,28
2023-10-06,03103,18-59,5,9
2023-10-06,03103,60+,1,5
2023-10-06,03103,60+,3,6
2023-10-06,03103,60+,4,8
2023-10-06,03103,60+,5,90
2023-10-06,03103,60+,6,8
2023-10-06,03151,60+,4,10
2023-10-06,03151,60+,5,57
2023-10-06,03151,60+,6,20
2023-10-06,03153,12-17,4,8
2023-10-06,03153,18-59,4,5
2023-10-06,03153,60+,1,6
2023-10-06,03153,60+,5,74
2023-10-06,03154,60+,5,19
2023-10-06,03155,12-17,5,13
2023-10-06,03155,60+,4,7
2023-10-06,03155,60+,5,111
2023-10-06,03155,60+,6,26
2023-10-06,03157,18-59,4,5
2023-10-06,03157,60+,1,5
2023-10-06,03157,60+,5,12
2023-10-06,03158,60+,4,19
2023-10-06,03158,60+,5,109
2023-10-06,03159,18-59,4,16
2023-10-06,03159,18-59,5,42
2023-10-06,03159,18-59,6,12
2023-10-06,03159,60+,3,5
2023-10-06,03159,60+,4,52
2023-10-06,03159,60+,5,344
2023-10-06,03159,60+,6,130
2023-10-06,03241,00-04,2,5
2023-10-06,03241,18-59,4,53
2023-10-06,03241,18-59,5,106
2023-10-06,03241,18-59,6,37
2023-10-06,03241,60+,3,6
2023-10-06,03241,60+,4,110
2023-10-06,03241,60+,5,665
2023-10-06,03241,60+,6,236
2023-10-06,03251,18-59,4,20
2023-10-06,03251,18-59,5,5
2023-10-06,03251,60+,4,55
2023-10-06,03251,60+,5,79
2023-10-06,03251,60+,6,7
2023-10-06,03252,18-59,5,9
2023-10-06,03252,60+,4,8
2023-10-06,03252,60+,5,108
2023-10-06,03252,60+,6,25
2023-10-06,03254,18-59,4,13
2023-10-06,03254,18-59,5,20
2023-10-06,03254,60+,4,40
2023-10-06,03254,60+,5,136
2023-10-06,03254,60+,6,23
2023-10-06,03255,18-59,2,5
2023-10-06,03255,60+,5,100
2023-10-06,03255,60+,6,6
2023-10-06,03256,18-59,4,5
2023-10-06,03256,18-59,5,6
2023-10-06,03256,60+,4,52
2023-10-06,03256,60+,5,60
2023-10-06,03257,18-59,4,5
2023-10-06,03257,18-59,5,7
2023-10-06,03257,60+,1,8
2023-10-06,03257,60+,4,6
2023-10-06,03257,60+,5,24
2023-10-06,03351,18-59,5,21
2023-10-06,03351,18-59,6,8
2023-10-06,03351,60+,4,37
2023-10-06,03351,60+,5,296
2023-10-06,03351,60+,6,38
2023-10-06,03352,18-59,6,5
2023-10-06,03352,60+,4,63
2023-10-06,03352,60+,5,148
2023-10-06,03352,60+,6,37
2023-10-06,03353,18-59,5,8
2023-10-06,03353,60+,4,11
2023-10-06,03353,60+,5,101
2023-10-06,03353,60+,6,17
2023-10-06,03354,60+,4,6
2023-10-06,03354,60+,5,11
2023-10-06,03355,18-59,4,5
2023-10-06,03355,18-59,5,11
2023-10-06,03355,60+,4,6
2023-10-06,03355,60+,5,57
2023-10-06,03355,60+,6,26
2023-10-06,03356,18-59,4,13
2023-10-06,03356,18-59,5,18
2023-10-06,03356,60+,4,14
2023-10-06,03356,60+,5,84
2023-10-06,03356,60+,6,28
2023-10-06,03357,18-59,4,7
2023-10-06,03357,18-59,5,9
2023-10-06,03357,18-59,6,7
2023-10-06,03357,60+,4,55
2023-10-06,03357,60+,5,48
2023-10-06,03357,60+,6,38
2023-10-06,03358,18-59,4,9
2023-10-06,03358,18-59,5,9
2023-10-06,03358,60+,4,46
2023-10-06,03358,60+,5,66
2023-10-06,03358,60+,6,20
2023-10-06,03359,60+,3,6
2023-10-06,03359,60+,4,25
2023-10-06,03359,60+,5,108
2023-10-06,03359,60+,6,30
2023-10-06,03360,60+,5,62
2023-10-06,03360,60+,6,6
2023-10-06,03361,18-59,4,11
2023-10-06,03361,18-59,5,23
2023-10-06,03361,60+,5,157
2023-10-06,03361,60+,6,8
2023-10-06,03401,18-59,5,5
2023-10-06,03401,60+,5,39
2023-10-06,03403,18-59,4,5
2023-10-06,03403,18-59,5,20
2023-10-06,03403,18-59,6,9
2023-10-06,03403,60+,3,5
2023-10-06,03403,60+,4,18
2023-10-06,03403,60+,5,79
2023-10-06,03403,60+,6,8
2023-10-06,03404,18-59,4,9
2023-10-06,03404,18-59,5,10
2023-10-06,03404,18-59,6,7
2023-10-06,03404,60+,4,6
2023-10-06,03404,60+,5,51
2023-10-06,03404,60+,6,34
2023-10-06,03405,60+,4,33
2023-10-06,03405,60+,5,50
2023-10-06,03405,60+,6,8
2023-10-06,03451,60+,5,37
2023-10-06,03451,60+,6,13
2023-10-06,03452,18-59,4,8
2023-10-06,03452,18-59,5,21
2023-10-06,03452,18-59,6,5
2023-10-06,03452,60+,5,42
2023-10-06,03453,18-59,5,9
2023-10-06,03453,60+,1,14
2023-10-06,03453,60+,4,11
2023-10-06,03453,60+,5,34
2023-10-06,03453,60+,6,5
2023-10-06,03454,18-59,3,6
2023-10-06,03454,18-59,6,6
2023-10-06,03454,60+,4,23
2023-10-06,03454,60+,5,40
2023-10-06,03454,60+,6,6
2023-10-06,03455,18-59,1,6
2023-10-06,03455,60+,1,71
2023-10-06,03455,60+,5,12
2023-10-06,03456,60+,1,6
2023-10-06,03456,60+,4,9
2023-10-06,03456,60+,5,24
2023-10-06,03457,18-59,2,5
2023-10-06,03457,18-59,4,10
2023-10-06,03457,60+,2,8
2023-10-06,03457,60+,3,6
2023-10-06,03457,60+,4,11
2023-10-06,03457,60+,5,58
2023-10-06,03458,60+,5,38
2023-10-06,03458,60+,6,7
2023-10-06,03459,18-59,4,10
2023-10-06,03459,18-59,5,55
2023-10-06,03459,60+,4,18
2023-10-06,03459,60+,5,148
2023-10-06,03459,60+,6,30
2023-10-06,03460,18-59,4,8
2023-10-06,03460,18-59,5,6
2023-10-06,03460,18-59,6,5
2023-10-06,03460,60+,4,13
2023-10-06,03460,60+,5,85
2023-10-06,03460,60+,6,20
2023-10-06,03461,18-59,5,13
2023-10-06,03461,18-59,6,5
2023-10-06,03461,60+,5,43
2023-10-06,03461,60+,6,9
2023-10-06,03462,18-59,5,6
2023-10-06,03462,60+,3,5
2023-10-06,03462,60+,4,14
2023-10-06,03462,60+,5,68
2023-10-06,03462,60+,6,21
2023-10-06,04011,12-17,4,6
2023-10-06,04011,18-59,4,37
2023-10-06,04011,18-59,5,61
2023-10-06,04011,18-59,6,17
2023-10-06,04011,60+,3,5
2023-10-06,04011,60+,4,49
2023-10-06,04011,60+,5,353
2023-10-06,04011,60+,6,64
2023-10-06,04012,18-59,1,25
2023-10-06,04012,18-59,4,5
2023-10-06,04012,18-59,5,11
2023-10-06,04012,60+,4,16
2023-10-06,04012,60+,5,66
2023-10-06,04012,60+,6,19
2023-10-06,05111,18-59,4,37
2023-10-06,05111,18-59,5,52
2023-10-06,05111,18-59,6,24
2023-10-06,05111,60+,4,61
2023-10-06,05111,60+,5,377
2023-10-06,05111,60+,6,151
2023-10-06,05112,18-59,4,5
