datum,ags,intensivbetten_frei,intensivbetten_belegt
2021-03-23,01001,5.0,36.0
2021-03-23,01002,46.0,120.0
2021-03-23,01003,21.0,115.0
2021-03-23,01004,3.0,22.0
2021-03-23,01051,3.0,35.0
2021-03-23,01053,4.0,14.0
2021-03-23,01054,8.0,17.0
2021-03-23,01055,11.0,37.0
2021-03-23,01056,3.0,34.0
2021-03-23,01057,3.0,9.0
2021-03-23,01058,10.0,32.0
2021-03-23,01059,3.0,21.0
2021-03-23,01060,24.0,70.0
2021-03-23,01061,10.0,35.0
2021-03-23,01062,6.0,28.0
2021-03-23,02000,129.0,561.0
2021-03-23,03101,23.0,109.0
2021-03-23,03102,6.0,23.0
2021-03-23,03103,4.0,31.0
2021-03-23,03151,0.0,13.0
2021-03-23,03153,8.0,29.0
2021-03-23,03154,0.0,18.0
2021-03-23,03155,4.0,16.0
2021-03-23,03157,7.0,13.0
2021-03-23,03158,3.0,13.0
2021-03-23,03159,23.0,122.0
2021-03-23,03241,32.0,374.0
2021-03-23,03251,7.0,10.0
2021-03-23,03252,15.0,59.0
2021-03-23,03254,12.0,63.0
2021-03-23,03255,1.0,10.0
2021-03-23,03256,7.0,17.0
2021-03-23,03257,2.0,23.0
2021-03-23,03351,2.0,26.0
2021-03-23,03352,6.0,6.0
2021-03-23,03353,3.0,31.0
2021-03-23,03354,6.0,9.0
2021-03-23,03355,12.0,33.0
2021-03-23,03356,3.0,10.0
2021-03-23,03357,9.0,25.0
2021-03-23,03358,5.0,16.0
2021-03-23,03359,9.0,24.0
2021-03-23,03360,13.0,63.0
2021-03-23,03361,4.0,11.0
2021-03-23,03401,2.0,15.0
2021-03-23,03402,10.0,9.0
2021-03-23,03403,13.0,110.0
2021-03-23,03404,24.0,106.0
2021-03-23,03405,2.0,30.0
2021-03-23,03451,8.0,25.0
2021-03-23,03452,10.0,28.0
2021-03-23,03453,5.0,23.0
2021-03-23,03454,23.0,67.0
2021-03-23,03455,7.0,26.0
2021-03-23,03456,1.0,27.0
2021-03-23,03457,9.0,23.0
2021-03-23,03458,1.0,6.0
2021-03-23,03459,24.0,79.0
2021-03-23,03460,7.0,27.0
2021-03-23,03461,3.0,9.0
2021-03-23,03462,1.0,7.0
2021-03-23,04011,17.0,148.0
2021-03-23,04012,7.0,49.0
2021-03-23,05111,26.0,271.0
2021-03-23,05112,25.0,175.0
2021-03-23,05113,40.0,338.0
2021-03-23,05114,14.0,75.0
2021-03-23,05116,20.0,74.0
2021-03-23,05117,2.0,34.0
2021-03-23,05119,19.0,58.0
2021-03-23,05120,7.0,23.0
2021-03-23,05122,12.0,71.0
2021-03-23,05124,24.0,121.0
2021-03-23,05154,13.0,61.0
2021-03-23,05158,23.0,48.0
2021-03-23,05162,8.0,97.0
2021-03-23,05166,4.0,30.0
2021-03-23,05170,22.0,111.0
2021-03-23,05314,22.0,268.0
2021-03-23,05315,39.0,420.0
2021-03-23,05316,17.0,73.0
2021-03-23,05334,25.0,280.0
2021-03-23,05358,12.0,53.0
2021-03-23,05362,13.0,66.0
2021-03-23,05366,3.0,24.0
2021-03-23,05370,3.0,34.0
2021-03-23,05374,29.0,62.0
2021-03-23,05378,6.0,36.0
2021-03-23,05382,13.0,70.0
2021-03-23,05512,18.0,22.0
2021-03-23,05513,22.0,82.0
2021-03-23,05515,27.0,240.0
2021-03-23,05554,21.0,52.0
2021-03-23,05558,17.0,23.0
2021-03-23,05562,32.0,193.0
2021-03-23,05566,27.0,70.0
2021-03-23,05570,10.0,38.0
2021-03-23,05711,22.0,133.0
2021-03-23,05754,6.0,46.0
2021-03-23,05758,10.0,54.0
2021-03-23,05762,9.0,26.0
2021-03-23,05766,5.0,45.0
2021-03-23,05770,21.0,204.0
2021-03-23,05774,14.0,92.0
2021-03-23,05911,26.0,163.0
2021-03-23,05913,40.0,249.0
2021-03-23,05914,15.0,78.0
2021-03-23,05915,28.0,66.0
2021-03-23,05916,5.0,58.0
2021-03-23,05954,31.0,106.0
2021-03-23,05958,28.0,73.0
2021-03-23,05962,16.0,101.0
2021-03-23,05966,12.0,15.0
2021-03-23,05970,26.0,121.0
2021-03-23,05974,10.0,76.0
2021-03-23,05978,10.0,97.0
2021-03-23,06411,21.0,88.0
2021-03-23,06412,31.0,263.0
2021-03-23,06413,12.0,88.0
2021-03-23,06414,9.0,99.0
2021-03-23,06431,7.0,35.0
2021-03-23,06432,3.0,24.0
2021-03-23,06433,2.0,20.0
2021-03-23,06434,0.0,27.0
2021-03-23,06435,12.0,72.0
2021-03-23,06436,9.0,20.0
2021-03-23,06437,2.0,124.0
2021-03-23,06438,1.0,21.0
2021-03-23,06439,1.0,15.0
2021-03-23,06440,2.0,70.0
2021-03-23,06531,27.0,204.0
2021-03-23,06532,7.0,43.0
2021-03-23,06533,12.0,42.0
2021-03-23,06534,27.0,130.0
